"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,40008240,32446428,7561812,3919125,1369247,2273440,328,187,141,371,229,142,0
2011,7568,7568,7578,6322,35819532,30356856,5462676,2586701,906951,1969024,1086,194,892,1126,230,896,0
2012,7568,7568,7578,6295,25176456,21795148,3381308,801849,743921,1835538,3012,166,2846,3064,211,2853,0
2013,7568,7568,7578,6323,28834668,25447621,3387047,1174658,713041,1499348,2350,197,2153,2392,234,2158,0
2014,7568,7568,7578,6406,12692880,11395966,1296914,203789,338255,754870,4963,140,4823,5010,182,4828,1703958
2015,7568,7568,7578,6705,9107433,8353722,753711,26271,138507,588933,5855,114,5741,5871,121,5750,360013
2016,7568,7568,7578,6323,35476920,30080456,5396464,2429116,1137625,1829723,1148,200,948,1182,234,948,0
2017,7568,7568,7578,6455,8659376,7977239,682137,129154,175996,376987,5233,99,5134,5285,145,5140,4263172
2018,7568,7568,7578,6322,37333656,30440562,6893094,3318818,1207842,2366434,812,195,617,849,230,619,0
2019,7568,7568,7578,6313,37609956,30305588,7304368,3610472,1246623,2447273,762,186,576,801,224,577,0
2020,7568,7568,7578,6322,27525006,24902685,2622321,551028,556524,1514769,2587,187,2400,2630,224,2406,0
2021,7568,7568,7578,6360,16583526,15104789,1478737,306990,314530,857217,4567,163,4404,4615,202,4413,0
2022,7568,7568,7578,6324,20617506,17827129,2790377,916592,567479,1306306,3837,175,3662,3881,212,3669,0
2023,7568,7568,7578,6311,29873556,25203955,4669601,2443859,954601,1271141,2162,186,1976,2206,226,1980,0
2024,7568,7568,7578,6324,26662950,22333139,4329811,1764435,929398,1635978,2743,168,2575,2784,206,2578,0
2025,7568,7568,7578,6322,39079872,31775589,7304283,3701452,1302844,2299987,496,193,303,531,228,303,0
2026,7568,7568,7578,6322,24033498,19940778,4092720,1604464,811983,1676273,1946,195,1751,1987,230,1757,7050907
2027,7568,7568,7578,6322,38089517,33298964,4790553,1546885,869911,2373757,664,192,472,700,228,472,61987
2028,7568,7568,7578,7516,536022,351209,184813,8369,43566,132878,7471,44,7427,7480,50,7430,0
2029,7568,7568,7578,6442,14096501,12616102,1480399,250929,331272,898198,5017,120,4897,5071,168,4903,325
2030,7568,7568,7578,6318,31194270,25589349,5604921,2436851,947461,2220609,1923,189,1734,1962,227,1735,0
2031,7568,7568,7578,6266,34233570,28731457,5502113,2542180,1077344,1882589,1373,190,1183,1419,233,1186,0
2032,7568,7568,7578,6314,39118554,32157372,6961182,4134361,1205474,1621347,489,191,298,527,228,299,0
2033,7568,7568,7578,6320,38090718,30113001,7977717,4205880,1426879,2344958,675,181,494,712,217,495,0
2034,7568,7568,7578,6322,32741855,25716076,7025779,3734952,1444074,1846753,914,193,721,953,229,724,4036612
2035,7568,7568,7578,7369,1569846,1233468,336378,41150,79424,215804,7220,114,7106,7225,111,7114,354207
2036,7568,7568,7578,7543,303930,186820,117110,14029,32742,70339,7513,49,7464,7523,54,7469,0
2037,7568,7568,7578,6366,17261218,15251843,2009375,783834,485865,739676,4307,166,4141,4356,207,4149,760295
2038,7568,7568,7578,6322,38998360,32218523,6779837,3876953,1193657,1709227,195,192,3,230,227,3,1745440
2039,7568,7568,7578,6335,19219428,17168695,2050733,317228,419871,1313634,4090,157,3933,4135,197,3938,0
2040,7568,7568,7578,7576,4268,2508,1760,174,178,1408,7566,30,7536,7575,33,7542,6784
2041,7568,7568,7578,6582,11145942,10035887,1110055,131445,227193,751417,5551,108,5443,5571,121,5450,0
2042,7568,7568,7578,6319,38449908,29269725,9180183,5560428,1751840,1867915,610,192,418,647,229,418,0
2043,7568,7568,7578,6512,13971996,12305401,1666595,383828,425148,857619,4900,135,4765,4924,154,4770,774210
2044,7568,7568,7578,6307,21672972,18897147,2775825,837434,693420,1244971,3646,165,3481,3693,205,3488,0
2045,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,32,7546,0
2046,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,40,7538,0
2047,7568,7568,7578,6322,33183630,27803311,5380319,2841032,1058366,1480921,1563,192,1371,1604,228,1376,0
2048,7568,7568,7578,6320,28083132,23011539,5071593,2381776,1010036,1679781,2486,192,2294,2528,229,2299,0
2049,7568,7568,7578,7053,5735988,4853253,882735,251231,221272,410232,6530,96,6434,6558,116,6442,0
2050,7568,7568,7578,6324,19711904,16329212,3382692,1562160,668045,1152487,3314,160,3154,3358,194,3164,3807151
2051,7568,7568,7578,6382,13215177,11761291,1453886,473077,326337,654472,4981,133,4848,5026,172,4854,1084809
2052,7568,7568,7578,6283,36040572,30448775,5591797,2518032,1076399,1997366,1046,184,862,1094,230,864,0
2053,7568,7568,7578,6322,27445199,22200159,5245040,2466830,1070372,1707838,1344,192,1152,1383,228,1155,6964954
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,30,7548,0
2055,7568,7568,7578,6325,21120372,18372467,2747905,971714,548002,1228189,3746,179,3567,3790,216,3574,0
2056,7568,7568,7578,6285,29006802,24002504,5004298,2472418,1132102,1399778,869,186,683,917,233,684,8030464
2057,7568,7568,7578,7404,840586,645722,194864,14429,52838,127597,7288,88,7200,7298,90,7208,706694
2058,7568,7568,7578,7571,55260,30983,24277,3661,6622,13994,7558,14,7544,7567,17,7550,0
2059,7568,7568,7578,6368,17287429,16154538,1132891,148824,275947,708120,4439,159,4280,4482,196,4286,3425
2060,7568,7568,7578,7547,219574,121348,98226,21030,31065,46131,7518,53,7465,7527,57,7470,56726
2061,7568,7568,7578,7287,2676645,2380520,296125,19294,67716,209115,7062,70,6992,7060,58,7002,120114
2062,7568,7568,7578,6322,30973230,25908804,5064426,2421659,1118661,1524106,1963,199,1764,2004,234,1770,0
2063,7568,7568,7578,7578,0,0,0,0,0,0,7568,26,7542,7578,32,7546,0
2064,7568,7568,7578,6322,38326986,32737726,5589260,3175558,1077801,1335901,632,197,435,668,232,436,1350
2065,7568,7568,7578,7353,1611991,1240190,371801,101873,93218,176710,7212,68,7144,7219,69,7150,356270
2066,7568,7568,7578,6323,21923196,18502983,3420213,1623423,951876,844914,3532,170,3362,3575,207,3368,379890
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,37,7531,7578,40,7538,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,33,7545,0
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,15,7563,0
