"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6303,40008240,32446428,7561812,3919125,1369247,2273440,328,187,141,371,229,142,0,2010,32446428,10405828,6462885,0,561767,7367964,7647984,0,1369247,744521,177350,0,0,0,447376,0,7240,5932
2011,7568,7568,7578,6322,35819532,30356856,5462676,2586701,906951,1969024,1086,194,892,1126,230,896,0,2011,30356856,8000433,4326507,0,2809853,7500241,7719822,0,906951,563062,6590,0,0,0,337299,0,6482,5196
2012,7568,7568,7578,6295,25176456,21795148,3381308,801849,743921,1835538,3012,166,2846,3064,211,2853,0,2012,21795148,5370017,2050316,0,490565,6390994,7493256,0,743921,333390,209394,0,0,0,201137,0,4556,3231
2013,7568,7568,7578,6323,28834668,25447621,3387047,1174658,713041,1499348,2350,197,2153,2392,234,2158,0,2013,25447621,5502842,4705530,0,1161260,6601311,7476678,0,713041,339849,168525,0,0,0,204667,0,5218,3931
2014,7568,7568,7578,6406,12692880,11395966,1296914,203789,338255,754870,4963,140,4823,5010,182,4828,1703958,2014,11395966,1590237,876948,0,879,3027652,5900250,0,338255,161653,79559,0,0,0,97043,0,2605,1396
2015,7568,7568,7578,6705,9107433,8353722,753711,26271,138507,588933,5855,114,5741,5871,121,5750,360013,2015,8353722,1310606,624995,0,37055,2293666,4087400,0,138507,75974,17445,0,0,0,45088,0,1713,834
2016,7568,7568,7578,6323,35476920,30080456,5396464,2429116,1137625,1829723,1148,200,948,1182,234,948,0,2016,30080456,8206624,2564785,0,3799887,7839072,7670088,0,1137625,526162,293992,0,0,0,317471,0,6420,5141
2017,7568,7568,7578,6455,8659376,7977239,682137,129154,175996,376987,5233,99,5134,5285,145,5140,4263172,2017,7977239,887979,496461,0,253274,2047773,4291752,0,175996,87760,36026,0,0,0,52210,0,2335,1170
2018,7568,7568,7578,6322,37333656,30440562,6893094,3318818,1207842,2366434,812,195,617,849,230,619,0,2018,30440562,10124276,3684640,0,1621233,7423215,7587198,0,1207842,703807,81743,0,0,0,422292,0,6756,5473
2019,7568,7568,7578,6313,37609956,30305588,7304368,3610472,1246623,2447273,762,186,576,801,224,577,0,2019,30305588,9810352,3509288,0,1839783,7564493,7581672,0,1246623,760558,30153,0,0,0,455912,0,6806,5512
2020,7568,7568,7578,6322,27525006,24902685,2622321,551028,556524,1514769,2587,187,2400,2630,224,2406,0,2020,24902685,6018688,4113257,0,1163595,6152571,7454574,0,556524,232533,183420,0,0,0,140571,0,4981,3692
2021,7568,7568,7578,6360,16583526,15104789,1478737,306990,314530,857217,4567,163,4404,4615,202,4413,0,2021,15104789,2146816,819784,0,980007,4123584,7034598,0,314530,185914,17508,0,0,0,111108,0,3001,1745
2022,7568,7568,7578,6324,20617506,17827129,2790377,916592,567479,1306306,3837,175,3662,3881,212,3669,0,2022,17827129,3373619,1520197,0,397595,5136404,7399314,0,567479,348313,10700,0,0,0,208466,0,3731,2443
2023,7568,7568,7578,6311,29873556,25203955,4669601,2443859,954601,1271141,2162,186,1976,2206,226,1980,0,2023,25203955,5677138,2313929,0,3198876,6537334,7476678,0,954601,544302,83736,0,0,0,326563,0,5406,4105
2024,7568,7568,7578,6324,26662950,22333139,4329811,1764435,929398,1635978,2743,168,2575,2784,206,2578,0,2024,22333139,5614316,2971008,0,421677,5904720,7421418,0,929398,481529,158252,0,0,0,289617,0,4825,3540
2025,7568,7568,7578,6322,39079872,31775589,7304283,3701452,1302844,2299987,496,193,303,531,228,303,0,2025,31775589,10433392,3681723,0,2481832,7547236,7631406,0,1302844,747552,106706,0,0,0,448586,0,7072,5791
2026,7568,7568,7578,6322,24033498,19940778,4092720,1604464,811983,1676273,1946,195,1751,1987,230,1757,7050907,2026,19940778,5554945,2026769,0,399576,5623356,6336132,0,811983,421625,136982,0,0,0,253376,0,5622,4335
2027,7568,7568,7578,6322,38089517,33298964,4790553,1546885,869911,2373757,664,192,472,700,228,472,61987,2027,33298964,9806136,7308840,0,795410,7641126,7747452,0,869911,389955,244647,0,0,0,235309,0,6904,5622
2028,7568,7568,7578,7516,536022,351209,184813,8369,43566,132878,7471,44,7427,7480,50,7430,0,2028,351209,228547,87307,0,35355,0,0,0,43566,22007,8443,0,0,0,13116,0,97,36
2029,7568,7568,7578,6442,14096501,12616102,1480399,250929,331272,898198,5017,120,4897,5071,168,4903,325,2029,12616102,1882738,771455,0,244220,3307529,6410160,0,331272,182859,39092,0,0,0,109321,0,2551,1371
2030,7568,7568,7578,6318,31194270,25589349,5604921,2436851,947461,2220609,1923,189,1734,1962,227,1735,0,2030,25589349,7589701,3670930,0,328354,6496056,7504308,0,947461,578788,21790,0,0,0,346883,0,5645,4356
2031,7568,7568,7578,6266,34233570,28731457,5502113,2542180,1077344,1882589,1373,190,1183,1419,233,1186,0,2031,28731457,7461071,5964413,0,1030303,6693998,7581672,0,1077344,568708,166722,0,0,0,341914,0,6195,4847
2032,7568,7568,7578,6314,39118554,32157372,6961182,4134361,1205474,1621347,489,191,298,527,228,299,0,2032,32157372,9507052,4849985,0,2766317,7468924,7565094,0,1205474,753898,0,0,0,0,451576,0,7079,5787
2033,7568,7568,7578,6320,38090718,30113001,7977717,4205880,1426879,2344958,675,181,494,712,217,495,0,2033,30113001,9800089,4064126,0,1094980,7505822,7647984,0,1426879,828500,101206,0,0,0,497173,0,6893,5608
2034,7568,7568,7578,6322,32741855,25716076,7025779,3734952,1444074,1846753,914,193,721,953,229,724,4036612,2034,25716076,8291875,3789327,0,303287,6425751,6905836,0,1444074,720167,290257,0,0,0,433650,0,6654,5369
2035,7568,7568,7578,7369,1569846,1233468,336378,41150,79424,215804,7220,114,7106,7225,111,7114,354207,2035,1233468,393466,226631,0,0,581724,31647,0,79424,44044,9360,0,0,0,26020,0,348,144
2036,7568,7568,7578,7543,303930,186820,117110,14029,32742,70339,7513,49,7464,7523,54,7469,0,2036,186820,120937,65883,0,0,0,0,0,32742,15387,8170,0,0,0,9185,0,55,20
2037,7568,7568,7578,6366,17261218,15251843,2009375,783834,485865,739676,4307,166,4141,4356,207,4149,760295,2037,15251843,2223965,1023249,0,490678,4249373,7264578,0,485865,266496,59643,0,0,0,159726,0,3261,2010
