"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6305,26772710,22159213,4613497,2060305,836550,1716642,1795,187,1608,1841,229,1612,5143112
2011,7568,7568,7578,6310,25952028,20082001,5870027,3501816,1152248,1215963,715,186,529,757,226,531,11947819
2012,7568,7568,7578,6323,27552636,23362961,4189675,1683223,883547,1622905,2582,177,2405,2625,215,2410,0
2013,7568,7568,7578,6322,37388916,31897447,5491469,1652775,1262854,2575840,802,192,610,841,228,613,0
2014,7568,7568,7578,7551,237618,131779,105839,17400,26479,61960,7525,77,7448,7535,83,7452,0
2015,7568,7568,7578,6322,38236849,29295007,8941842,5599835,2121463,1220544,238,190,48,275,226,49,2269913
2016,7568,7568,7578,6541,7332511,6698258,634253,36419,114080,483754,5514,134,5380,5541,156,5385,4038892
2017,7568,7568,7578,7193,2579423,2310006,269417,14167,79009,176241,6896,90,6806,6926,115,6811,1140781
2018,7568,7568,7578,6324,24253614,20294095,3959519,1592053,1015690,1351776,3179,174,3005,3222,212,3010,0
2019,7568,7568,7578,6463,8114760,7458893,655867,17503,166339,472025,5117,114,5003,5164,152,5012,5452951
2020,7568,7568,7578,7390,1729638,1544094,185544,133,43508,141903,7255,67,7188,7258,63,7195,0
2021,7568,7568,7578,7433,1337292,1137600,199692,1301,47648,150743,7326,45,7281,7336,49,7287,0
2022,7568,7568,7578,6876,7029072,6375892,653180,91210,176857,385113,6296,91,6205,6319,106,6213,0
2023,7568,7568,7578,6342,20180952,17525889,2655063,734349,662695,1258019,3916,162,3754,3963,202,3761,0
2024,7568,7568,7578,6312,39030138,32636145,6393993,2575006,1131984,2687003,505,193,312,544,232,312,0
2025,7568,7568,7578,6463,13693428,12678107,1015321,59896,314769,640656,5090,104,4986,5139,146,4993,0
2026,7568,7568,7578,7397,1608066,1269273,338793,20911,91576,226306,7277,46,7231,7282,40,7242,0
2027,7568,7568,7578,6323,30498209,25523052,4975157,2547323,998919,1428915,1994,197,1797,2035,234,1801,303715
2028,7568,7568,7578,6388,13349312,11959620,1389692,177130,394203,818359,4760,151,4609,4810,194,4616,2177011
2029,7568,7568,7578,6647,5141049,4690513,450536,58161,106792,285583,5796,116,5680,5820,133,5687,4676893
2030,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0
2031,7568,7568,7578,6761,8150850,7490576,660274,25747,151828,482699,6093,107,5986,6109,118,5991,0
2032,7568,7568,7578,6322,20670774,17512077,3158697,1285766,562438,1310493,905,196,709,942,232,710,16185312
2033,7568,7568,7578,6313,24599926,20460204,4139722,2149320,928486,1061916,2720,180,2540,2764,218,2546,2191828
2034,7568,7568,7578,6805,6539252,6069298,469954,25987,105285,338682,6238,101,6137,6255,106,6149,812840
2035,7568,7568,7578,6350,16246440,14785081,1461359,294896,336402,830061,4628,148,4480,4674,189,4485,0
2036,7568,7568,7578,6335,10033113,9066494,966619,102006,218745,645868,4425,159,4266,4472,196,4276,7360413
2037,7568,7568,7578,6753,8405046,7824775,580271,21039,115566,443666,6047,106,5941,6065,115,5950,0
2038,7568,7568,7578,7486,238859,153016,85843,19007,21809,45027,7422,47,7375,7431,48,7383,567937
2039,7568,7568,7578,6453,13050427,12357310,693117,7205,152395,533517,5205,116,5089,5253,158,5095,7511
2040,7568,7568,7578,7050,5139180,4809312,329868,3989,69080,256799,6638,71,6567,6663,91,6572,0
2041,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2043,7568,7568,7578,7578,0,0,0,0,0,0,7568,11,7557,7578,14,7564,0
2044,7568,7568,7578,6337,19037070,16818799,2218271,504470,488451,1225350,4123,162,3961,4169,200,3969,0
2045,7568,7568,7578,6367,14909148,13137981,1771167,575622,461267,734278,4870,140,4730,4919,183,4736,0
2046,7568,7568,7578,6405,14765472,13236959,1528513,272306,556618,699589,4896,129,4767,4952,179,4773,0
2047,7568,7568,7578,6625,9769968,8952942,817026,89110,243830,484086,5800,118,5682,5830,139,5691,0
2048,7568,7568,7578,6964,6202144,5438063,764081,184571,186682,392828,6421,107,6314,6446,126,6320,136778
2049,7568,7568,7578,6639,9460512,8687637,772875,112817,196634,463424,5856,124,5732,5877,139,5738,0
2050,7568,7568,7578,7026,5630994,5127484,503510,32710,180249,290551,6549,97,6452,6575,116,6459,0
2051,7568,7568,7578,7408,1512089,1244335,267754,15579,95128,157047,7289,57,7232,7298,54,7244,29665
2052,7568,7568,7578,7424,1375974,1079307,296667,20484,80924,195259,7319,26,7293,7330,27,7303,0
2053,7568,7568,7578,6325,2572195,2386284,185911,33570,48020,104321,3581,174,3407,3623,210,3413,19531542
2054,7568,7568,7578,7471,955998,704241,251757,28588,68342,154827,7395,42,7353,7405,43,7362,0
2055,7568,7568,7578,6329,16457170,15589291,867879,443516,199848,224515,4074,171,3903,4118,207,3911,2861875
2056,7568,7568,7578,6362,13843869,12529633,1314236,299718,331759,682759,4849,144,4705,4895,181,4714,1186651
2057,7568,7568,7578,6558,7093350,6548745,544605,53645,219253,271707,5683,114,5569,5702,129,5573,3340740
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,46,7532,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,27,7551,0
2060,7568,7568,7578,7576,16578,12345,4233,67,896,3270,7565,36,7529,7575,41,7534,0
2061,7568,7568,7578,6341,14467624,12767526,1700098,678431,414018,607649,4369,155,4214,4416,193,4223,3222278
2062,7568,7568,7578,6336,17965810,16066641,1899169,548156,534081,816932,4278,160,4118,4324,202,4122,214830
2063,7568,7568,7578,6323,26491644,21891649,4599995,2007574,1313346,1279075,2774,174,2600,2816,212,2604,0
2064,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0
2065,7568,7568,7578,7437,1037748,747241,290507,47793,93953,148761,7340,54,7286,7350,57,7293,222180
2066,7568,7568,7578,7284,2884572,2593912,290660,5175,123902,161583,7046,79,6967,7045,71,6974,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,55,7523,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,28,7550,0
2069,7568,7568,7578,7577,11052,7040,4012,604,728,2680,7566,45,7521,7577,48,7529,0
2070,7568,7568,7578,6785,4670469,4387183,283286,36690,81395,165201,6215,101,6114,6232,109,6123,2820210
2071,7568,7568,7578,7574,18965,11402,7563,530,1353,5680,7563,42,7521,7571,45,7526,8665
2072,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2073,7568,7568,7578,6601,8210219,7488546,721673,135782,243433,342458,5796,116,5680,5821,135,5686,1590643
2074,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,10,7568,0
