"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6310,39696386,31991342,7705044,3664193,1440190,2600661,360,185,175,402,226,176,135022
2011,7568,7568,7578,6322,32592348,26774431,5817917,2769205,1139001,1909711,1670,198,1472,1707,233,1474,0
2012,7568,7568,7578,6321,32807862,27120936,5686926,2620114,1211826,1854986,1631,195,1436,1671,231,1440,0
2013,7568,7568,7578,6327,26875226,24513591,2361635,381287,337065,1643283,2550,187,2363,2591,223,2368,854242
2014,7568,7568,7578,6324,22298325,20315304,1983021,430310,311263,1241448,2537,180,2357,2578,216,2362,5517498
2015,7568,7568,7578,6322,30238272,26999708,3238564,802312,655846,1780406,2096,202,1894,2137,238,1899,0
2016,7568,7568,7578,6333,21381775,18508377,2873398,701381,625840,1546177,3227,165,3062,3273,204,3069,2613449
2017,7568,7568,7578,6813,7462962,6916753,546209,27884,100004,418321,6077,112,5965,6097,122,5975,779818
2018,7568,7568,7578,6267,26143506,23253547,2889959,656208,569407,1664344,2837,161,2676,2884,205,2679,0
2019,7568,7568,7578,6309,31724766,26747885,4976881,1760921,982061,2233899,1827,192,1635,1870,231,1639,0
2020,7568,7568,7578,6482,13759740,13032956,726784,92074,143535,491175,5078,120,4958,5113,147,4966,0
2021,7568,7568,7578,6322,29416563,24345570,5070993,2431717,992531,1646745,318,190,128,357,226,131,10665470
2022,7568,7568,7578,6322,35471394,29029838,6441556,2585306,1178633,2677617,1149,195,954,1189,232,957,0
2023,7568,7568,7578,6322,39172472,32904865,6267607,2396819,1064960,2805828,445,196,249,483,232,251,189226
2024,7568,7568,7578,6324,26486118,20872528,5613590,3448529,1111859,1053202,2775,169,2606,2817,204,2613,0
2025,7568,7568,7578,6313,36443970,31452393,4991577,1670546,1006871,2314160,973,198,775,1011,234,777,0
2026,7568,7568,7578,7574,27630,17188,10442,353,1802,8287,7563,55,7508,7571,58,7513,0
2027,7568,7568,7578,6331,23684436,20659279,3025157,1079321,605221,1340615,3282,157,3125,3323,196,3127,0
2028,7568,7568,7578,6288,34196631,30960722,3235909,2009349,622063,604497,507,186,321,554,232,322,4831145
2029,7568,7568,7578,6315,23828112,19804389,4023723,1854689,910314,1258720,3256,177,3079,3300,212,3088,0
2030,7568,7568,7578,6266,38659896,30146779,8513117,5446667,1809413,1257037,572,184,388,617,228,389,0
2031,7568,7568,7578,6322,33161526,26374467,6787059,3675633,1379128,1732298,1567,195,1372,1605,230,1375,0
2032,7568,7568,7578,6323,26707158,23539901,3167257,825494,533130,1808633,2735,181,2554,2777,217,2560,0
2033,7568,7568,7578,6319,33399144,28802857,4596287,2186310,833552,1576425,1524,193,1331,1561,229,1332,0
2034,7568,7568,7578,6312,27416313,23273801,4142512,1892521,702569,1547422,605,187,418,646,227,419,11087003
2035,7568,7568,7578,6290,32460978,26805488,5655490,2368928,999835,2286727,1426,189,1237,1473,232,1241,1480818
2036,7568,7568,7578,6310,28291713,24129032,4162681,1718374,684302,1760005,1223,188,1035,1265,227,1038,6784145
2037,7568,7568,7578,6294,32465250,27351789,5113461,1710105,882589,2520767,1693,186,1507,1742,232,1510,0
2038,7568,7568,7578,7317,2597220,2214086,383134,4473,94560,284101,7098,74,7024,7098,68,7030,0
2039,7568,7568,7578,6345,19055483,17782428,1273055,162102,236748,874205,4119,168,3951,4166,207,3959,3691
2040,7568,7568,7578,6331,14590175,13194201,1395974,177990,286357,931627,4304,170,4134,4348,209,4139,3461689
2041,7568,7568,7578,6323,33898156,30022148,3876008,1840853,686096,1349059,961,194,767,998,231,767,2616246
2042,7568,7568,7578,6277,37891782,31263557,6628225,2965190,1483499,2179536,711,183,528,756,227,529,0
