"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6310,39696386,31991342,7705044,3664193,1440190,2600661,360,185,175,402,226,176,135022,2010,31991342,11229956,3466666,0,1681514,8081268,7531938,0,1440190,751468,236754,0,0,0,451968,0,7208,5908
2011,7568,7568,7578,6322,32592348,26774431,5817917,2769205,1139001,1909711,1670,198,1472,1707,233,1474,0,2011,26774431,7552007,2488006,0,2270424,6998368,7465626,0,1139001,638908,116478,0,0,0,383615,0,5898,4615
2012,7568,7568,7578,6321,32807862,27120936,5686926,2620114,1211826,1854986,1631,195,1436,1671,231,1440,0,2012,27120936,7754897,5294194,0,111824,6488869,7471152,0,1211826,575028,290215,0,0,0,346583,0,5937,4650
2013,7568,7568,7578,6327,26875226,24513591,2361635,381287,337065,1643283,2550,187,2363,2591,223,2368,854242,2013,24513591,5775974,4910972,0,277050,6178289,7371306,0,337065,180139,48910,0,0,0,108016,0,5018,3736
2014,7568,7568,7578,6324,22298325,20315304,1983021,430310,311263,1241448,2537,180,2357,2578,216,2362,5517498,2014,20315304,4308940,3035344,0,1158008,5471797,6341215,0,311263,160109,55117,0,0,0,96037,0,5031,3746
2015,7568,7568,7578,6322,30238272,26999708,3238564,802312,655846,1780406,2096,202,1894,2137,238,1899,0,2015,26999708,7075455,3722007,0,1355484,7375610,7471152,0,655846,292214,187233,0,0,0,176399,0,5472,4185
2016,7568,7568,7578,6333,21381775,18508377,2873398,701381,625840,1546177,3227,165,3062,3273,204,3069,2613449,2016,18508377,4598941,1954900,0,18368,5182560,6753608,0,625840,278720,179085,0,0,0,168035,0,4341,3060
2017,7568,7568,7578,6813,7462962,6916753,546209,27884,100004,418321,6077,112,5965,6097,122,5975,779818,2017,6916753,923183,418921,0,332472,1891169,3351008,0,100004,60069,4351,0,0,0,35584,0,1491,716
2018,7568,7568,7578,6267,26143506,23253547,2889959,656208,569407,1664344,2837,161,2676,2884,205,2679,0,2018,23253547,5659550,2786128,0,1244480,6125393,7437996,0,569407,277096,125566,0,0,0,166745,0,4731,3383
2019,7568,7568,7578,6309,31724766,26747885,4976881,1760921,982061,2233899,1827,192,1635,1870,231,1639,0,2019,26747885,7796327,3578319,0,563423,7322086,7487730,0,982061,484252,206329,0,0,0,291480,0,5741,4439
2020,7568,7568,7578,6482,13759740,13032956,726784,92074,143535,491175,5078,120,4958,5113,147,4966,0,2020,13032956,1779039,805798,0,1021029,3348490,6078600,0,143535,85115,7888,0,0,0,50532,0,2490,1369
2021,7568,7568,7578,6322,29416563,24345570,5070993,2431717,992531,1646745,318,190,128,357,226,131,10665470,2021,24345570,7125395,3915667,0,1312689,5728352,6263467,0,992531,521496,157751,0,0,0,313284,0,7250,5965
2022,7568,7568,7578,6322,35471394,29029838,6441556,2585306,1178633,2677617,1149,195,954,1189,232,957,0,2022,29029838,9678658,4105033,0,162439,7507562,7576146,0,1178633,599297,218543,0,0,0,360793,0,6419,5133
2023,7568,7568,7578,6322,39172472,32904865,6267607,2396819,1064960,2805828,445,196,249,483,232,251,189226,2023,32904865,10598744,5265096,0,918709,8391442,7730874,0,1064960,557427,172316,0,0,0,335217,0,7123,5839
2024,7568,7568,7578,6324,26486118,20872528,5613590,3448529,1111859,1053202,2775,169,2606,2817,204,2613,0,2024,20872528,5048844,1710962,0,342620,6354210,7415892,0,1111859,692951,3779,0,0,0,415129,0,4793,3507
2025,7568,7568,7578,6313,36443970,31452393,4991577,1670546,1006871,2314160,973,198,775,1011,234,777,0,2025,31452393,9414191,5919686,0,831306,7733168,7554042,0,1006871,433162,311935,0,0,0,261774,0,6595,5302
2026,7568,7568,7578,7574,27630,17188,10442,353,1802,8287,7563,55,7508,7571,58,7513,0,2026,17188,12063,4921,0,204,0,0,0,1802,1025,421,0,0,0,356,0,5,3
