"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,32723730,29657906,3065824,1743111,574718,747995,1330,190,1140,1372,229,1143,1749415
2011,7568,7568,7578,6309,14040899,12732850,1308049,682912,322025,303112,2541,178,2363,2586,217,2369,13779023
2012,7568,7568,7578,6324,24093360,20689528,3403832,931130,766728,1705974,3208,176,3032,3253,215,3038,0
2013,7568,7568,7578,6322,27108491,23025331,4083160,1751246,751691,1580223,2634,187,2447,2678,223,2455,156793
2014,7568,7568,7578,6275,39350646,33276631,6074015,2479984,1141932,2452099,447,183,264,492,227,265,0
2015,7568,7568,7578,6529,10752426,9584072,1168354,232758,388047,547549,5468,118,5350,5491,135,5356,856321
2016,7568,7568,7578,6323,17403300,15436387,1966913,561063,382173,1023677,2903,188,2715,2944,223,2721,8399630
2017,7568,7568,7578,6324,23684436,20080758,3603678,1139300,879262,1585116,3282,173,3109,3323,208,3115,0
2018,7568,7568,7578,6322,32382360,29106561,3275799,1206840,590407,1478552,1708,195,1513,1747,231,1516,0
2019,7568,7568,7578,6323,8242494,7454798,787696,178807,176798,432091,2375,189,2186,2419,227,2192,20509411
2020,7568,7568,7578,6324,18347957,16151799,2196158,939701,436705,819752,2997,176,2821,3040,210,2830,6931763
2021,7568,7568,7578,6285,39439062,30931748,8507314,5373046,1941986,1192282,431,183,248,478,229,249,0
2022,7568,7568,7578,6327,18655776,16862072,1793704,522767,460434,810503,4192,166,4026,4235,203,4032,0
2023,7568,7568,7578,6433,13864734,12503282,1361452,151040,357530,852882,5059,129,4930,5115,175,4940,0
2024,7568,7568,7578,6290,28552842,24035317,4517525,2151758,831524,1534243,2401,181,2220,2450,225,2225,0
2025,7568,7568,7578,6266,32960183,26905873,6054310,3886082,1359732,808496,228,182,46,272,226,46,7616031
2026,7568,7568,7578,6323,35841636,29164723,6676913,3219225,1647364,1810324,1082,195,887,1120,229,891,0
2027,7568,7568,7578,7531,414450,300612,113838,568,22508,90762,7493,38,7455,7503,40,7463,0
2028,7568,7568,7578,7113,3983614,3629817,353797,23690,97683,232424,6762,105,6657,6791,124,6667,472654
2029,7568,7568,7578,6323,19601043,17016625,2584418,1148632,575468,860318,2461,182,2279,2503,219,2284,8641238
2030,7568,7568,7578,7563,138150,84945,53205,5161,13271,34773,7543,34,7509,7553,38,7515,0
2031,7568,7568,7578,6322,40577418,31044735,9532683,5253606,1865401,2413676,225,191,34,260,226,34,0
2032,7568,7568,7578,6288,29151389,25385278,3766111,1958421,731781,1075909,2196,176,2020,2245,222,2023,534283
2033,7568,7568,7578,6309,39101976,36154751,2947225,951833,614997,1380395,492,187,305,533,227,306,0
2034,7568,7568,7578,6339,18699984,16564194,2135790,313938,528568,1293284,4184,154,4030,4233,197,4036,0
2035,7568,7568,7578,6946,6305166,5955509,349657,8397,80328,260932,6427,100,6327,6451,117,6334,0
2036,7568,7568,7578,6324,23220252,20079992,3140260,1672971,694639,772650,3366,165,3201,3409,202,3207,0
2037,7568,7568,7578,6322,27326070,24012768,3313302,1760848,653344,899110,2623,185,2438,2664,221,2443,0
2038,7568,7568,7578,6309,38794438,29564608,9229830,5609308,1762487,1858035,462,187,275,502,227,275,473418
2039,7568,7568,7578,6324,23756274,20498850,3257424,1137804,730062,1389558,3269,168,3101,3312,202,3110,0
2040,7568,7568,7578,6617,9847332,8932442,914890,136640,230889,547361,5786,113,5673,5809,129,5680,0
2041,7568,7568,7578,6285,32271840,27832940,4438900,1632719,1012176,1794005,1728,189,1539,1777,234,1543,0
2042,7568,7568,7578,6368,11977521,10859572,1117949,138707,283616,695626,4949,141,4808,4997,183,4814,2505621
2043,7568,7568,7578,6446,14287304,12934491,1352813,167298,255954,929561,4808,131,4677,4855,172,4683,965962
2044,7568,7568,7578,6269,31978962,26691251,5287711,2188959,1326038,1772714,1781,183,1598,1826,227,1599,0
2045,7568,7568,7578,6398,14174190,13404260,769930,79701,190236,499993,5003,126,4877,5057,172,4885,0
2046,7568,7568,7578,6336,17009028,15129057,1879971,406486,435281,1038204,4490,161,4329,4533,198,4335,0
2047,7568,7568,7578,6308,28157677,23368320,4789357,2020803,883304,1885250,1601,192,1409,1644,232,1412,4828146
2048,7568,7568,7578,6322,28790460,24220244,4570216,1539030,1462283,1568903,2358,192,2166,2400,229,2171,0
2049,7568,7568,7578,7566,116046,62908,53138,10834,16229,26075,7547,16,7531,7559,18,7541,0
2050,7568,7568,7578,7216,3619530,3165598,453932,13443,94146,346343,6913,72,6841,6921,72,6849,0
2051,7568,7568,7578,6281,24572242,20054012,4518230,2639518,905631,973081,1742,185,1557,1789,229,1560,7643181
2052,7568,7568,7578,6301,30369448,26317537,4051911,1156007,939886,1956018,1421,187,1234,1466,229,1237,3606314
2053,7568,7568,7578,6491,12005972,10936304,1069668,55157,226718,787793,5395,126,5269,5425,150,5275,2026
2054,7568,7568,7578,6405,16069608,14442416,1627192,348373,394484,884335,4660,135,4525,4715,182,4533,0
2055,7568,7568,7578,6597,9120722,8414418,706304,86605,151956,467743,5628,112,5516,5654,132,5522,1607508
2056,7568,7568,7578,6335,17191386,15395820,1795566,504347,393077,898142,4457,147,4310,4508,188,4320,0
2057,7568,7568,7578,6322,25944570,22028841,3915729,2119649,784390,1011690,2873,176,2697,2915,212,2703,0
2058,7568,7568,7578,6283,16839144,14360579,2478565,1009044,503390,966131,2100,172,1928,2151,218,1933,13416512
2059,7568,7568,7578,6323,18571628,15970298,2601330,929004,494311,1178015,3253,163,3090,3297,199,3098,5290395
2060,7568,7568,7578,6317,36233982,31227479,5006503,2079113,878664,2048726,1011,177,834,1053,216,837,0
2061,7568,7568,7578,6322,28469952,23605128,4864824,2219645,1495644,1149535,2416,189,2227,2458,226,2232,0
2062,7568,7568,7578,7576,33156,18080,15076,3765,3560,7751,7562,16,7546,7575,13,7562,0
2063,7568,7568,7578,6323,25679322,21566859,4112463,1641333,1290610,1180520,2921,179,2742,2963,214,2749,0
2064,7568,7568,7578,7576,16578,10954,5624,4,612,5008,7565,19,7546,7575,13,7562,0
2065,7568,7568,7578,6442,14681682,12945109,1736573,365672,499332,871569,4911,144,4767,4956,185,4771,900
2066,7568,7568,7578,6324,23380506,19789288,3591218,1194127,875840,1521251,3337,176,3161,3377,210,3167,0
2067,7568,7568,7578,7515,574704,442101,132603,1454,56430,74719,7464,46,7418,7474,51,7423,0
2068,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,0,7578,0
2069,7568,7568,7578,6326,19302318,16881776,2420542,610162,632579,1177801,4075,170,3905,4118,205,3913,0
2070,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,31,7547,0
2071,7568,7568,7578,6324,19987542,17542977,2444565,612476,644820,1187269,3951,173,3778,3996,210,3786,0
2072,7568,7568,7578,6819,7559266,6910488,648778,59501,185285,403992,6200,94,6106,6218,105,6113,302
2073,7568,7568,7578,7574,38682,25471,13211,1564,2832,8815,7561,19,7542,7571,22,7549,0
2074,7568,7568,7578,6556,10471770,9651517,820253,35761,245439,539053,5673,124,5549,5702,147,5555,0
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,25,7553,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,23,7545,7578,25,7553,0
2077,7568,7568,7578,7431,1320714,974196,346518,25910,70289,250319,7329,59,7270,7337,64,7273,0
2078,7568,7568,7578,6322,28856772,24239971,4616801,2307773,1134681,1174347,2346,199,2147,2387,233,2154,0
2079,7568,7568,7578,7122,4630788,4191882,438906,43961,125639,269306,6730,104,6626,6762,131,6631,0
2080,7568,7568,7578,6482,12251142,10919035,1332107,268737,396116,667254,5351,122,5229,5386,153,5233,0
2081,7568,7568,7578,6387,9645034,8692001,953033,148017,244551,560465,4806,142,4664,4856,186,4670,5631666
2082,7568,7568,7578,6386,15038459,13656468,1381991,270667,344090,767234,4846,146,4700,4894,185,4709,3313
2083,7568,7568,7578,6333,13948114,12269569,1678545,492995,416793,768757,4448,153,4295,4493,195,4298,3307326
2084,7568,7568,7578,6323,24292296,21064319,3227977,948640,764784,1514553,3172,170,3002,3212,204,3008,0
2085,7568,7568,7578,7569,78966,57791,21175,2470,5596,13109,7553,43,7510,7564,47,7517,3924
2086,7568,7568,7578,6334,17174390,15533660,1640730,197847,415659,1027224,4428,158,4270,4474,194,4280,177250
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,28,7540,7578,34,7544,0
2088,7568,7568,7578,6793,5778297,5406460,371837,14977,97775,259085,6115,120,5995,6140,139,6001,2261705
2089,7568,7568,7578,7075,4796568,4361216,435352,7245,75789,352318,6700,73,6627,6729,96,6633,0
2090,7568,7568,7578,6322,14052675,12680557,1372118,316681,383758,671679,4483,151,4332,4534,193,4341,3007842
2091,7568,7568,7578,7519,476805,272755,204050,71749,57692,74609,7474,37,7437,7483,43,7440,42639
2092,7568,7568,7578,6383,13077140,11946060,1131080,119446,522423,489211,5063,129,4934,5114,173,4941,767422
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,3,7575,0
2094,7568,7568,7578,6670,8476884,8042458,434426,57575,90792,286059,6034,108,5926,6067,134,5933,0
2095,7568,7568,7578,6296,15519558,12798932,2720626,1362918,662310,695398,2056,187,1869,2105,231,1874,14986149
2096,7568,7568,7578,7578,5526,2992,2534,203,648,1683,7567,32,7535,7578,36,7542,0
2097,7568,7568,7578,7576,9144,5008,4136,888,1462,1786,7566,18,7548,7575,24,7551,1908
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,14,7564,0
2099,7568,7355,7578,7359,49734,8533,0,0,0,0,7346,45,7301,7355,48,7307,0
