"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,29657906,6907979,3563144,0,5199339,6582727,7404717,0,574718,354405,8432,0,0,0,211881,0,6238,4937
2011,12732850,2273008,1390433,0,1841941,3156762,4070706,0,322025,160958,64909,0,0,0,96158,0,5027,3723
2012,20689528,5039486,2406223,0,177332,5628491,7437996,0,766728,344993,213581,0,0,0,208154,0,4360,3071
2013,23025331,5319249,2171994,0,1703557,6370431,7460100,0,751691,468968,1803,0,0,0,280920,0,4934,3644
2014,33276631,10402307,7028572,0,1302318,7066756,7476678,0,1141932,573640,223227,0,0,0,345065,0,7121,5783
2015,9584072,1331437,551346,0,81782,2362378,5257129,0,388047,152525,143365,0,0,0,92157,0,2100,1038
2016,15436387,3255836,1615505,0,874933,4240736,5449377,0,382173,208100,49614,0,0,0,124459,0,4665,3379
2017,20080758,4765864,1738860,0,419673,5757047,7399314,0,879262,394755,246245,0,0,0,238262,0,4286,3001
2018,29106561,6962994,5807247,0,2260252,6604916,7471152,0,590407,334712,55007,0,0,0,200688,0,5860,4575
2019,7454798,1385288,860708,0,201164,2141110,2866528,0,176798,78037,52063,0,0,0,46698,0,5193,3904
2020,16151799,3307076,1506731,0,1390584,4193765,5753643,0,436705,261925,18333,0,0,0,156447,0,4571,3284
2021,30931748,8964478,5001306,0,2407371,7065337,7493256,0,1941986,938173,438079,0,0,0,565734,0,7137,5807
2022,16862072,2636638,1594470,0,527957,4764479,7338528,0,460434,232743,88114,0,0,0,139577,0,3376,2092
2023,12503282,1815791,1020061,0,2682,3177224,6487524,0,357530,162066,98042,0,0,0,97422,0,2509,1318
2024,24035317,5950778,2166945,0,1750966,6684424,7482204,0,831524,520119,0,0,0,0,311405,0,5167,3840
2025,26905873,6999333,4250017,0,3323107,5945230,6388186,0,1359732,664086,295746,0,0,0,399900,0,7340,5994
2026,29164723,8990933,5072872,0,602761,6988323,7509834,0,1647364,660053,587306,0,0,0,400005,0,6486,5203
2027,300612,180891,118371,0,1350,0,0,0,22508,11389,4373,0,0,0,6746,0,75,28
2028,3629817,492794,260025,0,75536,1500138,1301324,0,97683,43299,28744,0,0,0,25640,0,806,322
2029,17016625,3364157,1759646,0,1293854,4815968,5783000,0,575468,284966,119493,0,0,0,171009,0,5107,3820
2030,84945,56805,21900,0,6240,0,0,0,13271,6629,2850,0,0,0,3792,0,25,10
2031,31044735,11327424,3136802,0,703955,8195414,7681140,0,1865401,950872,342026,0,0,0,572503,0,7343,6062
2032,25385278,5170198,3417895,0,3049771,6298366,7449048,0,731781,436904,33216,0,0,0,261661,0,5372,4043
2033,36154751,9690935,6848624,0,4385285,7703495,7526412,0,614997,263922,191887,0,0,0,159188,0,7076,5776
2034,16564194,3131114,1529397,0,105506,4608851,7189326,0,528568,225977,166475,0,0,0,136116,0,3384,2106
2035,5955509,790309,612081,0,154648,2038869,2359602,0,80328,35553,23792,0,0,0,20983,0,1141,495
2036,20079992,3424398,2107032,0,2068671,5063999,7415892,0,694639,410340,38420,0,0,0,245879,0,4202,2915
2037,24012768,4834166,3538164,0,2499726,5680612,7460100,0,653344,408046,1154,0,0,0,244144,0,4945,3658
2038,29564608,9916603,2540046,0,1903742,7722013,7482204,0,1762487,995206,169532,0,0,0,597749,0,7106,5807
2039,20498850,4188519,3849650,0,282429,4784464,7393788,0,730062,361595,151020,0,0,0,217447,0,4299,3012
2040,8932442,1128383,477099,0,20204,2360986,4945770,0,230889,116299,44970,0,0,0,69620,0,1782,808
2041,27832940,7649062,3911502,0,1758745,6959589,7554042,0,1012176,443644,300486,0,0,0,268046,0,5840,4508
2042,10859572,1439902,805130,0,1029,2758291,5855220,0,283616,135499,66975,0,0,0,81142,0,2619,1371
2043,12934491,2070132,1083534,0,286161,3433689,6060975,0,255954,153392,11136,0,0,0,91426,0,2760,1591
2044,26691251,7421043,4373239,0,903559,6533310,7460100,0,1326038,540169,458750,0,0,0,327119,0,5787,4443
2045,13404260,1636497,813898,0,835866,3359701,6758298,0,190236,92099,43056,0,0,0,55081,0,2565,1341
2046,15129057,2331294,1203638,0,126503,4272770,7194852,0,435281,244127,44935,0,0,0,146219,0,3078,1803
2047,23368320,6814599,3110366,0,816304,6003441,6623610,0,883304,507121,71984,0,0,0,304199,0,5967,4664
2048,24220244,6443375,2018833,0,1399076,6893334,7465626,0,1462283,465586,712314,0,0,0,284383,0,5210,3922
2049,62908,47830,15078,0,0,0,0,0,16229,7560,4281,0,0,0,4388,0,21,7
2050,3165598,688078,207731,0,110336,1557119,602334,0,94146,50429,13658,0,0,0,30059,0,655,295
2051,20054012,4888814,2560835,0,1374865,5243807,5985691,0,905631,537419,46269,0,0,0,321943,0,5826,4492
2052,26317537,7483447,5015953,0,418066,6332344,7067727,0,939886,351850,374570,0,0,0,213466,0,6147,4835
2053,10936304,1580839,734392,0,3,2697198,5923872,0,226718,119811,35138,0,0,0,71769,0,2173,1066
2054,14442416,2210894,1161351,0,505070,3856537,6708564,0,394484,197384,78676,0,0,0,118424,0,2908,1690
2055,8414418,1039638,592009,0,337316,1983275,4462180,0,151956,88435,10878,0,0,0,52643,0,1940,943
2056,15395820,2518331,877058,0,619277,4213932,7167222,0,393077,231710,22811,0,0,0,138556,0,3111,1827
2057,22028841,4399022,2370521,0,1800212,6015564,7443522,0,784390,487182,5469,0,0,0,291739,0,4695,3407
2058,14360579,3535807,2334056,0,631200,3474052,4385464,0,503390,275007,63639,0,0,0,164744,0,5468,4132
2059,15970298,3481370,1308445,0,617155,4532759,6030569,0,494311,303710,8930,0,0,0,181671,0,4315,3026
2060,31227479,8912328,5572055,0,2110067,7062409,7570620,0,878664,496109,84702,0,0,0,297853,0,6557,5264
2061,23605128,6151345,2776760,0,653139,6552732,7471152,0,1495644,546245,617277,0,0,0,332122,0,5152,3864
2062,18080,12871,4543,0,666,0,0,0,3560,1926,924,0,0,0,710,0,6,1
2063,21566859,5087082,2274300,0,710152,6073907,7421418,0,1290610,445337,573983,0,0,0,271290,0,4647,3360
2064,10954,7354,2289,0,1311,0,0,0,612,422,0,0,0,0,190,0,3,1
2065,12945109,2077058,850244,0,183988,3456815,6377004,0,499332,218753,148770,0,0,0,131809,0,2657,1486
2066,19789288,4543392,1911186,0,346577,5588819,7399314,0,875840,400662,233572,0,0,0,241606,0,4231,2947
2067,442101,225080,173673,0,43348,0,0,0,56430,13263,35054,0,0,0,8113,0,104,41
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,16881776,2979650,1708861,0,73608,4770077,7349580,0,632579,294536,160728,0,0,0,177315,0,3493,2208
2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2071,17542977,3082917,2069039,0,175511,4816196,7399314,0,644820,289487,180948,0,0,0,174385,0,3617,2328
2072,6910488,874747,529782,0,74164,2121721,3310074,0,185285,78753,59269,0,0,0,47263,0,1368,601
2073,25471,16529,3471,0,5471,0,0,0,2832,1512,801,0,0,0,519,0,7,3
2074,9651517,1227612,519046,0,0,2472801,5432058,0,245439,88195,104048,0,0,0,53196,0,1895,854
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,974196,409223,148268,0,12052,404653,0,0,70289,43996,220,0,0,0,26073,0,239,94
2078,24239971,5403351,3434464,0,1353572,6582958,7465626,0,1134681,511966,313706,0,0,0,309009,0,5222,3935
2079,4191882,700010,419267,0,169489,1715026,1188090,0,125639,54171,39140,0,0,0,32328,0,838,360
2080,10919035,1503614,676793,0,0,2704236,6034392,0,396116,174838,116087,0,0,0,105191,0,2217,1096
2081,8692001,1205396,626417,0,63897,2418379,4377912,0,244551,118090,55766,0,0,0,70695,0,2762,1531
2082,13656468,1850474,874846,0,435560,3665452,6830136,0,344090,179129,57699,0,0,0,107262,0,2722,1492
2083,12269569,1806959,984894,0,8493,3546963,5922260,0,416793,227111,53486,0,0,0,136196,0,3120,1840
2084,21064319,4753405,2952392,0,367520,5575110,7415892,0,764784,340938,218176,0,0,0,205670,0,4396,3111
2085,57791,30552,14367,0,12872,0,0,0,5596,2511,2008,0,0,0,1077,0,15,5
2086,15533660,2507329,1484325,0,13172,4317404,7211430,0,415659,183191,122344,0,0,0,110124,0,3140,1860
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,5406460,632540,445474,0,193329,1574963,2560154,0,97775,39615,34563,0,0,0,23597,0,1453,653
2089,4361216,704414,267365,0,14436,1938241,1436760,0,75789,47514,0,0,0,0,28275,0,868,346
2090,12680557,1776685,1010665,0,284324,3614149,5994734,0,383758,173604,105715,0,0,0,104439,0,3085,1788
2091,272755,161803,80956,0,29996,0,0,0,57692,31088,8113,0,0,0,18491,0,94,36
2092,11946060,1554102,1057490,0,0,2829718,6504750,0,522423,126402,318268,0,0,0,77753,0,2505,1269
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,8042458,779795,447794,0,215324,2256109,4343436,0,90792,55549,2323,0,0,0,32920,0,1534,603
2095,12798932,3084051,1628874,0,653950,3359399,4072658,0,662310,318463,152436,0,0,0,191411,0,5512,4191
