"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6309,32723730,29657906,3065824,1743111,574718,747995,1330,190,1140,1372,229,1143,1749415,2010,29657906,6907979,3563144,0,5199339,6582727,7404717,0,574718,354405,8432,0,0,0,211881,0,6238,4937
2011,7568,7568,7578,6309,14040899,12732850,1308049,682912,322025,303112,2541,178,2363,2586,217,2369,13779023,2011,12732850,2273008,1390433,0,1841941,3156762,4070706,0,322025,160958,64909,0,0,0,96158,0,5027,3723
2012,7568,7568,7578,6324,24093360,20689528,3403832,931130,766728,1705974,3208,176,3032,3253,215,3038,0,2012,20689528,5039486,2406223,0,177332,5628491,7437996,0,766728,344993,213581,0,0,0,208154,0,4360,3071
2013,7568,7568,7578,6322,27108491,23025331,4083160,1751246,751691,1580223,2634,187,2447,2678,223,2455,156793,2013,23025331,5319249,2171994,0,1703557,6370431,7460100,0,751691,468968,1803,0,0,0,280920,0,4934,3644
2014,7568,7568,7578,6275,39350646,33276631,6074015,2479984,1141932,2452099,447,183,264,492,227,265,0,2014,33276631,10402307,7028572,0,1302318,7066756,7476678,0,1141932,573640,223227,0,0,0,345065,0,7121,5783
2015,7568,7568,7578,6529,10752426,9584072,1168354,232758,388047,547549,5468,118,5350,5491,135,5356,856321,2015,9584072,1331437,551346,0,81782,2362378,5257129,0,388047,152525,143365,0,0,0,92157,0,2100,1038
2016,7568,7568,7578,6323,17403300,15436387,1966913,561063,382173,1023677,2903,188,2715,2944,223,2721,8399630,2016,15436387,3255836,1615505,0,874933,4240736,5449377,0,382173,208100,49614,0,0,0,124459,0,4665,3379
2017,7568,7568,7578,6324,23684436,20080758,3603678,1139300,879262,1585116,3282,173,3109,3323,208,3115,0,2017,20080758,4765864,1738860,0,419673,5757047,7399314,0,879262,394755,246245,0,0,0,238262,0,4286,3001
2018,7568,7568,7578,6322,32382360,29106561,3275799,1206840,590407,1478552,1708,195,1513,1747,231,1516,0,2018,29106561,6962994,5807247,0,2260252,6604916,7471152,0,590407,334712,55007,0,0,0,200688,0,5860,4575
2019,7568,7568,7578,6323,8242494,7454798,787696,178807,176798,432091,2375,189,2186,2419,227,2192,20509411,2019,7454798,1385288,860708,0,201164,2141110,2866528,0,176798,78037,52063,0,0,0,46698,0,5193,3904
2020,7568,7568,7578,6324,18347957,16151799,2196158,939701,436705,819752,2997,176,2821,3040,210,2830,6931763,2020,16151799,3307076,1506731,0,1390584,4193765,5753643,0,436705,261925,18333,0,0,0,156447,0,4571,3284
2021,7568,7568,7578,6285,39439062,30931748,8507314,5373046,1941986,1192282,431,183,248,478,229,249,0,2021,30931748,8964478,5001306,0,2407371,7065337,7493256,0,1941986,938173,438079,0,0,0,565734,0,7137,5807
2022,7568,7568,7578,6327,18655776,16862072,1793704,522767,460434,810503,4192,166,4026,4235,203,4032,0,2022,16862072,2636638,1594470,0,527957,4764479,7338528,0,460434,232743,88114,0,0,0,139577,0,3376,2092
