"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,21574191,5017060,2273262,0,943334,5885961,7454574,0,876854,423944,197652,0,0,0,255258,0,4572,3283
2011,22275591,6012520,2862325,0,238033,6239722,6922991,0,856115,396676,220262,0,0,0,239177,0,5345,4061
2012,17861044,3261953,1658151,0,942956,4808658,7189326,0,455980,201871,132407,0,0,0,121702,0,3594,2325
2013,6960520,748906,274173,0,608436,2035509,3293496,0,83236,52368,0,0,0,0,30868,0,1333,596
2014,32331323,6848014,4273042,0,7091417,6631120,7487730,0,668305,418193,0,0,0,0,250112,0,6497,5161
2015,1374850,130505,158286,0,13024,410758,662277,0,20109,12490,754,0,0,0,6865,0,4968,3640
2016,16776251,2907840,1938622,0,412778,4371893,7145118,0,361825,223951,4243,0,0,0,133631,0,3381,2097
2017,26158139,7272534,2733555,0,1594436,7086612,7471002,0,1286022,781504,36016,0,0,0,468502,0,6033,4747
2018,29640525,7230393,3163017,0,4856857,6913580,7476678,0,951299,560751,54329,0,0,0,336219,0,6252,4961
2019,11171925,2702957,1766176,0,263727,2876838,3562227,0,406489,184933,110638,0,0,0,110918,0,6395,5089
2020,9318870,1258371,571066,0,173706,2392061,4923666,0,168443,105258,615,0,0,0,62570,0,1848,878
2021,10256346,1615259,620625,0,283345,2492943,5244174,0,417512,194722,105765,0,0,0,117025,0,2122,1113
2022,26280813,7352096,2520044,0,2128233,6886652,7393788,0,1074019,550689,192017,0,0,0,331313,0,5676,4400
2023,21059953,5217743,2876042,0,179535,5481261,7305372,0,860927,275110,417961,0,0,0,167856,0,4367,3087
2024,14640883,1805200,1309082,0,877554,3730495,6918552,0,158739,65048,54701,0,0,0,38990,0,2781,1547
2025,20210157,4117825,1613902,0,1226261,5858381,7393788,0,549381,250464,147935,0,0,0,150982,0,4111,2825
2026,33628979,10397721,7610750,0,584081,7438177,7598250,0,2110369,532847,1248130,0,0,0,329392,0,7221,5939
2027,7966311,1091289,626533,0,151682,2018619,4078188,0,261580,111618,82863,0,0,0,67099,0,1603,760
2028,10018942,1352298,675182,0,368427,2472803,5150232,0,236211,81181,105945,0,0,0,49085,0,1957,958
2029,4529267,562898,252458,0,206501,1402601,2104809,0,110373,49282,31775,0,0,0,29316,0,1203,543
2030,23549229,3709361,1916108,0,4397580,6071606,7454574,0,530488,261762,111509,0,0,0,157217,0,4663,3376
2031,21024253,5040156,2004027,0,482326,6048696,7449048,0,1120684,549711,239964,0,0,0,331009,0,4648,3361
2032,24107016,6228215,2985946,0,782157,6656124,7454574,0,972742,473134,214563,0,0,0,285045,0,5180,3893
2033,19089491,4034451,2062032,0,190951,5375113,7426944,0,976855,377544,370396,0,0,0,228915,0,4058,2772
2034,68365,44884,12736,0,10745,0,0,0,12090,5554,3350,0,0,0,3186,0,20,8
2035,19867629,3648234,2306349,0,1405995,5146419,7360632,0,470513,274209,32135,0,0,0,164169,0,4046,2767
2036,20218225,2286484,1721872,0,4063744,4971024,7175101,0,122460,69023,12816,0,0,0,40621,0,4010,2719
2037,14203907,1973971,1511530,0,4658,3596260,7117488,0,289575,143506,60066,0,0,0,86003,0,2801,1534
2038,1119947,295539,130602,0,50210,553580,90016,0,49151,24177,10751,0,0,0,14223,0,475,219
2039,26440,13469,9853,0,3118,0,0,0,2461,1207,810,0,0,0,444,0,7,3
2040,5742268,668368,439210,0,153204,2011364,2470122,0,109064,68424,0,0,0,0,40640,0,1131,472
2041,24037048,5781103,3852220,0,579843,6369308,7454574,0,711237,344228,159729,0,0,0,207280,0,4983,3635
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,20571975,5079576,2487063,0,1067614,5571452,6366270,0,1005160,499890,204403,0,0,0,300867,0,5950,4663
2044,14327642,2049529,1540229,0,339607,3496303,6901974,0,562321,293135,93324,0,0,0,175862,0,2969,1690
2045,15152080,2372590,1256701,0,5071,4289710,7228008,0,326905,176559,44452,0,0,0,105894,0,3025,1742
