"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6903,6680934,6075539,605395,65260,165290,374845,6359,67,6292,6386,84,6302,0
2011,7568,7568,7578,6324,19772028,16947539,2824489,779737,749963,1294789,3990,170,3820,4035,205,3830,0
2012,7568,7568,7578,6323,34979580,29728617,5250963,1975860,1046704,2228399,1238,197,1041,1279,234,1045,0
2013,7568,7568,7578,6915,7106436,6496029,610407,42460,121723,446224,6282,94,6188,6307,112,6195,0
2014,7568,7568,7578,6322,38438856,31794239,6644617,2965289,1181028,2498300,612,191,421,649,227,422,0
2015,7568,7568,7578,6322,18480004,15757745,2722259,872460,600205,1249594,2505,188,2317,2545,223,2322,9524790
2016,7568,7568,7578,6597,10692810,9711974,980836,149221,237651,593964,5633,138,5495,5660,162,5498,0
2017,7568,7568,7578,6369,16831696,15440587,1391109,141962,323939,925208,4522,155,4367,4570,195,4375,500
2018,7568,7568,7578,6329,30415104,26767851,3647253,1154191,566073,1926989,2064,178,1886,2107,218,1889,0
2019,7568,7568,7578,6322,5188016,4812444,375572,79525,99004,197043,2022,204,1818,2061,240,1821,25529035
2020,7568,7568,7578,7262,2917728,2460806,456922,78416,120904,257602,7040,56,6984,7050,58,6992,0
2021,7568,7568,7578,6322,37366812,30565622,6801190,3021055,1238152,2541983,806,192,614,845,228,617,0
2022,7568,7568,7578,6303,34004525,29509119,4495406,2420093,863614,1211699,1409,185,1224,1459,230,1229,30109
2023,7568,7568,7578,6310,36189774,29580713,6609061,3816278,1174174,1618609,1019,191,828,1061,230,831,0
2024,7568,7568,7578,6276,36482652,28050927,8431725,4861755,1765859,1804111,966,184,782,1013,228,785,0
2025,7568,7568,7578,6474,16014563,13711156,2303407,570817,664132,1068458,4658,136,4522,4693,168,4525,66097
2026,7568,7568,7578,6360,17550576,15381403,2169173,413889,522579,1232705,4392,142,4250,4439,182,4257,0
2027,7568,7568,7578,6666,10002060,9087772,914288,87455,303687,523146,5758,129,5629,5781,143,5638,0
2028,7568,7568,7578,6398,17451108,15601326,1849782,340308,428494,1080980,4410,150,4260,4464,196,4268,0
2029,7568,7568,7578,6323,14296491,12102303,2194188,841314,473355,879519,3266,177,3089,3311,213,3098,9507158
2030,7568,7568,7578,7203,3796362,3275176,521186,66219,142334,312633,6881,83,6798,6908,104,6804,0
2031,7568,7568,7578,6322,37665216,29934116,7731100,3645903,1505988,2579209,752,195,557,789,231,558,0
2032,7568,7568,7578,6331,16787964,15799133,988831,406122,233223,349486,4529,153,4376,4581,198,4383,5550
2033,7568,7568,7578,6322,36670536,29688251,6982285,3408775,1762936,1810574,932,198,734,970,233,737,0
2034,7568,7568,7578,7290,2541960,2202479,339481,28971,150248,160262,7108,76,7032,7097,61,7036,0
2035,7568,7568,7578,7272,3061404,2543953,517451,74479,121836,321136,7014,84,6930,7020,82,6938,0
2036,7568,7568,7578,6324,20390940,17377421,3013519,1023010,778129,1212380,3878,164,3714,3921,198,3723,0
2037,7568,7568,7578,7526,440060,280184,159876,26230,37825,95821,7482,48,7434,7491,51,7440,35176
2038,7568,7568,7578,6322,16279224,13452223,2827001,1681291,574942,570768,2038,192,1846,2080,228,1852,14317908
2039,7568,7568,7578,6330,23605633,20603280,3002353,886064,614240,1502049,3296,172,3124,3340,209,3131,1439
2040,7568,7568,7578,6322,27202081,23323923,3878158,1508226,916932,1453000,2643,188,2455,2682,223,2459,13469
2041,7568,7568,7578,6533,11494080,10628452,865628,59625,207655,598348,5488,115,5373,5511,133,5378,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,50,7528,0
2043,7568,7568,7578,6327,10684062,9672709,1011353,172708,276241,562404,4318,155,4163,4362,192,4170,7292895
2044,7568,7568,7578,6399,15262812,13424578,1838234,593502,687650,557082,4806,141,4665,4860,188,4672,0
2045,7568,7568,7578,7546,270774,193259,77515,2272,16477,58766,7519,43,7476,7527,46,7481,0
2046,7568,7568,7578,7567,93942,53559,40383,5523,12883,21977,7551,23,7528,7560,25,7535,0
2047,7568,7568,7578,7440,1236344,953709,282635,38132,80727,163776,7340,59,7281,7350,60,7290,23584
2048,7568,7568,7578,6544,12323318,10702889,1620429,361595,390090,868744,5139,124,5015,5160,137,5023,1103483
2049,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2050,7568,7568,7578,6340,16870878,15095378,1775500,212329,636309,926862,4515,166,4349,4562,203,4359,0
2051,7568,7568,7578,7535,263024,189038,73986,1965,18133,53888,7500,54,7446,7509,58,7451,112744
2052,7568,7568,7578,7570,68575,40842,27733,3068,8189,16476,7555,22,7533,7565,25,7540,3263
2053,7568,7568,7578,6983,5362175,4991413,370762,12466,85330,272966,6465,81,6384,6492,106,6386,736143
2054,7568,7568,7578,7578,0,0,0,0,0,0,7568,40,7528,7578,43,7535,0
2055,7568,7568,7578,7578,0,0,0,0,0,0,7568,41,7527,7578,44,7534,0
2056,7568,7568,7578,6986,5653098,5065763,587335,169524,137641,280170,6545,84,6461,6570,101,6469,0
