"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,6075539,831392,353634,0,41115,2125080,2724318,0,165290,75234,45071,0,0,0,44985,0,1209,517
2011,16947539,3340524,839539,0,64712,5314502,7388262,0,749963,340333,204460,0,0,0,205170,0,3578,2289
2012,29728617,8634310,3669096,0,2009412,7712555,7703244,0,1046704,480917,275685,0,0,0,290102,0,6330,5044
2013,6496029,950428,358799,0,270972,2003628,2912202,0,121723,66302,16086,0,0,0,39335,0,1286,608
2014,31794239,9502937,4890324,0,1834608,7890756,7675614,0,1181028,649405,141691,0,0,0,389932,0,6956,5673
2015,15757745,3981882,1684264,0,289952,4559913,5241734,0,600205,275847,158366,0,0,0,165992,0,5063,3777
2016,9711974,1272687,666134,0,250630,2410973,5111550,0,237651,125207,37599,0,0,0,74845,0,1935,937
2017,15440587,2473084,1122737,0,866954,4004000,6973812,0,323939,137220,104064,0,0,0,82655,0,3046,1799
2018,26767851,6547075,4599888,0,429829,6664441,8526618,0,566073,323426,48758,0,0,0,193889,0,5504,4222
2019,4812444,598281,390181,0,175658,1393221,2255103,0,99004,38759,37161,0,0,0,23084,0,5546,4261
2020,2460806,500426,178087,0,41059,1144426,596808,0,120904,63879,19219,0,0,0,37806,0,528,212
2021,30565622,9847997,4379410,0,1470362,7385649,7482204,0,1238152,671156,163709,0,0,0,403287,0,6762,5477
2022,29509119,5580457,2553878,0,5833104,8053950,7487730,0,863614,523632,26335,0,0,0,313647,0,6159,4844
2023,29580713,8580370,4181561,0,2348040,6988538,7482204,0,1174174,726366,12600,0,0,0,435208,0,6549,5249
2024,28050927,9008702,3655988,0,601389,7275014,7509834,0,1765859,891446,337608,0,0,0,536805,0,6602,5263
2025,13711156,2671620,925499,0,12355,4017556,6084126,0,664132,284191,208411,0,0,0,171530,0,2910,1781
2026,15381403,2878526,1442756,0,37665,3993384,7029072,0,522579,247705,125919,0,0,0,148955,0,3176,1921
2027,9087772,1373733,828849,0,63513,2240623,4581054,0,303687,103886,136886,0,0,0,62915,0,1810,885
2028,15601326,2836823,1072116,0,762995,4115834,6813558,0,428494,201445,106035,0,0,0,121014,0,3158,1934
2029,12102303,2516594,944264,0,128217,3578181,4935047,0,473355,262548,53692,0,0,0,157115,0,4302,3012
2030,3275176,631761,526396,0,17924,1397293,701802,0,142334,67674,34214,0,0,0,40446,0,687,295
2031,29934116,10165031,3603660,0,492435,7958694,7714296,0,1505988,759050,289877,0,0,0,457061,0,6816,5533
2032,15799133,1692195,932350,0,1912256,4161422,7100910,0,233223,137571,13735,0,0,0,81917,0,3039,1750
2033,29688251,8945872,3101996,0,1739409,8170100,7730874,0,1762936,684308,663514,0,0,0,415114,0,6636,5352
2034,2202479,461423,282337,0,129248,1091853,237618,0,150248,41335,84058,0,0,0,24855,0,460,193
2035,2543953,619326,292230,0,66618,1134751,431028,0,121836,69467,10956,0,0,0,41413,0,554,252
2036,17377421,3464733,1425023,0,19640,5079763,7388262,0,778129,364938,193364,0,0,0,219827,0,3690,2403
2037,280184,161811,78982,0,39391,0,0,0,37825,21567,3527,0,0,0,12731,0,86,35
2038,13452223,2914500,1186439,0,1000355,3813527,4537402,0,574942,338755,33457,0,0,0,202730,0,5530,4242
2039,20603280,4354931,2475513,0,1045229,5405657,7321950,0,614240,325809,92878,0,0,0,195553,0,4272,2990
2040,23323923,5297475,2411318,0,1923268,6231762,7460100,0,916932,432991,223080,0,0,0,260861,0,4925,3640
2041,10628452,1372542,1223601,0,124431,2310040,5597838,0,207655,96523,53339,0,0,0,57793,0,2080,1022
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,9672709,1360559,822098,0,132136,2884435,4473481,0,276241,122530,80129,0,0,0,73582,0,3250,1965
2044,13424578,1954594,1162076,0,197626,3401718,6708564,0,687650,244651,294439,0,0,0,148560,0,2762,1539
2045,193259,110447,58063,0,24749,0,0,0,16477,8922,2325,0,0,0,5230,0,49,19
2046,53559,38837,10644,0,4078,0,0,0,12883,5364,4405,0,0,0,3114,0,17,7
2047,953709,332851,171174,0,112967,336717,0,0,80727,37561,20958,0,0,0,22208,0,228,90
2048,10702889,1917642,620169,0,103784,2634248,5427046,0,390090,196864,75126,0,0,0,118100,0,2429,1384
2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,15095378,2412135,982779,0,4443,4523273,7172748,0,636309,208738,300510,0,0,0,127061,0,3053,1778
2051,189038,105945,55719,0,27374,0,0,0,18133,8481,4659,0,0,0,4993,0,68,26
2052,40842,28814,9558,0,2470,0,0,0,8189,3357,3233,0,0,0,1599,0,13,5
2053,4991413,638601,333837,0,171584,1604107,2243284,0,85330,39820,21819,0,0,0,23691,0,1103,491
2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2056,5065763,606920,337020,0,50919,1749984,2320920,0,137641,86188,337,0,0,0,51116,0,1023,416
2057,19977122,4650081,2417097,0,119166,5424620,7366158,0,917984,302561,431027,0,0,0,184396,0,4159,2864
2058,75416,48176,18022,0,9218,0,0,0,18733,7136,7413,0,0,0,4184,0,23,8
2059,6185301,816880,366451,0,0,2145028,2856942,0,148273,88590,7184,0,0,0,52499,0,1241,531
2060,27459659,8114359,4046378,0,967846,6755730,7575346,0,1819532,786754,556988,0,0,0,475790,0,6370,5078
2061,2474746,490412,219065,0,32982,1301259,431028,0,144592,69768,33366,0,0,0,41458,0,534,217
2062,16731558,3415432,1684913,0,52057,4428512,7150644,0,834124,365647,247834,0,0,0,220643,0,3582,2309
2063,1038513,434342,154519,0,0,449652,0,0,132197,59790,36746,0,0,0,35661,0,266,104
2064,21428372,4592544,2523360,0,919790,5943630,7449048,0,772404,438720,70536,0,0,0,263148,0,4586,3300
2065,6252313,794676,429051,0,95195,2144384,2789007,0,163611,63797,61592,0,0,0,38222,0,1238,535
2066,10172144,1293365,874556,0,609478,2316351,5078394,0,226956,78168,101645,0,0,0,47143,0,1974,991
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,5902,4048,1788,0,66,0,0,0,732,218,412,0,0,0,102,0,2,1
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,8864848,1083397,601684,0,429386,2256552,4493829,0,247382,86009,109469,0,0,0,51904,0,2373,1283
2071,738166,224688,201241,0,90627,221610,0,0,20625,10733,3551,0,0,0,6341,0,247,96
2072,53225,38368,13894,0,963,0,0,0,12791,5341,4411,0,0,0,3039,0,17,7
2073,58226,33159,11053,0,14014,0,0,0,10579,5387,2122,0,0,0,3070,0,23,8
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,10810266,1311724,667389,0,338999,2681954,5810200,0,226682,137837,6733,0,0,0,82112,0,2292,1159
2077,15333085,2582466,1214630,0,4924,4341739,7189326,0,686539,318097,176902,0,0,0,191540,0,3247,1970
2078,5028971,657860,433562,0,70774,1893993,1972782,0,164431,71397,50122,0,0,0,42912,0,1008,418
2079,6159840,873346,588884,0,43047,1554017,3100546,0,202100,73979,83586,0,0,0,44535,0,2990,1725
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,8301781,952581,457708,0,128355,2202100,4561037,0,264557,125378,64058,0,0,0,75121,0,2572,1322
2084,13907472,2074944,1402752,0,6374,3482746,6940656,0,548753,207516,215598,0,0,0,125639,0,2822,1576
2085,11115,6989,2724,0,1402,0,0,0,2437,351,1905,0,0,0,181,0,3,1
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,4213643,435326,196706,0,41536,1270533,2269542,0,99096,52887,14759,0,0,0,31450,0,1527,640
2091,1074388,377310,205094,0,0,491984,0,0,172373,47834,95301,0,0,0,29238,0,287,110
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,4693942,544707,421094,0,37753,1916542,1773846,0,104305,47286,28862,0,0,0,28157,0,918,328
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,9727779,1266320,624384,0,82321,2512770,5241984,0,296090,148263,59085,0,0,0,88742,0,2331,1181
2098,1420688,289817,193636,0,4096,719239,213900,0,85708,39713,22482,0,0,0,23513,0,490,193
2099,28852,7561,21291,0,0,0,0,0,0,0,0,0,0,0,0,0,36,15
