"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6340,19147590,17153757,1993833,430706,413235,1149892,4103,154,3949,4151,193,3958,0
2011,7568,7568,7578,6339,21976902,19827391,2149511,299312,359135,1491064,3591,162,3429,3639,202,3437,0
2012,7568,7568,7578,6322,30475890,25373439,5102451,2724913,980836,1396702,2053,198,1855,2094,234,1860,0
2013,7568,7568,7578,6322,28836008,24445649,4390359,1377570,963217,2049572,2349,192,2157,2391,228,2163,4186
2014,7568,7568,7578,6585,10869290,10199843,669447,18041,110513,540893,5601,130,5471,5623,147,5476,352
2015,7568,7568,7578,6322,40682412,35013761,5668651,1747908,959208,2961535,206,190,16,242,226,16,0
2016,7568,7568,7578,6570,11449572,10515772,933800,123499,209692,600609,5496,125,5371,5517,142,5375,300
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0
2018,7568,7568,7578,6322,35156412,30696386,4460026,1495009,702260,2262757,1206,192,1014,1246,228,1018,0
2019,7568,7568,7578,6286,19118118,16467514,2650604,1098185,428407,1124012,300,181,119,347,227,120,21087021
2020,7568,7568,7578,6267,28762830,24831604,3931226,1380100,794017,1757109,2363,177,2186,2411,221,2190,0
2021,7568,7568,7578,6335,19617300,16835538,2781762,1168208,658362,955192,4018,161,3857,4067,202,3865,0
2022,7568,7568,7578,6326,19208376,17412511,1795865,416705,362572,1016588,4092,164,3928,4138,203,3935,0
2023,7568,7568,7578,6315,24750954,21670609,3080345,819603,596330,1664412,3089,163,2926,3134,201,2933,0
2024,7568,7568,7578,6299,35079048,28704531,6374517,2869968,1032594,2471955,1220,186,1034,1264,228,1036,0
2025,7568,7568,7578,6322,33947403,28360480,5586923,2259101,1248137,2079685,1005,193,812,1043,229,814,2321992
2026,7568,7568,7578,6636,10333620,9383468,950152,119854,210170,620128,5698,138,5560,5724,156,5568,0
2027,7568,7568,7578,6317,40489002,33135474,7353528,4020122,1332393,2001013,241,191,50,278,228,50,0
2028,7568,7568,7578,6344,19164168,18760637,403531,134690,88766,180075,4100,160,3940,4148,200,3948,0
2029,7568,7568,7578,6318,21280626,18660122,2620504,651166,652286,1317052,3717,174,3543,3762,211,3551,0
2030,7568,7568,7578,7117,4746834,4259898,486936,34216,128718,324002,6709,84,6625,6745,114,6631,0
2031,7568,7568,7578,6328,24253614,20398000,3855614,1148702,793270,1913642,3179,169,3010,3219,203,3016,0
2032,7568,7568,7578,6303,34239096,28996421,5242675,2674923,1273979,1293773,1372,191,1181,1417,232,1185,0
2033,7568,7568,7578,6512,10836486,9896525,939961,220893,227996,491072,5607,129,5478,5632,148,5484,0
2034,7568,7568,7578,6322,40240332,33741005,6499327,3466235,1122601,1910491,286,190,96,322,226,96,0
2035,7568,7568,7578,6309,37482858,28802292,8680566,4780865,1620220,2279481,785,187,598,828,227,601,0
2036,7568,7568,7578,6420,14903622,13302494,1601128,313157,363783,924188,4871,133,4738,4928,185,4743,0
