"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,17153757,2898727,1603709,0,631538,4830457,7189326,0,413235,225835,52148,0,0,0,135252,0,3465,2189
2011,19827391,4334485,2358685,0,266355,5269616,7598250,0,359135,173113,81974,0,0,0,104048,0,3977,2700
2012,25373439,6129042,2681585,0,2517671,6579515,7465626,0,980836,592749,32811,0,0,0,355276,0,5515,4228
2013,24445649,6652538,3015219,0,547367,6759373,7471152,0,963217,422892,284926,0,0,0,255399,0,5219,3931
2014,10199843,1253303,975622,0,374862,2324252,5271804,0,110513,68811,818,0,0,0,40884,0,1967,962
2015,35013761,11379629,6491316,0,892280,8547292,7703244,0,959208,443086,248769,0,0,0,267353,0,7362,6080
2016,10515772,1349632,786711,0,475645,2532512,5371272,0,209692,114198,27355,0,0,0,68139,0,2072,1053
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,30696386,8433266,6149004,0,1466672,7132084,7515360,0,702260,418682,32704,0,0,0,250874,0,6362,5076
2019,16467514,4473962,3112964,0,496835,3865910,4517843,0,428407,264000,6927,0,0,0,157480,0,7268,5939
2020,24831604,6536687,3824684,0,450855,6553752,7465626,0,794017,392877,164826,0,0,0,236314,0,5205,3856
2021,16835538,2993559,2226030,0,183438,4298445,7134066,0,658362,350778,97147,0,0,0,210437,0,3550,2268
2022,17412511,2790275,1799843,0,405680,5039503,7377210,0,362572,220985,9503,0,0,0,132084,0,3476,2188
2023,21670609,5005106,2635643,0,614924,5960362,7454574,0,596330,323266,79089,0,0,0,193975,0,4479,3181
2024,28704531,8802292,4305457,0,817839,7280161,7498782,0,1032594,643792,3125,0,0,0,385677,0,6348,5035
2025,28360480,8244723,4111739,0,1059189,7385490,7559339,0,1248137,530411,397017,0,0,0,320709,0,6563,5279
2026,9383468,1290858,646526,0,237191,2390221,4818672,0,210170,116773,23726,0,0,0,69671,0,1870,912
2027,33135474,10318214,5474339,0,2321429,7379034,7642458,0,1332393,758756,118312,0,0,0,455325,0,7327,6039
2028,18760637,2342192,1062081,0,3574687,4631033,7150644,0,88766,52504,5376,0,0,0,30886,0,3468,2196
2029,18660122,3598409,2021342,0,315870,5297557,7426944,0,652286,298580,173830,0,0,0,179876,0,3851,2556
2030,4259898,711520,687464,0,7995,1615095,1237824,0,128718,57447,36894,0,0,0,34377,0,859,372
2031,20398000,5314889,1574788,0,276016,5871675,7360632,0,793270,402925,147927,0,0,0,242418,0,4389,3109
2032,28996421,7018175,2018335,0,4270687,8129656,7559568,0,1273979,581087,342273,0,0,0,350619,0,6196,4886
2033,9896525,1101899,529209,0,57362,2444437,5763618,0,227996,128191,23433,0,0,0,76372,0,1961,880
2034,33741005,10599699,4044084,0,4042220,7572798,7482204,0,1122601,678526,37258,0,0,0,406817,0,7282,6000
2035,28802292,9967490,3857612,0,309017,7185969,7482204,0,1620220,887099,199948,0,0,0,533173,0,6783,5481
2036,13302494,2134779,716222,0,267601,3580322,6603570,0,363783,203955,37768,0,0,0,122060,0,2697,1492
2037,32001269,10172246,5391428,0,1594530,7344283,7498782,0,1196801,690659,91695,0,0,0,414447,0,7043,5759
2038,21716644,4819959,2701619,0,1622549,5623860,6948657,0,381645,212754,41460,0,0,0,127431,0,4726,3446
2039,20972082,4299754,3823600,0,826346,4810952,7211430,0,632013,357873,59673,0,0,0,214467,0,4384,3115
2040,14193561,2021695,1096754,0,81339,3826551,7167222,0,351699,175938,70170,0,0,0,105591,0,2836,1562
2041,10460936,1190380,953557,0,67260,2265081,5984658,0,194529,122106,0,0,0,0,72423,0,2062,947
2042,20119342,4317440,2803674,0,268461,5253314,7476453,0,732411,342352,183785,0,0,0,206274,0,4245,2916
2043,10888871,1443545,791968,0,325241,2815617,5512500,0,238952,130660,30253,0,0,0,78039,0,2301,1214
2044,26887365,7412388,4237457,0,1186009,6585885,7465626,0,995299,549229,116194,0,0,0,329876,0,5784,4479
2045,21712067,4474882,3476463,0,592168,5719506,7449048,0,948834,555046,60877,0,0,0,332911,0,4744,3457
2046,29961410,8264099,6417977,0,932294,6864836,7482204,0,1828953,871926,431177,0,0,0,525850,0,6896,5613
2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,32084179,10374605,5465492,0,1512152,7249726,7482204,0,1734772,860777,355632,0,0,0,518363,0,7378,6096
2049,35105558,9355451,3882500,0,6580784,7699625,7587198,0,872662,515403,48502,0,0,0,308757,0,7195,5913
2050,24399233,6899638,3458675,0,714180,6398626,6928114,0,971289,447591,253752,0,0,0,269946,0,5890,4604
2051,11259125,1597843,779384,0,279287,3150371,5452240,0,318164,163139,57395,0,0,0,97630,0,3011,1742
2052,14741928,2274862,1110385,0,10205,4146098,7200378,0,421881,233052,49163,0,0,0,139666,0,3003,1727
2053,24883832,5978672,2497940,0,2358523,6578703,7469994,0,726739,454635,0,0,0,0,272104,0,5528,4240
2054,33063926,10168556,5639215,0,2369658,7393241,7493256,0,1327675,710902,189594,0,0,0,427179,0,7224,5893
2055,1269632,283208,151498,0,31845,639311,163770,0,71408,35501,15009,0,0,0,20898,0,495,212
2056,15942689,2335436,1676950,0,557223,4161650,7211430,0,398306,206298,68402,0,0,0,123606,0,3180,1900
2057,16741891,3610782,2022491,0,194707,4487689,6426222,0,739943,274083,299610,0,0,0,166250,0,4152,2868
2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,9224979,1046574,779232,0,348787,2121194,4929192,0,210954,88952,68554,0,0,0,53448,0,1802,869
2061,11698597,1338744,942033,0,630013,3038679,5749128,0,171856,65297,67396,0,0,0,39163,0,2655,1442
2062,882185,406557,175547,0,6854,293227,0,0,112040,43387,42687,0,0,0,25966,0,223,90
2063,67275,40834,12627,0,13814,0,0,0,7172,3962,1044,0,0,0,2166,0,18,7
2064,16097713,2441315,1626172,0,800047,4544987,6685192,0,392102,148480,153968,0,0,0,89654,0,3558,2268
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,28967863,8869206,3920182,0,1436726,7030678,7711071,0,1425770,725771,263290,0,0,0,436709,0,6601,5318
2067,5787973,601809,425074,0,0,2014668,2746422,0,149176,71706,34575,0,0,0,42895,0,1141,437
2068,770132,383775,160160,0,16063,210134,0,0,90162,56570,0,0,0,0,33592,0,213,81
2069,28830873,7411875,5443229,0,2084698,6392289,7498782,0,1250551,711696,111837,0,0,0,427018,0,6343,5007
2070,7263603,663653,456220,0,0,1823730,4320000,0,182953,80452,54168,0,0,0,48333,0,1817,761
2071,2782286,527366,429133,0,28490,1299957,497340,0,66375,29962,18675,0,0,0,17738,0,554,220
2072,16954553,3357517,1813188,0,84654,4543024,7156170,0,695770,319704,183330,0,0,0,192736,0,3564,2289
2073,17457212,3656628,1770642,0,229212,4705346,7095384,0,727215,317062,218822,0,0,0,191331,0,3662,2396
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,15371236,4133349,1555484,0,169197,4357778,5155428,0,843962,369618,251172,0,0,0,223172,0,5270,3982
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,385439,207082,117206,0,61151,0,0,0,55827,34391,1055,0,0,0,20381,0,112,42
2079,10192146,1469869,731641,0,221320,2364888,5404428,0,392307,185866,94805,0,0,0,111636,0,2090,1022
2080,15498664,2586827,1163594,0,520080,4110675,7117488,0,571863,247613,175009,0,0,0,149241,0,3163,1895
2081,6619137,812477,460906,0,64642,1643448,3637664,0,174570,88194,33775,0,0,0,52601,0,1978,936
2082,15506375,2441470,1020562,0,8925,4702416,7333002,0,600637,270156,167606,0,0,0,162875,0,3187,1902
2083,5394334,747019,440573,0,119756,1289835,2797151,0,204980,86356,66932,0,0,0,51692,0,2174,1144
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,13616802,1867730,1824341,0,40594,3510497,6373640,0,429468,199861,109433,0,0,0,120174,0,3117,1837
2086,6453533,705916,465575,0,61787,2081487,3138768,0,175383,89054,33204,0,0,0,53125,0,1282,535
2087,10129,7946,1928,0,255,0,0,0,2670,873,1469,0,0,0,328,0,5,1
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,9859174,1097656,742152,0,1197,2562655,5455514,0,330007,166910,63013,0,0,0,100084,0,2512,1254
2090,5250,3192,1458,0,600,0,0,0,415,142,197,0,0,0,76,0,2,0
2091,5753628,635976,494332,0,90196,1308034,3225090,0,229557,75132,109127,0,0,0,45298,0,2003,948
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
