"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6340,19147590,17153757,1993833,430706,413235,1149892,4103,154,3949,4151,193,3958,0,2010,17153757,2898727,1603709,0,631538,4830457,7189326,0,413235,225835,52148,0,0,0,135252,0,3465,2189
2011,7568,7568,7578,6339,21976902,19827391,2149511,299312,359135,1491064,3591,162,3429,3639,202,3437,0,2011,19827391,4334485,2358685,0,266355,5269616,7598250,0,359135,173113,81974,0,0,0,104048,0,3977,2700
2012,7568,7568,7578,6322,30475890,25373439,5102451,2724913,980836,1396702,2053,198,1855,2094,234,1860,0,2012,25373439,6129042,2681585,0,2517671,6579515,7465626,0,980836,592749,32811,0,0,0,355276,0,5515,4228
2013,7568,7568,7578,6322,28836008,24445649,4390359,1377570,963217,2049572,2349,192,2157,2391,228,2163,4186,2013,24445649,6652538,3015219,0,547367,6759373,7471152,0,963217,422892,284926,0,0,0,255399,0,5219,3931
2014,7568,7568,7578,6585,10869290,10199843,669447,18041,110513,540893,5601,130,5471,5623,147,5476,352,2014,10199843,1253303,975622,0,374862,2324252,5271804,0,110513,68811,818,0,0,0,40884,0,1967,962
2015,7568,7568,7578,6322,40682412,35013761,5668651,1747908,959208,2961535,206,190,16,242,226,16,0,2015,35013761,11379629,6491316,0,892280,8547292,7703244,0,959208,443086,248769,0,0,0,267353,0,7362,6080
2016,7568,7568,7578,6570,11449572,10515772,933800,123499,209692,600609,5496,125,5371,5517,142,5375,300,2016,10515772,1349632,786711,0,475645,2532512,5371272,0,209692,114198,27355,0,0,0,68139,0,2072,1053
2017,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,39,7539,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,7568,7568,7578,6322,35156412,30696386,4460026,1495009,702260,2262757,1206,192,1014,1246,228,1018,0,2018,30696386,8433266,6149004,0,1466672,7132084,7515360,0,702260,418682,32704,0,0,0,250874,0,6362,5076
2019,7568,7568,7578,6286,19118118,16467514,2650604,1098185,428407,1124012,300,181,119,347,227,120,21087021,2019,16467514,4473962,3112964,0,496835,3865910,4517843,0,428407,264000,6927,0,0,0,157480,0,7268,5939
2020,7568,7568,7578,6267,28762830,24831604,3931226,1380100,794017,1757109,2363,177,2186,2411,221,2190,0,2020,24831604,6536687,3824684,0,450855,6553752,7465626,0,794017,392877,164826,0,0,0,236314,0,5205,3856
2021,7568,7568,7578,6335,19617300,16835538,2781762,1168208,658362,955192,4018,161,3857,4067,202,3865,0,2021,16835538,2993559,2226030,0,183438,4298445,7134066,0,658362,350778,97147,0,0,0,210437,0,3550,2268
2022,7568,7568,7578,6326,19208376,17412511,1795865,416705,362572,1016588,4092,164,3928,4138,203,3935,0,2022,17412511,2790275,1799843,0,405680,5039503,7377210,0,362572,220985,9503,0,0,0,132084,0,3476,2188
2023,7568,7568,7578,6315,24750954,21670609,3080345,819603,596330,1664412,3089,163,2926,3134,201,2933,0,2023,21670609,5005106,2635643,0,614924,5960362,7454574,0,596330,323266,79089,0,0,0,193975,0,4479,3181
2024,7568,7568,7578,6299,35079048,28704531,6374517,2869968,1032594,2471955,1220,186,1034,1264,228,1036,0,2024,28704531,8802292,4305457,0,817839,7280161,7498782,0,1032594,643792,3125,0,0,0,385677,0,6348,5035
2025,7568,7568,7578,6322,33947403,28360480,5586923,2259101,1248137,2079685,1005,193,812,1043,229,814,2321992,2025,28360480,8244723,4111739,0,1059189,7385490,7559339,0,1248137,530411,397017,0,0,0,320709,0,6563,5279
2026,7568,7568,7578,6636,10333620,9383468,950152,119854,210170,620128,5698,138,5560,5724,156,5568,0,2026,9383468,1290858,646526,0,237191,2390221,4818672,0,210170,116773,23726,0,0,0,69671,0,1870,912
2027,7568,7568,7578,6317,40489002,33135474,7353528,4020122,1332393,2001013,241,191,50,278,228,50,0,2027,33135474,10318214,5474339,0,2321429,7379034,7642458,0,1332393,758756,118312,0,0,0,455325,0,7327,6039
2028,7568,7568,7578,6344,19164168,18760637,403531,134690,88766,180075,4100,160,3940,4148,200,3948,0,2028,18760637,2342192,1062081,0,3574687,4631033,7150644,0,88766,52504,5376,0,0,0,30886,0,3468,2196
2029,7568,7568,7578,6318,21280626,18660122,2620504,651166,652286,1317052,3717,174,3543,3762,211,3551,0,2029,18660122,3598409,2021342,0,315870,5297557,7426944,0,652286,298580,173830,0,0,0,179876,0,3851,2556
2030,7568,7568,7578,7117,4746834,4259898,486936,34216,128718,324002,6709,84,6625,6745,114,6631,0,2030,4259898,711520,687464,0,7995,1615095,1237824,0,128718,57447,36894,0,0,0,34377,0,859,372
2031,7568,7568,7578,6328,24253614,20398000,3855614,1148702,793270,1913642,3179,169,3010,3219,203,3016,0,2031,20398000,5314889,1574788,0,276016,5871675,7360632,0,793270,402925,147927,0,0,0,242418,0,4389,3109
2032,7568,7568,7578,6303,34239096,28996421,5242675,2674923,1273979,1293773,1372,191,1181,1417,232,1185,0,2032,28996421,7018175,2018335,0,4270687,8129656,7559568,0,1273979,581087,342273,0,0,0,350619,0,6196,4886
2033,7568,7568,7578,6512,10836486,9896525,939961,220893,227996,491072,5607,129,5478,5632,148,5484,0,2033,9896525,1101899,529209,0,57362,2444437,5763618,0,227996,128191,23433,0,0,0,76372,0,1961,880
2034,7568,7568,7578,6322,40240332,33741005,6499327,3466235,1122601,1910491,286,190,96,322,226,96,0,2034,33741005,10599699,4044084,0,4042220,7572798,7482204,0,1122601,678526,37258,0,0,0,406817,0,7282,6000
2035,7568,7568,7578,6309,37482858,28802292,8680566,4780865,1620220,2279481,785,187,598,828,227,601,0,2035,28802292,9967490,3857612,0,309017,7185969,7482204,0,1620220,887099,199948,0,0,0,533173,0,6783,5481
2036,7568,7568,7578,6420,14903622,13302494,1601128,313157,363783,924188,4871,133,4738,4928,185,4743,0,2036,13302494,2134779,716222,0,267601,3580322,6603570,0,363783,203955,37768,0,0,0,122060,0,2697,1492
2037,7568,7568,7578,6322,38919618,32001269,6918349,3224401,1196801,2497147,525,191,334,563,227,336,0,2037,32001269,10172246,5391428,0,1594530,7344283,7498782,0,1196801,690659,91695,0,0,0,414447,0,7043,5759
2038,7568,7568,7578,6332,23979274,21716644,2262630,532529,381645,1348456,2842,167,2675,2886,204,2682,2141120,2038,21716644,4819959,2701619,0,1622549,5623860,6948657,0,381645,212754,41460,0,0,0,127431,0,4726,3446
2039,7568,7568,7578,6341,24225984,20972082,3253902,1247621,632013,1374268,3184,170,3014,3226,211,3015,0,2039,20972082,4299754,3823600,0,826346,4810952,7211430,0,632013,357873,59673,0,0,0,214467,0,4384,3115
2040,7568,7568,7578,6341,15671736,14193561,1478175,168561,351699,957915,4732,160,4572,4779,200,4579,0,2040,14193561,2021695,1096754,0,81339,3826551,7167222,0,351699,175938,70170,0,0,0,105591,0,2836,1562
2041,7568,7568,7578,6487,11394612,10460936,933676,184359,194529,554788,5506,139,5367,5540,167,5373,0,2041,10460936,1190380,953557,0,67260,2265081,5984658,0,194529,122106,0,0,0,0,72423,0,2062,947
