"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40406112,35592701,4813411,2003956,711093,2098362,256,192,64,292,228,64,0
2011,7568,7568,7578,6338,18976284,17103080,1873204,261033,426927,1185244,4134,158,3976,4181,196,3985,0
2012,7568,7568,7578,6322,40245858,34981366,5264492,2740807,886656,1637029,285,190,95,321,226,95,0
2013,7568,7568,7578,6292,29028078,24857240,4170838,1203634,681557,2285647,2315,180,2135,2367,226,2141,0
2014,7568,7568,7578,6279,31641876,26519412,5122464,1883707,836817,2401940,1842,179,1663,1890,223,1667,0
2015,7568,7568,7578,6305,25823641,20906289,4917352,2594633,1024191,1298528,909,184,725,953,226,727,10998685
2016,7568,7568,7578,6331,22490820,19515594,2975226,978465,554958,1441803,3498,184,3314,3541,220,3321,0
2017,7568,7568,7578,6318,32901124,28519571,4381553,2368317,894992,1118244,1523,194,1329,1563,231,1332,503848
2018,7568,7568,7578,6322,40632678,38582075,2050603,1376808,369502,304293,215,190,25,251,226,25,0
2019,7568,7568,7578,6310,12633546,10949853,1683693,707461,375155,601077,411,189,222,450,228,222,26971551
2020,7568,7568,7578,6322,27961560,24281554,3680006,1773212,872232,1034562,2508,188,2320,2548,224,2324,0
2021,7568,7568,7578,6322,40223754,32667441,7556313,4613008,1295271,1648034,289,192,97,325,228,97,0
2022,7568,7568,7578,6284,40582944,40378605,204339,164888,33573,5878,224,179,45,272,227,45,0
2023,7568,7568,7578,6301,20976696,18725783,2250913,597851,441111,1211951,3772,162,3610,3824,206,3618,0
2024,7568,7568,7578,6331,37924938,29998455,7926483,4569715,1365407,1991361,705,191,514,715,199,516,0
2025,7568,7568,7578,6306,38543850,31354754,7189096,3292744,1485411,2410941,593,187,406,637,228,409,0
2026,7568,7568,7578,6322,37632060,31834948,5797112,2138196,1093576,2565340,758,195,563,795,230,565,0
2027,7568,7568,7578,6324,22441086,20107887,2333199,896057,486716,950426,3507,171,3336,3549,205,3344,0
2028,7568,7568,7578,6322,39874730,33558487,6316243,2407251,1297786,2611206,320,190,130,357,226,131,177718
2029,7568,7568,7578,6605,8787287,7997472,789815,167406,167303,455106,5592,124,5468,5617,143,5474,2142389
2030,7568,7568,7578,6288,38278602,33908632,4369970,1632336,836012,1901622,641,182,459,689,228,461,0
2031,7568,7568,7578,6322,38880936,32056540,6824396,2728023,1630789,2465584,532,191,341,569,227,342,0
2032,7568,7568,7578,6459,14489172,13168521,1320651,187874,283479,849298,4946,129,4817,4995,171,4824,0
