"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35592701,9002449,7929137,0,2940176,7956909,7764030,0,711093,441397,5506,0,0,0,264190,0,7312,6030
2011,17103080,3255712,1270199,0,516559,4854706,7205904,0,426927,199083,108024,0,0,0,119820,0,3434,2157
2012,34981366,9527250,3472813,0,6367475,7954792,7659036,0,886656,554615,0,0,0,0,332041,0,7283,6001
2013,24857240,6971833,2838874,0,895616,6657661,7493256,0,681557,426282,0,0,0,0,255275,0,5253,3925
2014,26519412,7780457,3699239,0,810325,6752713,7476678,0,836817,523350,0,0,0,0,313467,0,5726,4389
2015,20906289,6254290,2047706,0,1353724,5510476,5740093,0,1024191,532593,171375,0,0,0,320223,0,6659,5352
2016,19515594,4218713,1695494,0,947280,5337683,7316424,0,554958,344979,3592,0,0,0,206387,0,4070,2790
2017,28519571,6981553,3535281,0,5440402,5643783,6918552,0,894992,503199,90063,0,0,0,301730,0,6045,4755
2018,38582075,10729111,5204935,0,8070580,7095245,7482204,0,369502,225599,9201,0,0,0,134702,0,7353,6071
2019,10949853,2535095,1321254,0,673797,2862975,3556732,0,375155,178440,89938,0,0,0,106777,0,7157,5860
2020,24281554,5255649,2048841,0,2956964,6560000,7460100,0,872232,435322,175138,0,0,0,261772,0,5060,3774
2021,32667441,9751866,4515796,0,3356036,7495227,7548516,0,1295271,810059,0,0,0,0,485212,0,7279,5997
2022,40378605,8648587,3804152,0,13072449,7338057,7515360,0,33573,21375,61,0,0,0,12137,0,7344,6012
2023,18725783,3506611,2181995,0,658746,4968065,7410366,0,441111,266540,15181,0,0,0,159390,0,3796,2477
2024,29998455,9009432,4977352,0,1559909,6836934,7614828,0,1365407,853851,0,0,0,0,511556,0,6863,5616
2025,31354754,10291821,5214649,0,764443,7607163,7476678,0,1485411,684039,388519,0,0,0,412853,0,6975,5669
2026,31834948,10019499,5362610,0,1397375,7518000,7537464,0,1093576,536965,233256,0,0,0,323355,0,6810,5527
2027,20107887,3741838,1691037,0,1902602,5373096,7399314,0,486716,275699,45968,0,0,0,165049,0,4061,2775
2028,33558487,10924582,6946020,0,462643,7654622,7570620,0,1297786,542671,426675,0,0,0,328440,0,7248,5965
2029,7997472,1014219,352387,0,372454,2014188,4244224,0,167303,104968,0,0,0,0,62335,0,1976,988
2030,33908632,9266302,7176386,0,2827431,7139731,7498782,0,836012,416615,168723,0,0,0,250674,0,6927,5599
2031,32056540,10226727,3868600,0,2333744,8023693,7603776,0,1630789,650051,586728,0,0,0,394010,0,7036,5753
2032,13168521,2032647,1018451,0,479721,3360166,6277536,0,283479,158159,30758,0,0,0,94562,0,2622,1464
2033,30559362,7713294,3993168,0,3874031,7352989,7625880,0,1331569,622979,332996,0,0,0,375594,0,6612,5325
2034,25475376,7232576,3117561,0,900609,6753478,7471152,0,1221936,623830,222702,0,0,0,375404,0,5647,4362
2035,15842621,2699951,1380974,0,609083,4040651,7111962,0,509179,301077,27960,0,0,0,180142,0,3273,2005
2036,32942583,7832672,4021104,0,5990952,7621177,7476678,0,1260231,784182,6243,0,0,0,469806,0,7213,5928
2037,30873926,8446645,5991570,0,2266461,6681520,7487730,0,1241636,748586,44371,0,0,0,448679,0,6840,5541
2038,28013872,8155188,2854932,0,2244482,7282592,7476678,0,986828,529814,138671,0,0,0,318343,0,5969,4686
2039,32996943,9038259,7357856,0,2481266,6642884,7476678,0,1494747,841766,147595,0,0,0,505386,0,7386,6046
