"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40406112,35592701,4813411,2003956,711093,2098362,256,192,64,292,228,64,0,2010,35592701,9002449,7929137,0,2940176,7956909,7764030,0,711093,441397,5506,0,0,0,264190,0,7312,6030
2011,7568,7568,7578,6338,18976284,17103080,1873204,261033,426927,1185244,4134,158,3976,4181,196,3985,0,2011,17103080,3255712,1270199,0,516559,4854706,7205904,0,426927,199083,108024,0,0,0,119820,0,3434,2157
2012,7568,7568,7578,6322,40245858,34981366,5264492,2740807,886656,1637029,285,190,95,321,226,95,0,2012,34981366,9527250,3472813,0,6367475,7954792,7659036,0,886656,554615,0,0,0,0,332041,0,7283,6001
2013,7568,7568,7578,6292,29028078,24857240,4170838,1203634,681557,2285647,2315,180,2135,2367,226,2141,0,2013,24857240,6971833,2838874,0,895616,6657661,7493256,0,681557,426282,0,0,0,0,255275,0,5253,3925
2014,7568,7568,7578,6279,31641876,26519412,5122464,1883707,836817,2401940,1842,179,1663,1890,223,1667,0,2014,26519412,7780457,3699239,0,810325,6752713,7476678,0,836817,523350,0,0,0,0,313467,0,5726,4389
2015,7568,7568,7578,6305,25823641,20906289,4917352,2594633,1024191,1298528,909,184,725,953,226,727,10998685,2015,20906289,6254290,2047706,0,1353724,5510476,5740093,0,1024191,532593,171375,0,0,0,320223,0,6659,5352
2016,7568,7568,7578,6331,22490820,19515594,2975226,978465,554958,1441803,3498,184,3314,3541,220,3321,0,2016,19515594,4218713,1695494,0,947280,5337683,7316424,0,554958,344979,3592,0,0,0,206387,0,4070,2790
2017,7568,7568,7578,6318,32901124,28519571,4381553,2368317,894992,1118244,1523,194,1329,1563,231,1332,503848,2017,28519571,6981553,3535281,0,5440402,5643783,6918552,0,894992,503199,90063,0,0,0,301730,0,6045,4755
2018,7568,7568,7578,6322,40632678,38582075,2050603,1376808,369502,304293,215,190,25,251,226,25,0,2018,38582075,10729111,5204935,0,8070580,7095245,7482204,0,369502,225599,9201,0,0,0,134702,0,7353,6071
2019,7568,7568,7578,6310,12633546,10949853,1683693,707461,375155,601077,411,189,222,450,228,222,26971551,2019,10949853,2535095,1321254,0,673797,2862975,3556732,0,375155,178440,89938,0,0,0,106777,0,7157,5860
2020,7568,7568,7578,6322,27961560,24281554,3680006,1773212,872232,1034562,2508,188,2320,2548,224,2324,0,2020,24281554,5255649,2048841,0,2956964,6560000,7460100,0,872232,435322,175138,0,0,0,261772,0,5060,3774
2021,7568,7568,7578,6322,40223754,32667441,7556313,4613008,1295271,1648034,289,192,97,325,228,97,0,2021,32667441,9751866,4515796,0,3356036,7495227,7548516,0,1295271,810059,0,0,0,0,485212,0,7279,5997
2022,7568,7568,7578,6284,40582944,40378605,204339,164888,33573,5878,224,179,45,272,227,45,0,2022,40378605,8648587,3804152,0,13072449,7338057,7515360,0,33573,21375,61,0,0,0,12137,0,7344,6012
2023,7568,7568,7578,6301,20976696,18725783,2250913,597851,441111,1211951,3772,162,3610,3824,206,3618,0,2023,18725783,3506611,2181995,0,658746,4968065,7410366,0,441111,266540,15181,0,0,0,159390,0,3796,2477
2024,7568,7568,7578,6331,37924938,29998455,7926483,4569715,1365407,1991361,705,191,514,715,199,516,0,2024,29998455,9009432,4977352,0,1559909,6836934,7614828,0,1365407,853851,0,0,0,0,511556,0,6863,5616
2025,7568,7568,7578,6306,38543850,31354754,7189096,3292744,1485411,2410941,593,187,406,637,228,409,0,2025,31354754,10291821,5214649,0,764443,7607163,7476678,0,1485411,684039,388519,0,0,0,412853,0,6975,5669
2026,7568,7568,7578,6322,37632060,31834948,5797112,2138196,1093576,2565340,758,195,563,795,230,565,0,2026,31834948,10019499,5362610,0,1397375,7518000,7537464,0,1093576,536965,233256,0,0,0,323355,0,6810,5527
2027,7568,7568,7578,6324,22441086,20107887,2333199,896057,486716,950426,3507,171,3336,3549,205,3344,0,2027,20107887,3741838,1691037,0,1902602,5373096,7399314,0,486716,275699,45968,0,0,0,165049,0,4061,2775
2028,7568,7568,7578,6322,39874730,33558487,6316243,2407251,1297786,2611206,320,190,130,357,226,131,177718,2028,33558487,10924582,6946020,0,462643,7654622,7570620,0,1297786,542671,426675,0,0,0,328440,0,7248,5965
2029,7568,7568,7578,6605,8787287,7997472,789815,167406,167303,455106,5592,124,5468,5617,143,5474,2142389,2029,7997472,1014219,352387,0,372454,2014188,4244224,0,167303,104968,0,0,0,0,62335,0,1976,988
2030,7568,7568,7578,6288,38278602,33908632,4369970,1632336,836012,1901622,641,182,459,689,228,461,0,2030,33908632,9266302,7176386,0,2827431,7139731,7498782,0,836012,416615,168723,0,0,0,250674,0,6927,5599
2031,7568,7568,7578,6322,38880936,32056540,6824396,2728023,1630789,2465584,532,191,341,569,227,342,0,2031,32056540,10226727,3868600,0,2333744,8023693,7603776,0,1630789,650051,586728,0,0,0,394010,0,7036,5753
2032,7568,7568,7578,6459,14489172,13168521,1320651,187874,283479,849298,4946,129,4817,4995,171,4824,0,2032,13168521,2032647,1018451,0,479721,3360166,6277536,0,283479,158159,30758,0,0,0,94562,0,2622,1464
2033,7568,7568,7578,6322,36365889,30559362,5806527,3161562,1331569,1313396,956,191,765,997,227,770,172023,2033,30559362,7713294,3993168,0,3874031,7352989,7625880,0,1331569,622979,332996,0,0,0,375594,0,6612,5325
2034,7568,7568,7578,6322,31202983,25475376,5727607,2583148,1221936,1922523,1921,197,1724,1960,233,1727,2339,2034,25475376,7232576,3117561,0,900609,6753478,7471152,0,1221936,623830,222702,0,0,0,375404,0,5647,4362
2035,7568,7568,7578,6348,18086598,15842621,2243977,1055123,509179,679675,4295,155,4140,4343,195,4148,0,2035,15842621,2699951,1380974,0,609083,4040651,7111962,0,509179,301077,27960,0,0,0,180142,0,3273,2005
2036,7568,7568,7578,6319,39859038,32942583,6916455,4417880,1260231,1238344,355,190,165,391,226,165,0,2036,32942583,7832672,4021104,0,5990952,7621177,7476678,0,1260231,784182,6243,0,0,0,469806,0,7213,5928
2037,7568,7568,7578,6312,37797840,30873926,6923914,3664929,1241636,2017349,728,188,540,771,228,543,0,2037,30873926,8446645,5991570,0,2266461,6681520,7487730,0,1241636,748586,44371,0,0,0,448679,0,6840,5541
2038,7568,7568,7578,6322,32984694,28013872,4970822,2145050,986828,1838944,1599,195,1404,1636,231,1405,0,2038,28013872,8155188,2854932,0,2244482,7282592,7476678,0,986828,529814,138671,0,0,0,318343,0,5969,4686
2039,7568,7568,7578,6272,40815036,32996943,7818093,4655144,1494747,1668202,182,182,0,226,226,0,0,2039,32996943,9038259,7357856,0,2481266,6642884,7476678,0,1494747,841766,147595,0,0,0,505386,0,7386,6046
2040,7568,7568,7578,6322,36863946,30489368,6374578,2494114,1196009,2684455,897,191,706,934,227,707,0,2040,30489368,9775061,4880327,0,1086011,7265765,7482204,0,1196009,601467,232560,0,0,0,361982,0,6671,5388
2041,7568,7568,7578,6275,39593790,33440704,6153086,3918411,1074387,1160288,403,184,219,448,228,220,0,2041,33440704,9142627,6012817,0,3842416,6850120,7592724,0,1074387,671950,0,0,0,0,402437,0,7165,5827
2042,7568,7568,7578,6309,33542820,28154298,5388522,3016881,1002214,1369427,1498,185,1313,1542,225,1317,0,2042,28154298,6173522,2841354,0,3844021,7813197,7482204,0,1002214,626821,0,0,0,0,375393,0,6070,4767
2043,7568,7568,7578,6280,28171385,24267928,3903457,1552632,644739,1706086,923,183,740,970,227,743,8555968,2043,24267928,6410293,4318406,0,1514507,5705612,6319110,0,644739,403417,0,0,0,0,241322,0,6645,5310
2044,7568,7568,7578,6268,38499642,32340781,6158861,3083399,1051215,2024247,601,186,415,645,230,415,0,2044,32340781,9632538,4396448,0,3602446,7243723,7465626,0,1051215,642078,24474,0,0,0,384663,0,6967,5623
2045,7568,7568,7578,6297,24209406,21181028,3028378,817502,536586,1674290,3187,168,3019,3239,215,3024,0,2045,21181028,4846505,3195946,0,290249,5388228,7460100,0,536586,305364,48171,0,0,0,183051,0,4381,3058
2046,7568,7568,7578,6322,31724766,25499519,6225247,2866648,1554060,1804539,1827,194,1633,1866,230,1636,0,2046,25499519,7822450,2940733,0,238480,7026704,7471152,0,1554060,646742,515773,0,0,0,391545,0,5741,4456
2047,7568,7568,7578,6356,21429828,18097164,3332664,1240622,703856,1388186,3690,164,3526,3737,205,3532,0,2047,18097164,3974711,1208381,0,649045,5158591,7106436,0,703856,401952,60869,0,0,0,241035,0,3878,2619
2048,7568,7568,7578,6322,16488096,13946891,2541205,1548475,481774,510956,1163,192,971,1203,228,975,18944986,2048,13946891,3006084,1721059,0,1417325,3496873,4305550,0,481774,301625,0,0,0,0,180149,0,6405,5119
2049,7568,7568,7578,6280,26790048,22613490,4176558,1955119,828225,1393214,2720,168,2552,2768,211,2557,0,2049,22613490,5002130,2935533,0,1112558,6086591,7476678,0,828225,500596,27689,0,0,0,299940,0,4848,3512
2050,7568,7568,7578,6340,18456840,16308226,2148614,349705,520796,1278113,4228,153,4075,4278,195,4083,0,2050,16308226,3100260,1320512,0,88393,4620787,7178274,0,520796,229281,153273,0,0,0,138242,0,3340,2062
2051,7568,7568,7578,6323,28121814,26364938,1756876,698172,313555,745149,2479,179,2300,2521,215,2306,0,2051,26364938,6172397,2442882,0,3775513,6536150,7437996,0,313555,193063,5135,0,0,0,115357,0,5089,3802
2052,7568,7568,7578,6307,26530326,23087681,3442645,1416090,650355,1376200,2767,179,2588,2812,219,2593,0,2052,23087681,5268366,2320711,0,1883925,6154579,7460100,0,650355,400293,10536,0,0,0,239526,0,4801,3495
2053,7568,7568,7578,6304,23653859,20281060,3372799,1155821,678042,1538936,2258,186,2072,2305,228,2077,5704624,2053,20281060,5067130,3039514,0,633791,5230041,6310584,0,678042,343973,127309,0,0,0,206760,0,5310,3999
2054,7568,7568,7578,6323,28707570,25201060,3506510,891849,689006,1925655,2373,184,2189,2415,222,2193,0,2054,25201060,6402251,3773434,0,846455,6713294,7465626,0,689006,332318,156584,0,0,0,200104,0,5195,3908
2055,7568,7568,7578,6367,12847733,12188519,659214,75701,118545,464968,4558,140,4418,4608,182,4426,3800219,2055,12188519,1785108,1053039,0,777399,2989250,5583723,0,118545,74044,714,0,0,0,43787,0,3010,1759
2056,7568,7568,7578,6313,40538736,34919872,5618864,2066514,930980,2621370,232,188,44,270,226,44,0,2056,34919872,10864442,8314729,0,556102,7569771,7614828,0,930980,474811,170551,0,0,0,285618,0,7336,6043
2057,7568,7568,7578,7552,226800,168136,58664,838,14096,43730,7526,46,7480,7537,50,7487,5292,2057,168136,90924,49978,0,27234,0,0,0,14096,6311,4091,0,0,0,3694,0,42,15
2058,7568,7568,7578,6500,12101940,11096966,1004974,28002,225400,751572,5378,123,5255,5404,144,5260,0,2058,11096966,1652779,690367,0,117979,2689865,5945976,0,225400,101174,63568,0,0,0,60658,0,2190,1096
2059,7568,7568,7578,6561,12311928,11266837,1045091,107296,226163,711632,5340,120,5220,5366,139,5227,0,2059,11266837,1753631,725554,0,400504,2816940,5570208,0,226163,112849,45845,0,0,0,67469,0,2228,1195
2060,7568,7568,7578,6943,6631200,6212407,418793,14281,88423,316089,6368,89,6279,6392,107,6285,0,2060,6212407,774748,410978,0,273936,1868173,2884572,0,88423,44184,17958,0,0,0,26281,0,1200,551
2061,7568,7568,7578,6323,26774411,22868651,3905760,1268002,741865,1895893,2673,176,2497,2715,214,2501,275359,2061,22868651,5834809,2188747,0,754322,6603798,7486975,0,741865,411282,83659,0,0,0,246924,0,4895,3608
2062,7568,7568,7578,6322,40599522,34456218,6143304,3000692,1383158,1759454,221,190,31,258,226,32,0,2062,34456218,9880368,6263015,0,2843051,7766540,7703244,0,1383158,593648,430887,0,0,0,358623,0,7347,6064
2063,7568,7568,7578,6322,37289448,31167874,6121574,2496479,1027071,2598024,820,191,629,859,227,632,0,2063,31167874,9626221,4960754,0,1361290,7604781,7614828,0,1027071,587943,86311,0,0,0,352817,0,6748,5463
