"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5245.868868227,5526,5526,5526,5526,5526
2793.09707579073,4916.99101964453,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5494.22192946899,5524.87396849212,5526,5525.19793063805,5524.53798126951,5526
5526,5526,5526,5525.82104728012,5525.28054118583,5526
5120.20285714286,296.633051529791,3650.01066561327,5526,4386.86363636364,3878.00585673525
3730.61093247588,5526,5526,5525.85521235521,5526,5526
5526,5459.78385546163,5525.83585029547,NA,4810.20113314448,5442.70041356493
5526,5526,5526,5526,5526,5526
1587.23165800116,2031.115089914,935.451857194374,2630.45101816181,5526,1765.20134134414
4013.99190549114,5526,5526,5526,5526,5526
5526,5526,5526,5526,4929.88365019011,5526
5526,5526,5521.11138171781,5526,5526,5526
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
4490.48814713896,5526,5503.28625429553,5172.54350144751,5523.00128824477,5526
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,NA,5526
4942.44913151365,5526,5526,5526,4192.54432809773,5501.48040838852
3838.07382024672,4079.87614297589,3323.21966527197,5526,2576.72877115526,4447.00759109312
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5426.5430007446,5526,5524.17374136229,5526,5526,5526
5526,5526,5526,5526,5524.59974517656,5499.9832123412
5526,5526,5526,5526,5438.20478943022,5525.58579776873
5526,5526,5526,5526,5460.84945332212,5526
5526,5169.32443890274,5526,5526,4651.04641975309,5526
5526,5522.90681899322,5116.97674418605,5526,4120.08519743241,5526
5459.39178159302,2791.52842105263,2943.80180831826,5073.90478205671,2424.15539155392,5526
5526,5526,5525.66315543071,5526,5526,5526
5526,5526,5523.26517766497,5526,5526,5526
5526,5526,5526,5526,5526,5526
4573.31844215349,NA,NA,5491.05959952886,NA,5526
5176.55942028985,4192.27260504202,3287.40369230769,5183.83659278575,4772.46391284612,4239.48607975922
5526,5526,5526,5526,5526,5526
5526,5526,5526,5526,5526,5526
5526,5525.95819397993,5526,5526,5526,5526
4718.90011731188,5526,5422.56140350877,NA,5526,5526
5526,5526,5073.4121037464,5517.16549200325,3658.76300578035,2574.25386416862
5526,5526,NA,5526,5526,5526
5526,5526,5526,4912.86977928693,5526,5526
4217.6865774116,5499.45116601247,3868,4152.85685818665,4005.6816005472,5526
4940.53164145111,5526,5275,5526,4768.79632436529,5526
5525.06764841233,2285.79343863913,4861.44605621034,5241.36360347323,5526,4454.58738229755
5526,5526,NA,5526,5526,5526
4701.40309278351,1986.33783783784,NA,3079.87474747475,4784.44571269488,4268.34983388704
5526,NA,5526,5526,5526,5526
5526,5526,5526,4660.15727360308,5526,5400
3079.58010241405,5525.48936170213,5526,NA,5470.52209810588,5526
4303.96940903824,5525.97622217995,5526,NA,NA,5526
5526,5526,5466.18147566719,5526,5526,5526
5526,3720.45967741935,5526,4649.46779661017,3680.66949524506,5469.7468845761
5526,4643.95005028495,5526,5526,5065.09186101856,5526
5526,5526,5526,5526,5526,5526
5526,5526,5478.95137374618,4901.30466554244,5516.26017262639,5526
5525.6612721114,3361.15082527035,5487.47334410339,NA,4772,5525.25241276912
5526,5526,5514.88145896657,5433.57006514165,5526,5526
5526,5526,NA,5526,5526,NA
NA,5421.55779816514,4622,5473.6338028169,4483.05158924205,4407.55086414351
5526,5526,NA,5526,5526,5526
NA,3976.68444444444,4049.76991150442,4324.55586130985,5526,5526
5526,NA,3426.98785425101,5523.47292418773,NA,5526
5525.77923976608,5526,5526,5526,3610.62710219922,5526
5526,5052.16956628277,4144,5526,2329.58783592645,NA
5526,4862,NA,NA,5526,5526
NA,2307.86363636364,NA,NA,2523.02880658436,1019.61785714286
NA,5526,5176.95113438045,3568.19791271347,1794.64806445274,NA
5526,5526,5475.25161687712,NA,5042.99672846238,5526
5526,5526,5526,5526,5526,5526
5526,3645.93430290873,2275.2474916388,5526,NA,5526
5526,NA,NA,5526,5526,4794.54407245674
3492.04706734251,NA,NA,3683.64509605662,4460.82932692308,4325.08296647477
5524.78288023512,4397.09812957441,NA,5526,4577.5724438331,5526
4470.54935897436,NA,3570.52216174184,2780.1885924563,4144,5394.30547818013
5526,5526,5526,NA,5525.84256343767,5526
5264.4,NA,5526,4866.70612768688,NA,5526
5469.55095541401,NA,NA,5526,NA,5526
NA,NA,NA,3894,4948,5526
3976.80454232622,5526,NA,NA,5524.2442380461,5503.20527859238
5526,5526,NA,4384.62858280255,NA,5401.41840450182
4555.1620745543,5006.85163776493,3007.83104125737,3893,1797.38481744156,5526
5072.39361702128,5526,5001.62020905923,3157.58362456316,3845.71440571189,5526
5220.41516966068,5526,NA,NA,5526,5526
NA,3037.70351951033,NA,NA,1731.58298833271,4118.37325214253
5526,NA,5524.52941176471,NA,4450.33322580645,5526
2815.59470246734,5526,NA,NA,4971.02362204724,3120.52145430724
5526,NA,NA,NA,NA,5526
4572,5149,4646.76404976405,NA,4830.16487935657,5526
NA,5526,3464.97142857143,NA,5526,5526
5526,5526,5526,NA,5526,5526
