"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6325,20755656,18084114,2671542,1014506,570263,1086773,3812,161,3651,3854,196,3658,0
2011,7568,7568,7578,6339,11102164,9922043,1180121,426529,258493,495099,4407,144,4263,4455,183,4272,6390840
2012,7568,7568,7578,6309,40582944,32934475,7648469,3929206,1323160,2396103,224,185,39,265,226,39,0
2013,7568,7568,7578,6322,40743198,32779826,7963372,3911356,1545169,2506847,195,190,5,231,226,5,0
2014,7568,7568,7578,7340,2315394,1857073,458321,35461,108172,314688,7149,84,7065,7150,76,7074,0
2015,7568,7568,7578,6322,25704198,22228279,3475919,1274184,714979,1486756,2196,191,2005,2237,227,2010,3984916
2016,7568,7568,7578,6324,19877022,17828632,2048390,424824,667177,956389,3971,162,3809,4013,199,3814,0
2017,7568,7568,7578,7489,625754,366869,258885,27168,72584,159133,7425,41,7384,7434,43,7391,164464
2018,7568,7568,7578,6344,23800482,19640361,4160121,1743054,1127061,1290006,3261,185,3076,3299,218,3081,0
2019,7568,7568,7578,6701,8731080,8028609,702471,29199,179407,493865,5988,108,5880,6012,132,5880,0
2020,7568,7568,7578,6322,39339594,33789160,5550434,2681070,980855,1888509,449,193,256,486,229,257,0
2021,7568,7568,7578,6325,19859110,17594504,2264606,364330,586636,1313640,3974,165,3809,4017,201,3816,1334
2022,7568,7568,7578,6362,15381307,13814848,1566459,126539,451586,988334,4783,163,4620,4828,202,4626,8603
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0
2024,7568,7568,7578,7126,4641840,4297201,344639,2202,72453,269984,6728,84,6644,6762,111,6651,0
2025,7568,7568,7578,6767,8598456,7756106,842350,120689,184731,536930,6012,101,5911,6031,108,5923,0
2026,7568,7568,7578,6730,37312302,30173835,7138467,3192070,1893578,2052819,809,188,621,849,226,623,37932
2027,7568,7568,7578,7182,4061610,3624283,437327,7853,108991,320483,6833,66,6767,6869,96,6773,0
2028,7568,7568,7578,7480,862056,485261,376795,129952,112440,134403,7412,43,7369,7419,41,7378,0
2029,7568,7568,7578,6612,6563675,6068509,495166,32507,96795,365864,5739,124,5615,5772,152,5620,3562469
2030,7568,7568,7578,6421,14472594,13572712,899882,43534,275080,581268,4949,144,4805,4999,187,4812,0
2031,7568,7568,7578,7550,254196,173424,80772,2633,31538,46601,7522,33,7489,7533,38,7495,0
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,38,7530,7578,40,7538,0
2033,7568,7568,7578,6356,10146988,9179388,967600,113859,215433,638308,4703,160,4543,4747,196,4551,5710045
2034,7568,7568,7578,6318,36299017,30947440,5351577,2055033,1475128,1821416,892,193,699,929,230,699,592811
2035,7568,7568,7578,7500,680521,409970,270551,12443,67414,190694,7437,49,7388,7449,51,7398,43385
2036,7568,7568,7578,7368,1785607,1459446,326161,21478,90856,213827,7219,77,7142,7223,73,7150,143369
2037,7568,7568,7578,6330,27674208,24637781,3036427,1409353,624269,1002805,2560,188,2372,2602,225,2377,0
2038,7568,7568,7578,6331,17655570,16495290,1160280,35803,276542,847935,4373,165,4208,4420,200,4220,0
2039,7568,7568,7578,7457,1105200,948628,156572,26,38440,118106,7368,55,7313,7379,60,7319,0
2040,7568,7568,7578,7578,0,0,0,0,0,0,7568,36,7532,7578,39,7539,0
2041,7568,7568,7578,6324,22098474,20656854,1441620,154707,285863,1001050,3569,180,3389,3612,217,3395,0
2042,7568,7568,7578,7576,9044,6024,3020,13,537,2470,7564,40,7524,7575,45,7530,13060
2043,7568,7568,7578,7207,3752154,3272242,479912,81352,121423,277137,6889,85,6804,6908,97,6811,0
2044,7568,7568,7578,6344,16820423,15235882,1584541,255317,414230,914994,4515,147,4368,4565,189,4376,50455
2045,7568,7568,7578,6322,28906506,25932016,2974490,1297718,659405,1017367,2337,192,2145,2380,228,2152,0
2046,7568,7568,7578,6347,17080866,15201006,1879860,612641,477006,790213,4477,152,4325,4527,194,4333,0
2047,7568,7568,7578,6325,22640022,19481467,3158555,1166889,668810,1322856,3471,169,3302,3516,205,3311,0
2048,7568,7568,7578,6324,19829292,17382610,2446682,884828,511010,1050844,2848,175,2673,2889,212,2677,6271961
2049,7568,7568,7578,6548,10493874,9443683,1050191,202371,247570,600250,5669,114,5555,5696,136,5560,0
2050,7568,7568,7578,7361,1994110,1707992,286118,8500,93479,184139,7207,69,7138,7207,65,7142,776
2051,7568,7568,7578,7329,2243556,1855976,387580,63124,119924,204532,7162,98,7064,7166,93,7073,0
2052,7568,7568,7578,7312,1728133,1562623,165510,11570,34763,119177,7154,54,7100,7151,41,7110,560786
2053,7568,7568,7578,6299,22399746,18773873,3625873,1784924,864859,976090,3072,186,2886,3120,226,2894,2452932
2054,7568,7568,7578,6322,19762650,16928248,2834402,1165246,642624,1026532,3085,177,2908,3126,213,2913,5017253
2055,7568,7568,7578,7555,198936,123658,75278,10895,22329,42054,7532,39,7493,7542,39,7503,0
2056,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
2057,7568,7568,7578,6470,12919788,11769938,1149850,81175,293984,774691,5230,129,5101,5271,162,5109,0
2058,7568,7568,7578,6535,13837104,12566244,1270860,376503,365512,528845,5064,143,4921,5090,164,4926,0
2059,7568,7568,7578,6374,7555175,6935684,619491,43406,186002,390083,4716,168,4548,4762,206,4556,8239116
2060,7568,7568,7578,6928,6194646,5831970,362676,13392,89837,259447,6447,100,6347,6472,113,6359,0
2061,7568,7568,7578,6836,8050357,7411017,639340,26082,184909,428349,6111,121,5990,6137,143,5994,1025
2062,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,33,7545,0
2063,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,26,7552,0
2064,7568,7568,7578,6329,18197118,16443913,1753205,229065,495031,1029109,4275,163,4112,4318,197,4121,0
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,41,7537,0
2066,7568,7568,7578,7324,2226978,1943705,283273,1830,78682,202761,7165,67,7098,7171,64,7107,0
2067,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,12,7566,0
2068,7568,7568,7578,7574,17759,11504,6255,1458,1424,3373,7561,32,7529,7571,37,7534,20923
2069,7568,7568,7578,7578,0,0,0,0,0,0,7568,25,7543,7578,28,7550,0
2070,7568,7568,7578,7463,961302,678307,282995,56551,81149,145295,7385,42,7343,7395,45,7350,49956
2071,7568,7568,7578,7564,86416,62257,24159,1231,6438,16490,7547,61,7486,7556,66,7490,29630
2072,7568,7568,7578,7166,2123826,1938968,184858,32170,41202,111486,6850,82,6768,6877,105,6772,1845600
2073,7568,7568,7578,6320,12025284,10928872,1096412,337226,256019,503167,4558,160,4398,4606,202,4404,4618175
2074,7568,7568,7578,7561,36815,23734,13081,1356,3355,8370,7543,45,7498,7550,46,7504,101335
2075,7568,7568,7578,7578,0,0,0,0,0,0,7568,24,7544,7578,27,7551,0
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,48,7520,7578,53,7525,0
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,17,7551,7578,21,7557,0
2078,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2079,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,11,7567,0
2080,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,26,7552,0
2081,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,16,7562,0
2082,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,32,7546,0
2083,7568,7568,7578,7578,0,0,0,0,0,0,7568,10,7558,7578,15,7563,0
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,1,7567,7578,3,7575,0
2085,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,3,7575,0
2086,7568,7568,7578,7578,0,0,0,0,0,0,7568,15,7553,7578,20,7558,0
2087,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,10,7568,0
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,6,7562,7578,9,7569,0
2089,7568,7568,7578,7574,21304,12432,8872,2494,3244,3134,7560,39,7521,7571,42,7529,22904
2090,7568,7568,7578,7578,0,0,0,0,0,0,7568,5,7563,7578,9,7569,0
2091,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,0,7578,0
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,20,7548,7578,24,7554,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,4,7564,7578,8,7570,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2095,7568,7568,7578,7578,0,0,0,0,0,0,7568,3,7565,7578,3,7575,0
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,0,7568,7578,1,7577,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,21,7547,7578,25,7553,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,9,7559,7578,14,7564,0
2099,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,13,7565,0
