"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,18084114,3396896,1492067,0,711159,5117834,7366158,0,570263,333664,36686,0,0,0,199913,0,3756,2471
2011,9922043,1330983,726495,0,366713,2831844,4666008,0,258493,161795,349,0,0,0,96349,0,3161,1884
2012,32934475,11101605,4362940,0,2557374,7419300,7493256,0,1323160,777591,79152,0,0,0,466417,0,7344,6044
2013,32779826,10975573,6633746,0,564123,7052342,7554042,0,1545169,764520,320211,0,0,0,460438,0,7373,6091
2014,1857073,579802,227160,0,42849,907794,99468,0,108172,57927,15706,0,0,0,34539,0,419,190
2015,22228279,5378587,3251968,0,899878,5783786,6914060,0,714979,359138,139965,0,0,0,215876,0,5372,4085
2016,17828632,3190518,1620801,0,539188,5078811,7399314,0,667177,230100,297246,0,0,0,139831,0,3597,2311
2017,366869,273256,89560,0,1135,2918,0,0,72584,34210,17916,0,0,0,20458,0,143,55
2018,19640361,4985075,1993078,0,529382,5009812,7123014,0,1127061,471409,370601,0,0,0,285051,0,4307,3045
2019,8028609,1016336,349166,0,0,2380457,4282650,0,179407,79661,51957,0,0,0,47789,0,1580,689
2020,33789160,9599342,6585644,0,2789334,7260798,7554042,0,980855,555258,92419,0,0,0,333178,0,7119,5836
2021,17594504,3354067,1856599,0,94621,4917533,7371684,0,586636,238620,203811,0,0,0,144205,0,3594,2308
2022,13814848,2198513,1012597,0,3072,3599224,7001442,0,451586,174827,171005,0,0,0,105754,0,2785,1534
2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,4297201,712702,358784,0,145380,1892245,1188090,0,72453,32009,21318,0,0,0,19126,0,840,364
2025,7756106,1187903,346812,0,166052,2093197,3962142,0,184731,107043,13988,0,0,0,63700,0,1556,736
2026,30173835,9398742,4330017,0,768434,8139178,7537464,0,1893578,699850,768455,0,0,0,425273,0,6759,5881
2027,3624283,703912,340628,0,27728,1723115,828900,0,108991,47190,33461,0,0,0,28340,0,735,313
2028,485261,295153,146258,0,6763,37087,0,0,112440,57242,21048,0,0,0,34150,0,156,61
2029,6068509,732889,326923,0,115404,1609057,3284236,0,96795,57711,4923,0,0,0,34161,0,1829,840
2030,13572712,1765688,1021757,0,528203,3692176,6564888,0,275080,96443,120389,0,0,0,58248,0,2619,1422
2031,173424,104678,46875,0,21871,0,0,0,31538,8849,17365,0,0,0,5324,0,46,17
2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,9179388,1361583,567651,0,71949,2566530,4611675,0,215433,115922,30456,0,0,0,69055,0,2865,1609
2034,30947440,8552691,7425378,0,701989,6785178,7482204,0,1475128,482607,698196,0,0,0,294325,0,6676,5389
2035,409970,314253,71139,0,24578,0,0,0,67414,32591,15465,0,0,0,19358,0,131,51
2036,1459446,428279,156796,0,109779,718476,46116,0,90856,40716,25927,0,0,0,24213,0,349,145
2037,24637781,4142410,2352512,0,3692460,7078715,7371684,0,624269,345066,72336,0,0,0,206867,0,5008,3728
2038,16495290,2632886,1732532,0,128759,4739949,7261164,0,276542,97873,119271,0,0,0,59398,0,3195,1911
2039,948628,376502,239535,0,103179,229412,0,0,38440,12352,18645,0,0,0,7443,0,200,78
2040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2041,20656854,3523533,3270269,0,1086933,5338123,7437996,0,285863,111486,107006,0,0,0,67371,0,3999,2712
2042,6024,4102,1103,0,819,0,0,0,537,150,307,0,0,0,80,0,4,1
2043,3272242,635616,258283,0,472817,1242406,663120,0,121423,65030,17677,0,0,0,38716,0,679,299
2044,15235882,2121465,1543859,0,377399,4036989,7156170,0,414230,194853,102070,0,0,0,117307,0,3053,1779
2045,25932016,5952711,3160612,0,2794849,6558218,7465626,0,659405,332112,127580,0,0,0,199713,0,5231,3942
2046,15201006,2241582,1388363,0,509538,3927457,7134066,0,477006,250440,76461,0,0,0,150105,0,3091,1820
2047,19481467,3937268,2343858,0,589612,5216941,7393788,0,668810,376435,66635,0,0,0,225740,0,4097,2809
2048,17382610,3878536,1949149,0,954817,4692070,5908038,0,511010,272197,75609,0,0,0,163204,0,4720,3435
2049,9443683,1214749,508163,0,3,2437912,5282856,0,247570,138730,25887,0,0,0,82953,0,1899,852
2050,1707992,456877,399667,0,83093,724147,44208,0,93479,31838,42520,0,0,0,19121,0,361,154
2051,1855976,447378,212637,0,93442,975421,127098,0,119924,53363,34788,0,0,0,31773,0,406,163
2052,1562623,334658,178456,0,167546,764426,117537,0,34763,21231,924,0,0,0,12608,0,414,161
2053,18773873,3878453,2611712,0,460457,5019031,6804220,0,864859,446474,150041,0,0,0,268344,0,4496,3179
2054,16928248,3256311,2643155,0,180298,4447347,6401137,0,642624,332742,110089,0,0,0,199793,0,4483,3196
2055,123658,75855,46029,0,1774,0,0,0,22329,10118,6243,0,0,0,5968,0,36,13
2056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2057,11769938,1730593,718787,0,103113,3094637,6122808,0,293984,133048,80978,0,0,0,79958,0,2338,1199
2058,12566244,1948139,1267155,0,750592,2991468,5608890,0,365512,167738,96960,0,0,0,100814,0,2504,1445
2059,6935684,990485,619922,0,4842,1812624,3507811,0,186002,63127,84887,0,0,0,37988,0,2852,1612
2060,5831970,607498,440191,0,172469,1948280,2663532,0,89837,41297,23898,0,0,0,24642,0,1121,456
2061,7411017,1138958,768075,0,127480,2154846,3221658,0,184909,68908,74511,0,0,0,41490,0,1457,699
2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2064,16443913,2603766,1319395,0,385787,4862749,7272216,0,495031,196665,179481,0,0,0,118885,0,3293,2011
2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,1943705,482191,314480,0,25819,977539,143676,0,78682,30397,29907,0,0,0,18378,0,403,153
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,11504,6044,3693,0,1767,0,0,0,1424,372,873,0,0,0,179,0,7,3
2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2070,678307,292094,183322,0,92262,110629,0,0,81149,40278,16776,0,0,0,24095,0,183,68
2071,62257,32359,19606,0,10292,0,0,0,6438,2857,2068,0,0,0,1513,0,21,8
2072,1938968,253540,271054,0,43700,979460,391214,0,41202,25214,1371,0,0,0,14617,0,718,289
2073,10928872,1487602,809531,0,415522,2959069,5257148,0,256019,150371,15925,0,0,0,89723,0,3010,1714
2074,23734,14759,8975,0,0,0,0,0,3355,1295,1590,0,0,0,470,0,25,11
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,12432,7934,2802,0,1696,0,0,0,3244,838,2068,0,0,0,338,0,8,3
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
