"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6325,20755656,18084114,2671542,1014506,570263,1086773,3812,161,3651,3854,196,3658,0,2010,18084114,3396896,1492067,0,711159,5117834,7366158,0,570263,333664,36686,0,0,0,199913,0,3756,2471
2011,7568,7568,7578,6339,11102164,9922043,1180121,426529,258493,495099,4407,144,4263,4455,183,4272,6390840,2011,9922043,1330983,726495,0,366713,2831844,4666008,0,258493,161795,349,0,0,0,96349,0,3161,1884
2012,7568,7568,7578,6309,40582944,32934475,7648469,3929206,1323160,2396103,224,185,39,265,226,39,0,2012,32934475,11101605,4362940,0,2557374,7419300,7493256,0,1323160,777591,79152,0,0,0,466417,0,7344,6044
2013,7568,7568,7578,6322,40743198,32779826,7963372,3911356,1545169,2506847,195,190,5,231,226,5,0,2013,32779826,10975573,6633746,0,564123,7052342,7554042,0,1545169,764520,320211,0,0,0,460438,0,7373,6091
2014,7568,7568,7578,7340,2315394,1857073,458321,35461,108172,314688,7149,84,7065,7150,76,7074,0,2014,1857073,579802,227160,0,42849,907794,99468,0,108172,57927,15706,0,0,0,34539,0,419,190
2015,7568,7568,7578,6322,25704198,22228279,3475919,1274184,714979,1486756,2196,191,2005,2237,227,2010,3984916,2015,22228279,5378587,3251968,0,899878,5783786,6914060,0,714979,359138,139965,0,0,0,215876,0,5372,4085
2016,7568,7568,7578,6324,19877022,17828632,2048390,424824,667177,956389,3971,162,3809,4013,199,3814,0,2016,17828632,3190518,1620801,0,539188,5078811,7399314,0,667177,230100,297246,0,0,0,139831,0,3597,2311
2017,7568,7568,7578,7489,625754,366869,258885,27168,72584,159133,7425,41,7384,7434,43,7391,164464,2017,366869,273256,89560,0,1135,2918,0,0,72584,34210,17916,0,0,0,20458,0,143,55
2018,7568,7568,7578,6344,23800482,19640361,4160121,1743054,1127061,1290006,3261,185,3076,3299,218,3081,0,2018,19640361,4985075,1993078,0,529382,5009812,7123014,0,1127061,471409,370601,0,0,0,285051,0,4307,3045
2019,7568,7568,7578,6701,8731080,8028609,702471,29199,179407,493865,5988,108,5880,6012,132,5880,0,2019,8028609,1016336,349166,0,0,2380457,4282650,0,179407,79661,51957,0,0,0,47789,0,1580,689
2020,7568,7568,7578,6322,39339594,33789160,5550434,2681070,980855,1888509,449,193,256,486,229,257,0,2020,33789160,9599342,6585644,0,2789334,7260798,7554042,0,980855,555258,92419,0,0,0,333178,0,7119,5836
2021,7568,7568,7578,6325,19859110,17594504,2264606,364330,586636,1313640,3974,165,3809,4017,201,3816,1334,2021,17594504,3354067,1856599,0,94621,4917533,7371684,0,586636,238620,203811,0,0,0,144205,0,3594,2308
2022,7568,7568,7578,6362,15381307,13814848,1566459,126539,451586,988334,4783,163,4620,4828,202,4626,8603,2022,13814848,2198513,1012597,0,3072,3599224,7001442,0,451586,174827,171005,0,0,0,105754,0,2785,1534
2023,7568,7568,7578,7578,0,0,0,0,0,0,7568,45,7523,7578,49,7529,0,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,7568,7568,7578,7126,4641840,4297201,344639,2202,72453,269984,6728,84,6644,6762,111,6651,0,2024,4297201,712702,358784,0,145380,1892245,1188090,0,72453,32009,21318,0,0,0,19126,0,840,364
2025,7568,7568,7578,6767,8598456,7756106,842350,120689,184731,536930,6012,101,5911,6031,108,5923,0,2025,7756106,1187903,346812,0,166052,2093197,3962142,0,184731,107043,13988,0,0,0,63700,0,1556,736
2026,7568,7568,7578,6730,37312302,30173835,7138467,3192070,1893578,2052819,809,188,621,849,226,623,37932,2026,30173835,9398742,4330017,0,768434,8139178,7537464,0,1893578,699850,768455,0,0,0,425273,0,6759,5881
2027,7568,7568,7578,7182,4061610,3624283,437327,7853,108991,320483,6833,66,6767,6869,96,6773,0,2027,3624283,703912,340628,0,27728,1723115,828900,0,108991,47190,33461,0,0,0,28340,0,735,313
2028,7568,7568,7578,7480,862056,485261,376795,129952,112440,134403,7412,43,7369,7419,41,7378,0,2028,485261,295153,146258,0,6763,37087,0,0,112440,57242,21048,0,0,0,34150,0,156,61
2029,7568,7568,7578,6612,6563675,6068509,495166,32507,96795,365864,5739,124,5615,5772,152,5620,3562469,2029,6068509,732889,326923,0,115404,1609057,3284236,0,96795,57711,4923,0,0,0,34161,0,1829,840
2030,7568,7568,7578,6421,14472594,13572712,899882,43534,275080,581268,4949,144,4805,4999,187,4812,0,2030,13572712,1765688,1021757,0,528203,3692176,6564888,0,275080,96443,120389,0,0,0,58248,0,2619,1422
2031,7568,7568,7578,7550,254196,173424,80772,2633,31538,46601,7522,33,7489,7533,38,7495,0,2031,173424,104678,46875,0,21871,0,0,0,31538,8849,17365,0,0,0,5324,0,46,17
2032,7568,7568,7578,7578,0,0,0,0,0,0,7568,38,7530,7578,40,7538,0,2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,7568,7568,7578,6356,10146988,9179388,967600,113859,215433,638308,4703,160,4543,4747,196,4551,5710045,2033,9179388,1361583,567651,0,71949,2566530,4611675,0,215433,115922,30456,0,0,0,69055,0,2865,1609
2034,7568,7568,7578,6318,36299017,30947440,5351577,2055033,1475128,1821416,892,193,699,929,230,699,592811,2034,30947440,8552691,7425378,0,701989,6785178,7482204,0,1475128,482607,698196,0,0,0,294325,0,6676,5389
2035,7568,7568,7578,7500,680521,409970,270551,12443,67414,190694,7437,49,7388,7449,51,7398,43385,2035,409970,314253,71139,0,24578,0,0,0,67414,32591,15465,0,0,0,19358,0,131,51
