"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,32439676,26946160,5493516,2686279,950692,1856545,1677,193,1484,1717,232,1485,113990
2011,7568,7568,7578,6313,33233364,28570889,4662475,2315627,834114,1512734,1554,192,1362,1597,231,1366,0
2012,7568,7568,7578,6313,30987209,25724814,5262395,2256329,1140480,1865586,1929,194,1735,1970,231,1739,174055
2013,7568,7568,7578,6323,32056326,26915060,5141266,1761844,1593835,1785587,1767,193,1574,1807,230,1577,0
2014,7568,7568,7578,7574,38682,23560,15122,2531,3931,8660,7561,27,7534,7571,25,7546,0
2015,7568,7568,7578,6322,26292708,23558074,2734634,876579,506009,1352046,2810,178,2632,2851,214,2637,0
2016,7568,7568,7578,6340,250538,244597,5941,1248,773,3920,4786,161,4625,4832,198,4634,15193628
2017,7568,7568,7578,6322,40428216,34163674,6264542,3872172,1244477,1147893,252,190,62,289,226,63,0
2018,7568,7568,7578,6322,35172990,29338149,5834841,2925480,1362409,1546952,1203,190,1013,1242,226,1016,0
2019,7568,7568,7578,6392,15522534,13759043,1763491,280931,489407,993153,4759,139,4620,4810,184,4626,0
2020,7568,7568,7578,7192,3774258,3410210,364048,22068,85886,256094,6885,67,6818,6919,92,6827,0
2021,7568,7568,7578,6324,25275924,22341702,2934222,534163,663278,1736781,2994,173,2821,3038,209,2829,0
2022,7568,7568,7578,6502,13593960,12081311,1512649,357033,399821,755795,5108,123,4985,5131,140,4991,0
2023,7568,7568,7578,6322,33225354,27880364,5344990,2275559,889988,2179443,1126,195,931,1164,230,934,2375845
2024,7568,7568,7578,6325,26436384,24230783,2205601,515294,435981,1254326,2784,174,2610,2827,211,2616,0
2025,7568,7568,7578,6324,9731613,8308834,1422779,484811,322018,615950,2274,187,2087,2313,225,2088,19574727
