"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,32439676,26946160,5493516,2686279,950692,1856545,1677,193,1484,1717,232,1485,113990,2010,26946160,7146531,2958495,0,2651476,6718506,7471152,0,950692,592568,3209,0,0,0,354915,0,5891,4607
2011,7568,7568,7578,6313,33233364,28570889,4662475,2315627,834114,1512734,1554,192,1362,1597,231,1366,0,2011,28570889,7780482,2449648,0,3344454,7436737,7559568,0,834114,520613,1735,0,0,0,311766,0,6014,4716
2012,7568,7568,7578,6313,30987209,25724814,5262395,2256329,1140480,1865586,1929,194,1735,1970,231,1739,174055,2012,25724814,7079436,4285172,0,400049,6489005,7471152,0,1140480,541762,272165,0,0,0,326553,0,5639,4343
2013,7568,7568,7578,6323,32056326,26915060,5141266,1761844,1593835,1785587,1767,193,1574,1807,230,1577,0,2013,26915060,7957426,4136535,0,566845,6794154,7460100,0,1593835,471193,833855,0,0,0,288787,0,5801,4516
2014,7568,7568,7578,7574,38682,23560,15122,2531,3931,8660,7561,27,7534,7571,25,7546,0,2014,23560,15186,4558,0,3816,0,0,0,3931,1787,1509,0,0,0,635,0,7,3
2015,7568,7568,7578,6322,26292708,23558074,2734634,876579,506009,1352046,2810,178,2632,2851,214,2637,0,2015,23558074,5428268,2256249,0,1810650,6608333,7454574,0,506009,288156,45180,0,0,0,172673,0,4758,3471
2016,7568,7568,7578,6340,250538,244597,5941,1248,773,3920,4786,161,4625,4832,198,4634,15193628,2016,244597,17457,44706,0,0,89122,93312,0,773,280,358,0,0,0,135,0,2782,1508
2017,7568,7568,7578,6322,40428216,34163674,6264542,3872172,1244477,1147893,252,190,62,289,226,63,0,2017,34163674,9406919,4250143,0,5806047,7218361,7482204,0,1244477,692648,135932,0,0,0,415897,0,7316,6033
2018,7568,7568,7578,6322,35172990,29338149,5834841,2925480,1362409,1546952,1203,190,1013,1242,226,1016,0,2018,29338149,8166737,3603530,0,2822588,7235460,7509834,0,1362409,625374,359755,0,0,0,377280,0,6365,5080
2019,7568,7568,7578,6392,15522534,13759043,1763491,280931,489407,993153,4759,139,4620,4810,184,4626,0,2019,13759043,2276873,947836,0,20226,3722654,6791454,0,489407,208233,155506,0,0,0,125668,0,2809,1582
