"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6303,39560634,32156001,7404633,3808752,1343012,2252869,409,188,221,451,229,222,0
2011,7568,7568,7578,6322,35034840,29783185,5251655,2441905,875097,1934653,1228,194,1034,1270,230,1040,0
2012,7568,7568,7578,6295,22667652,19805913,2861739,576724,635695,1649320,3466,161,3305,3517,205,3312,0
2013,7568,7568,7578,6323,30608514,26939924,3668590,1335136,759516,1573938,2029,198,1831,2071,235,1836,0
2014,7568,7568,7578,6382,12688300,11395068,1293232,200270,334266,758696,4879,144,4735,4928,185,4743,2173124
2015,7568,7568,7578,6580,10738606,9818937,919669,32716,165660,721293,5527,116,5411,5547,130,5417,542220
2016,7568,7568,7578,6323,36394236,30835546,5558690,2522949,1158525,1877216,982,195,787,1020,230,790,0
2017,7568,7568,7578,6407,8890602,8183567,707035,122831,180411,403793,5015,117,4898,5073,167,4906,5241084
2018,7568,7568,7578,6322,38626740,31425809,7200931,3520113,1243903,2436915,578,195,383,616,231,385,0
2019,7568,7568,7578,6313,37670742,30412843,7257899,3526749,1228456,2502694,751,191,560,790,229,561,0
2020,7568,7568,7578,6322,28961766,26194389,2767377,595383,569781,1602213,2327,199,2128,2369,235,2134,0
2021,7568,7568,7578,6352,17053236,15539543,1513693,293369,316741,903583,4482,168,4314,4528,204,4324,0
2022,7568,7568,7578,6335,17638992,15562198,2076794,504694,428601,1143499,4376,171,4205,4423,210,4213,0
2023,7568,7568,7578,6323,22159260,19125841,3033419,1292091,656935,1084393,3558,175,3383,3603,213,3390,0
2024,7568,7568,7578,6324,28110762,23604676,4506086,1764013,949063,1793010,2481,178,2303,2522,217,2305,0
2025,7568,7568,7578,6322,38919618,31820339,7099279,3507733,1253656,2337890,525,193,332,564,229,335,0
2026,7568,7568,7578,6322,23789545,19736034,4053511,1580946,788002,1684563,1774,196,1578,1813,231,1582,8248398
2027,7568,7568,7578,6322,39173814,34271400,4902414,1590584,860588,2451242,479,191,288,516,227,289,0
2028,7568,7568,7578,7415,1503072,1230121,272951,6443,60398,206110,7296,50,7246,7307,50,7257,0
2029,7568,7568,7578,6348,16368012,14613283,1754729,290256,378806,1085667,4606,145,4461,4654,187,4467,0
2030,7568,7568,7578,6319,31940280,26363000,5577280,2351861,927955,2297464,1788,191,1597,1829,229,1600,0
2031,7568,7568,7578,6266,35880318,30172696,5707622,2605050,1091730,2010842,1075,185,890,1121,229,892,0
2032,7568,7568,7578,6314,37411020,31077070,6333950,3617819,1101675,1614456,798,191,607,836,228,608,0
2033,7568,7568,7578,6320,39218022,31004399,8213623,4296274,1441435,2475914,471,181,290,508,217,291,0
2034,7568,7568,7578,6322,35120950,27555658,7565292,3996668,1524437,2044187,559,193,366,594,229,365,3617372
2035,7568,7568,7578,7202,3082376,2669337,413039,33974,93885,285180,6892,124,6768,6913,140,6773,657016
2036,7568,7568,7578,7445,1204668,851585,353083,35798,96525,220760,7350,54,7296,7361,58,7303,0
2037,7568,7568,7578,6339,19039625,16724019,2315606,922902,542969,849735,4032,177,3855,4076,214,3862,500764
2038,7568,7568,7578,6322,39705113,32808231,6896882,3886113,1202238,1808531,190,190,0,226,226,0,1065967
2039,7568,7568,7578,6325,23043420,20239630,2803790,632885,541109,1629796,3398,166,3232,3443,204,3239,0
2040,7568,7568,7578,7551,91254,53810,37444,4417,9122,23905,7526,31,7495,7535,35,7500,140838
2041,7568,7568,7578,6445,14947830,13495522,1452308,185553,281893,984862,4863,125,4738,4917,173,4744,0
2042,7568,7568,7578,6319,38831202,29621915,9209287,5529944,1737008,1942335,541,191,350,579,228,351,0
2043,7568,7568,7578,6422,17209774,15166675,2043099,469595,503136,1070368,4425,143,4282,4482,195,4287,158494
