"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,32156001,10212432,6411125,0,545866,7338594,7647984,0,1343012,730260,173968,0,0,0,438784,0,7159,5852
2011,29783185,7730087,4198481,0,2689528,7450793,7714296,0,875097,543497,6064,0,0,0,325536,0,6340,5052
2012,19805913,4531652,1751990,0,339910,5705683,7476678,0,635695,285182,178426,0,0,0,172087,0,4102,2778
2013,26939924,6016865,5181196,0,1304756,6860961,7576146,0,759516,363582,176888,0,0,0,219046,0,5539,4252
2014,11395068,1602665,887530,0,1061,3047026,5856786,0,334266,160080,78026,0,0,0,96160,0,2689,1454
2015,9818937,1600426,768419,0,46628,2384364,5019100,0,165660,91183,20173,0,0,0,54304,0,2041,1033
2016,30835546,8504422,2686437,0,3942134,7993783,7708770,0,1158525,538585,294961,0,0,0,324979,0,6586,5303
2017,8183567,937515,511893,0,264166,2173547,4296446,0,180411,89585,37378,0,0,0,53448,0,2553,1334
2018,31425809,10686096,3909671,0,1734766,7497026,7598250,0,1243903,726901,80859,0,0,0,436143,0,6990,5706
2019,30412843,9860354,3525553,0,1859532,7591258,7576146,0,1228456,751658,26257,0,0,0,450541,0,6817,5523
2020,26194389,6544772,4495595,0,1317218,6382230,7454574,0,569781,238903,186489,0,0,0,144389,0,5241,3953
2021,15539543,2249934,822548,0,1031693,4351036,7084332,0,316741,187057,17949,0,0,0,111735,0,3086,1824
2022,15562198,2574881,1174654,0,186491,4414742,7211430,0,428601,264170,6495,0,0,0,157936,0,3192,1912
2023,19125841,3683369,1430818,0,1729747,5053899,7228008,0,656935,372879,60625,0,0,0,223431,0,4010,2720
2024,23604676,6173628,3201960,0,534302,6251264,7443522,0,949063,490525,163382,0,0,0,295156,0,5087,3802
2025,31820339,10434024,3686553,0,2515236,7553120,7631406,0,1253656,719931,101693,0,0,0,432032,0,7043,5758
2026,19736034,5613331,2057681,0,412248,5550450,6102324,0,788002,412026,128371,0,0,0,247605,0,5794,4509
2027,34271400,10251850,7617801,0,829361,7819410,7752978,0,860588,392785,230867,0,0,0,236936,0,7089,5806
2028,1230121,403051,175249,0,68000,572769,11052,0,60398,30228,12303,0,0,0,17867,0,272,108
2029,14613283,2310850,910406,0,305593,3963420,7123014,0,378806,209112,44363,0,0,0,125331,0,2962,1694
2030,26363000,7928013,3813716,0,435372,6631857,7554042,0,927955,568372,18869,0,0,0,340714,0,5780,4490
2031,30172696,8018644,6370325,0,1134907,7022940,7625880,0,1091730,577043,167779,0,0,0,346908,0,6493,5145
2032,31077070,8995277,4449702,0,2717639,7349358,7565094,0,1101675,689030,0,0,0,0,412645,0,6770,5478
2033,31004399,10302516,4224640,0,1160266,7663467,7653510,0,1441435,839056,98870,0,0,0,503509,0,7097,5812
2034,27555658,9236613,4133507,0,358104,6780292,7047142,0,1524437,759135,308161,0,0,0,457141,0,7009,5728
2035,2669337,541399,313592,0,0,1247418,566928,0,93885,51799,11317,0,0,0,30769,0,676,289
2036,851585,399013,234631,0,0,217941,0,0,96525,45277,24274,0,0,0,26974,0,218,84
2037,16724019,2610190,1095991,0,568847,4754580,7694411,0,542969,298707,65076,0,0,0,179186,0,3536,2263
2038,32808231,9195816,4292558,0,4306580,7450073,7563204,0,1202238,731738,31933,0,0,0,438567,0,7378,6096
2039,20239630,4598430,2528420,0,210158,5492256,7410366,0,541109,273277,103473,0,0,0,164359,0,4170,2882
2040,53810,39418,13032,0,1360,0,0,0,9122,4763,1667,0,0,0,2692,0,42,16
2041,13495522,2154189,1133724,0,290858,3307655,6609096,0,281893,162119,22786,0,0,0,96988,0,2705,1528
2042,29621915,10231203,4372023,0,210085,7326400,7482204,0,1737008,943301,226723,0,0,0,566984,0,7027,5740
2043,15166675,2599769,1369419,0,353058,4246385,6598044,0,503136,248831,104850,0,0,0,149455,0,3143,1940
2044,21343983,4755815,3068760,0,204754,5898762,7415892,0,785024,349140,225350,0,0,0,210534,0,4456,3143
2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,3892,2001,403,0,1488,0,0,0,158,71,49,0,0,0,38,0,1,0
2047,28804286,7162366,5238649,0,2321337,6599730,7482204,0,1074262,627627,70419,0,0,0,376216,0,6219,4936
2048,23693821,6147902,2836783,0,801581,6430877,7476678,0,1022601,594083,72083,0,0,0,356435,0,5235,3947
2049,5607323,986765,335762,0,63338,2088422,2133036,0,214711,121939,19960,0,0,0,72812,0,1173,554
2050,17591026,4074861,2059284,0,73838,4825571,6557472,0,725243,444922,14001,0,0,0,266320,0,4620,3335
