"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,23360399,6728928,3956249,0,824792,5489220,6361210,0,899298,539275,36912,0,0,0,323111,0,6251,4942
2011,18142465,5670171,2351874,0,835287,4490399,4794734,0,1031786,569546,120449,0,0,0,341791,0,6711,5410
2012,23185040,5746410,2507568,0,1089624,6397916,7443522,0,859624,451431,136827,0,0,0,271366,0,4934,3647
2013,32619366,10513047,5906502,0,923465,7760992,7515360,0,1267728,448331,546664,0,0,0,272733,0,6912,5626
2014,143914,109836,33080,0,998,0,0,0,29185,16080,3551,0,0,0,9554,0,47,17
2015,28581816,9219708,2463561,0,2488512,7136393,7273642,0,2062611,945525,546317,0,0,0,570769,0,7323,6041
2016,2097047,434758,214177,0,13705,1005333,429074,0,48166,30309,0,0,0,0,17857,0,678,294
2017,3899819,480047,218087,0,98392,1449228,1654065,0,88553,36050,31078,0,0,0,21425,0,1138,479
2018,22369811,5676823,2790212,0,439432,6014296,7449048,0,1123046,508370,307960,0,0,0,306716,0,4866,3578
2019,7964310,1217790,584578,0,1064,2175065,3985813,0,168188,65115,63931,0,0,0,39142,0,2665,1462
2020,3915105,601991,424516,0,147302,1641622,1099674,0,53065,19190,22376,0,0,0,11499,0,751,320
2021,3326781,488123,234766,0,133467,1426011,1044414,0,56792,23982,18527,0,0,0,14283,0,647,274
2022,12249827,1775376,558304,0,423276,3038503,6454368,0,343055,165671,77892,0,0,0,99492,0,2455,1338
2023,20935534,4997058,1735978,0,982018,5859848,7360632,0,832802,385047,215558,0,0,0,232197,0,4433,3152
2024,33292993,10821183,4968699,0,1414173,8363590,7725348,0,1096340,565377,191087,0,0,0,339876,0,7179,5886
2025,15169397,2240538,889718,0,755561,4155040,7128540,0,381187,132566,168237,0,0,0,80384,0,2982,1726
2026,5333407,695314,266647,0,63332,1738524,2569590,0,125134,57515,33136,0,0,0,34483,0,1055,437
2027,25575976,5828484,3228626,0,2419334,6600750,7498782,0,955900,535764,98548,0,0,0,321588,0,5498,4214
2028,15675215,3094461,1459322,0,212211,4325853,6583368,0,564008,233800,189046,0,0,0,141162,0,3636,2358
2029,5890516,796254,329352,0,77310,1548724,3138876,0,139556,72793,23514,0,0,0,43249,0,2238,1147
2030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,11162351,1710698,744929,0,2028,2825032,5879664,0,258528,123182,61569,0,0,0,73777,0,2223,1128
2032,17579209,5010827,2144825,0,859616,4610222,4953719,0,535021,298448,57719,0,0,0,178854,0,6808,5525
2033,17376793,3367114,1893316,0,382557,4634258,7099548,0,743351,398949,104900,0,0,0,239502,0,4102,2803
2034,8435953,1003102,605501,0,0,2118678,4708672,0,152476,77066,29546,0,0,0,45864,0,1797,800
2035,15562212,2254288,1373290,0,605411,4162001,7167222,0,334157,183667,40564,0,0,0,109926,0,3086,1811
2036,10844271,1888514,1123272,0,37700,3062742,4732043,0,266893,132103,55776,0,0,0,79014,0,3615,2326
2037,11009313,1452056,936121,0,342682,2658512,5619942,0,173732,96129,20314,0,0,0,57289,0,2151,1092
2038,724672,149786,76255,0,35306,385194,78131,0,24673,13455,3324,0,0,0,7894,0,456,187
2039,15071644,2042848,1546940,0,361683,3986107,7134066,0,188318,78287,63079,0,0,0,46952,0,2890,1620
2040,8790778,999007,645538,0,278440,2126485,4741308,0,119604,58236,26737,0,0,0,34631,0,1694,780
2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2043,6692,3844,1230,0,1618,0,0,0,218,142,0,0,0,0,76,0,2,0
2044,17875024,3446441,1673982,0,482738,4988595,7283268,0,534767,275826,93308,0,0,0,165633,0,3688,2411
2045,14586903,2256846,1006998,0,22880,4149535,7150644,0,545187,296587,70764,0,0,0,177836,0,3030,1756
2046,15153570,2479801,942151,0,310562,4264886,7156170,0,673617,228950,305327,0,0,0,139340,0,3090,1816
2047,14893560,2346429,1207118,0,16123,4173246,7150644,0,488903,198663,170077,0,0,0,120163,0,3001,1729
2048,9388861,1396903,553500,0,48652,2383250,5006556,0,318010,181739,27630,0,0,0,108641,0,1939,957
2049,9815176,1248234,823411,0,719,2327332,5415480,0,243806,122529,47953,0,0,0,73324,0,1953,920
2050,9046304,1116615,476126,0,288120,2451765,4713678,0,262310,86946,122639,0,0,0,52725,0,1773,827
2051,4327862,530726,261504,0,148939,1806257,1580436,0,107420,34440,52249,0,0,0,20731,0,840,339
2052,3189266,542742,284081,0,139238,1499299,723906,0,90591,40888,25441,0,0,0,24262,0,641,262
2053,2190685,265309,255271,0,28441,650703,990961,0,38612,16703,12941,0,0,0,8968,0,4537,3251
2054,3484098,428806,156520,0,113781,1541641,1243350,0,67116,32585,15353,0,0,0,19178,0,679,260
2055,16532462,2492328,885753,0,2014534,4529391,6610456,0,222467,130195,14743,0,0,0,77529,0,3686,2398
2056,11849046,1643377,1218875,0,37248,2902132,6047414,0,332152,171856,57444,0,0,0,102852,0,2600,1402
2057,7681398,1022861,668531,0,2,1719384,4270620,0,291472,84526,155615,0,0,0,51331,0,2156,1036
2058,2674,1682,714,0,278,0,0,0,249,81,128,0,0,0,40,0,1,0
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,182928,91664,50008,0,41256,0,0,0,21273,9188,6678,0,0,0,5407,0,46,17
2061,13648726,2031985,768937,0,622632,3922772,6302400,0,433270,243643,43802,0,0,0,145825,0,3251,1977
2062,16602447,2623262,1521755,0,734792,4489104,7233534,0,552905,253797,146348,0,0,0,152760,0,3379,2100
2063,24707481,6954082,2979281,0,465514,6848504,7460100,0,1521032,596980,561992,0,0,0,362060,0,5495,4210
2064,50302,38058,9907,0,2337,0,0,0,11199,4696,3950,0,0,0,2553,0,18,7
2065,238383,152190,86193,0,0,0,0,0,47867,20199,15639,0,0,0,12029,0,82,31
2066,6623494,856809,684331,0,295385,2012917,2774052,0,163612,37919,102496,0,0,0,23197,0,1271,578
2067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,84841,50071,22417,0,12353,0,0,0,13049,6462,2805,0,0,0,3782,0,24,9
2070,5816811,588456,371980,0,151090,1551313,3153972,0,122513,54477,35683,0,0,0,32353,0,1727,775
2071,112620,72270,30365,0,9985,0,0,0,19578,9723,4111,0,0,0,5744,0,49,18
2072,6232,3616,1980,0,636,0,0,0,705,258,307,0,0,0,140,0,2,0
2073,8887777,1202762,429536,0,27683,2186708,5041088,0,350429,136761,131138,0,0,0,82530,0,2140,1029
2074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2076,2311146,450091,321766,0,116468,1135469,287352,0,68854,26096,27061,0,0,0,15697,0,463,181
2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2078,3556995,452713,509955,0,148388,1500993,944946,0,113623,31454,63179,0,0,0,18990,0,693,272
2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080,60907,36196,11303,0,13408,0,0,0,10066,4624,2915,0,0,0,2527,0,17,7
2081,6663567,749499,733536,0,65520,1772608,3342404,0,192120,70509,79363,0,0,0,42248,0,2797,1527
2082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2083,52240,35221,16830,0,189,0,0,0,17608,6604,7272,0,0,0,3732,0,35,13
2084,4346,2830,1424,0,92,0,0,0,938,244,568,0,0,0,126,0,2,1
2085,13728,4967,7091,0,1670,0,0,0,1248,501,527,0,0,0,220,0,8,3
2086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2087,3280344,337455,320689,0,29562,777918,1814720,0,139223,56767,48821,0,0,0,33635,0,2117,1014
2088,1536456,358705,300538,0,0,738973,138240,0,127988,38463,66457,0,0,0,23068,0,426,172
2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2098,615862,198079,84795,0,13090,312437,7461,0,86592,19083,55718,0,0,0,11791,0,309,117
2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
