"cnrmcm3","gfdlcm21","miroc32med","mpiecham5","ncarccsm3","ncarpcm1"
5142.98671306549,5526,5506.6501442879,5526,4542.42905135178,5398.37402169436
4427.49244762059,3512.23157228725,5526,5526,3483.64982863955,5526
5525.96841440303,5526,5495.16031211208,5526,5526,5526
4445.81884272997,5526,5526,5526,5526,5232.75452938577
3214.02574563872,5526,5526,4718.59427296393,5526,4317.72048192771
5526,4784.84698436337,5526,5261.44341009309,5091.79939915335,5526
1380.96612484633,5526,90.0567936736161,5526,3499.78318584071,4958.212305026
5525.53793103448,4375.9020979021,5526,3482.41363102233,3703.26362038664,4951.58608247423
4736.50791034937,5526,5526,5526,5526,5526
5526,5526,5526,5526,3245.72757973734,5526
5526,5526,5526,5526,5526,5525.93726812816
3898.1110274179,5525.62882582081,5526,5526,5523.39412673879,3667.49111692604
3291.96579988694,5522.91095152603,5526,5526,5526,5526
5526,NA,5157.61471592673,5526,5526,5503.50284840906
4747.87382779199,5526,5526,5526,5526,5526
4988.6787081738,5526,1838.23441632036,5526,5526,5526
3703.38322862606,5520.38792720817,5526,4105.89316534346,5526,5526
5526,5526,5526,5526,5518.40214623499,5526
5526,5526,5526,5526,4905.40841584158,4793.14123813571
5526,3588.66867140514,5526,5526,2900.38382484361,5526
4065.33176979975,5526,5526,5526,NA,5526
5524.94542536116,5526,5526,5526,5526,5526
5514.64890198179,NA,5526,5526,3036.92097532315,5526
5526,3541.70610820244,5526,5526,5005.90346172599,5526
5526,5437.24041342121,5349.40411104048,5010.83606791268,5075.05676126878,4063.68103448276
5526,5194.81679389313,5526,4559.72781065089,5526,5351.22014343623
5526,5116.35243553009,4179.4031271244,5526,3343.04426002766,4447.20815581254
4355.74897006317,5526,4291.36463985033,5384.50933257919,5526,5526
5526,5526,5525.95403422983,5381.555028463,1828.36184210526,5526
5526,5526,5526,5526,5522.52041522491,5524.55218068536
4204.5366122629,NA,5526,2172.71428571429,5526,4404.651928321
5526,5526,3482.47605011054,5526,NA,5130.52674524025
5526,2261,5526,5526,NA,5526
5526,5526,5526,5475.5882914413,4647,3467.96665164489
5519.17990275527,5509.47363249263,5310.7619047619,5526,5526,4841.99176136364
NA,5526,2989,NA,5526,5240.51715760705
5526,5526,5454.90754608295,5174,5526,5526
5526,5526,2659.50077220077,5526,5526,5526
5526,4201.12118644068,5526,5526,5522.82826199072,5485.3009410802
5526,5526,NA,5526,5526,5526
5254.4680227547,5523.85041551247,NA,4626.81255411255,5526,3793
5526,5526,5526,4907.43522466382,5525.88095238095,5526
5526,4174.23429951691,4232.77192982456,5526,5525.41497659906,5526
5526,4982.14991103203,5526,4361.83702839362,518.061935199471,5179.12857142857
5526,4408.35378095026,3435.29375639713,NA,5526,5526
4838.50834806521,5526,5526,5526,4754.08817145958,5370.90286389135
4700.83693286456,NA,5526,4344.46558179724,5065.81807692308,5526
4340.58521923621,5526,5526,2891.51380552221,3905.79777365492,3649.98934713133
5526,5526,5063.08695652174,5526,4170,5526
NA,2649.07959326788,NA,5526,NA,5526
NA,5526,NA,4725.51965065502,5526,5467.32523793896
NA,5525.29649965683,3066.39534883721,5468.79483163665,4754.03229775454,5526
NA,NA,5526,5526,5508.00355134655,5526
5526,NA,5526,NA,5526,5526
4510.75510204082,5526,5156.31471040492,5526,4873,5526
4767.91211573237,NA,5526,4750.26590909091,4722,5516.04202448383
NA,5526,3818,5493.05518044237,5526,2817.48985024958
5526,NA,3923.37404580153,NA,NA,5525.61933134724
NA,2537,5526,3090,NA,5526
NA,NA,2865.95002474023,NA,5526,5274.05811905601
NA,5253.01639344262,NA,2537,3616.62941517082,5526
4168.900243309,4115.04761904762,2773.30283911672,5526,3768,5526
NA,2957.97493036212,5400,5270.70420792079,5225,5526
5498.30842607313,3995.11096345515,NA,3794.15259515571,4645.27710280374,5520.33572567783
5526,1472.6,NA,4709.57122668174,NA,303.566365007541
3170.1186440678,NA,2462,NA,NA,4042.15183592458
2858.52117263844,NA,NA,NA,5524.27213822894,5526
1835.26855123675,NA,NA,NA,NA,5526
608.56457960644,NA,NA,1655.70150273224,5526,5526
3315.39403292181,NA,NA,NA,NA,4876.83333333333
5526,NA,1292.94915254237,2193.24684044234,5526,5526
NA,NA,3991.68393782383,4370.37695078031,2586.35859849839,5006.74596016535
NA,NA,4576.84545454545,3652.63831127914,NA,5526
5526,NA,4275.24819773429,4394.86637931035,2805.11428571429,5526
3670.88335064036,NA,3210.31304347826,809.531808434596,4044,NA
4911.88433228181,NA,2934.63978494624,437.975318471338,2565.875,5526
NA,NA,NA,1767.96513317191,NA,5526
NA,NA,NA,5001.50893448048,1730.26216343883,NA
5526,NA,NA,NA,4323.53521126761,3218.62003058104
NA,Inf,NA,2865.86911595867,NA,5526
NA,NA,5300,1735.77538071066,Inf,5111.81541704306
5273.95210569777,NA,1791.29533678756,0,NA,5526
4320.99668325041,NA,1008,1005,NA,5526
3227.19724137931,NA,NA,NA,NA,5526
NA,NA,NA,NA,NA,5343.40277777778
NA,NA,Inf,0,NA,5526
NA,NA,NA,NA,NA,4833
NA,NA,NA,NA,NA,5325
NA,0,0,NA,0,NA
5526,NA,NA,2117.30188679245,NA,NA
