"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6309,31586868,28609686,2977182,1708490,556116,712576,1196,189,1007,1237,228,1009,3632142
2011,7568,7568,7578,6309,12195495,11067798,1127697,585870,279203,262624,2614,172,2442,2660,211,2449,15226983
2012,7568,7568,7578,6322,31990014,26749678,5240336,1904404,1105571,2230361,1779,194,1585,1821,230,1591,0
2013,7568,7568,7578,6322,26790961,22811842,3979119,1659176,730277,1589666,2640,187,2453,2683,223,2460,441167
2014,7568,7568,7578,6275,39709836,33633914,6075922,2500532,1133014,2442376,382,184,198,427,228,199,0
2015,7568,7568,7578,6492,11360495,10154117,1206378,223366,396932,586080,5325,119,5206,5350,140,5210,1039020
2016,7568,7568,7578,6340,14746632,13181184,1565448,364011,308062,893375,3678,179,3499,3724,217,3507,6770808
2017,7568,7568,7578,6323,25408548,21409421,3999127,1359386,951690,1688051,2970,182,2788,3011,219,2792,0
2018,7568,7568,7578,6322,32564718,29293244,3271474,1195678,583357,1492439,1675,197,1478,1712,232,1480,0
2019,7568,7568,7578,6322,8487499,7674858,812641,186379,178387,447875,2194,196,1998,2237,232,2005,21268733
2020,7568,7568,7578,6323,19027009,16744661,2282348,1017886,437981,826481,2585,174,2411,2626,211,2415,8532239
2021,7568,7568,7578,6285,39936402,31324495,8611907,5398524,1951601,1261782,341,181,160,388,227,161,0
2022,7568,7568,7578,6325,20330154,18200290,2129864,713398,527202,889264,3889,167,3722,3932,205,3727,0
2023,7568,7568,7578,6353,15638580,14088799,1549781,164857,395846,989078,4738,154,4584,4787,195,4592,0
2024,7568,7568,7578,6290,28072080,23734515,4337565,1971030,791908,1574627,2488,179,2309,2538,223,2315,0
2025,7568,7568,7578,6266,28293843,23127775,5166068,3274923,1155201,735944,213,182,31,258,226,32,12378015
2026,7568,7568,7578,6323,37399968,30493275,6906693,3310667,1652054,1943972,800,197,603,836,233,603,0
2027,7568,7568,7578,7408,1525176,1288737,236439,604,43943,191892,7292,48,7244,7301,51,7250,0
2028,7568,7568,7578,6786,7492028,6922436,569592,62978,155412,351202,6155,122,6033,6172,132,6040,317617
2029,7568,7568,7578,6323,19582771,16909794,2672977,1209109,579118,884750,2150,187,1963,2192,225,1967,10383948
2030,7568,7568,7578,7466,1016310,682383,333927,31439,84701,217787,7384,38,7346,7395,50,7345,474
2031,7568,7568,7578,6322,37698372,29283944,8414428,4323604,1682374,2408450,746,194,552,782,229,553,0
2032,7568,7568,7578,6288,30891766,26786612,4105154,2142684,782728,1179742,1889,183,1706,1938,228,1710,490539
2033,7568,7568,7578,6309,36372132,33746264,2625868,778037,546809,1301022,986,191,795,1027,230,797,0
