"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,28609686,6720783,3535309,0,5086795,6270427,6996372,0,556116,342294,9118,0,0,0,204704,0,6372,5072
2011,11067798,1960825,1229102,0,1585077,2731017,3561777,0,279203,138749,57671,0,0,0,82783,0,4954,3649
2012,26749678,7911796,3902077,0,412027,7047100,7476678,0,1105571,507509,291783,0,0,0,306279,0,5789,4501
2013,22811842,5241612,2140923,0,1654913,6320120,7454274,0,730277,455419,2134,0,0,0,272724,0,4928,3639
2014,33633914,10497290,7342321,0,1324539,6993086,7476678,0,1133014,570800,218825,0,0,0,343389,0,7186,5848
2015,10154117,1423186,587648,0,88678,2603774,5450831,0,396932,154994,148341,0,0,0,93597,0,2243,1142
2016,13181184,2578238,1272109,0,624259,3461786,5244792,0,308062,167877,39783,0,0,0,100402,0,3890,2616
2017,21409421,5373936,1948340,0,538181,6122020,7426944,0,951690,430643,261016,0,0,0,260031,0,4598,3312
2018,29293244,7031821,5913486,0,2278563,6603748,7465626,0,583357,332146,52124,0,0,0,199087,0,5893,4610
2019,7674858,1462752,894870,0,215760,2195708,2905768,0,178387,78853,52451,0,0,0,47083,0,5374,4085
2020,16744661,3611021,1603416,0,1624026,4365359,5540839,0,437981,264664,15075,0,0,0,158242,0,4983,3697
2021,31324495,9197300,5092229,0,2484662,7057048,7493256,0,1951601,939991,444897,0,0,0,566713,0,7227,5897
2022,18200290,3183191,1870262,0,708612,5061015,7377210,0,527202,269518,95943,0,0,0,161741,0,3679,2393
2023,14088799,2130679,1148950,0,8984,3715854,7084332,0,395846,179695,107892,0,0,0,108259,0,2830,1566
2024,23734515,5850857,2049450,0,1689684,6667846,7476678,0,791908,495270,0,0,0,0,296638,0,5080,3752
2025,23127775,6053425,3738995,0,2864367,5065926,5405062,0,1155201,563141,253087,0,0,0,338973,0,7355,6008
2026,30493275,9593647,5458925,0,654375,7237812,7548516,0,1652054,669243,577296,0,0,0,405515,0,6768,5487
2027,1288737,426664,311792,0,5576,517075,27630,0,43943,22510,8124,0,0,0,13309,0,276,107
2028,6922436,758027,366680,0,129248,1930331,3738150,0,155412,70433,43028,0,0,0,41951,0,1413,614
2029,16909794,3545698,1770384,0,1369098,4707210,5517404,0,579118,288261,117763,0,0,0,173094,0,5418,4131
2030,682383,371314,156258,0,45844,108967,0,0,84701,42690,16680,0,0,0,25331,0,184,71
2031,29283944,10234544,2815122,0,599613,7986681,7647984,0,1682374,850971,319102,0,0,0,512301,0,6822,5540
2032,26786612,5767234,3542342,0,3444759,6556052,7476225,0,782728,468008,34360,0,0,0,280360,0,5679,4350
2033,33746264,8746665,6162170,0,3896391,7447782,7493256,0,546809,234990,170084,0,0,0,141735,0,6582,5282
2034,18526713,3975130,1891194,0,220045,5085238,7355106,0,618604,268888,187451,0,0,0,162265,0,3831,2548
2035,9525905,1179064,869299,0,275180,2333956,4868406,0,121043,53986,34687,0,0,0,32370,0,1819,853
2036,20339186,3507975,2126537,0,2139408,5143848,7421418,0,675603,399299,37060,0,0,0,239244,0,4242,2955
2037,25802854,5474718,3873168,0,2925868,6063474,7465626,0,698798,436614,889,0,0,0,261295,0,5327,4040
2038,29528312,9930251,2500545,0,1882606,7732706,7482204,0,1733482,974757,173286,0,0,0,585439,0,7093,5793
2039,21736530,4596354,4157350,0,337723,5218159,7426944,0,763191,378780,156426,0,0,0,227985,0,4563,3276
2040,10687566,1514378,601742,0,31488,2643716,5896242,0,295063,149675,55634,0,0,0,89754,0,2152,1050
2041,28296336,7820051,4009591,0,1819931,7059565,7587198,0,997079,439075,292767,0,0,0,265237,0,5923,4590
2042,12347535,1821499,976354,0,6950,3362992,6179740,0,342861,164652,79264,0,0,0,98945,0,2944,1671
2043,15511323,2661750,1351817,0,405755,4174376,6917625,0,304479,183106,11989,0,0,0,109384,0,3287,2020
2044,27415257,7759908,4649321,0,955739,6584663,7465626,0,1318683,534988,459713,0,0,0,323982,0,5929,4584
2045,14506212,1846144,910351,0,956698,3774999,7018020,0,197225,95963,43926,0,0,0,57336,0,2775,1521
2046,16745394,2861033,1404145,0,262783,4856801,7360632,0,496978,281019,47672,0,0,0,168287,0,3437,2150
2047,22984095,6721791,3083118,0,801334,5885446,6492406,0,834874,478028,70107,0,0,0,286739,0,5973,4670
2048,24282817,6435633,2026087,0,1386027,6969444,7465626,0,1420335,455509,686607,0,0,0,278219,0,5207,3919
2049,1000874,422657,144453,0,0,433764,0,0,119314,53879,33085,0,0,0,32350,0,253,92
2050,6653813,973878,302218,0,175406,2262479,2939832,0,124429,67072,17436,0,0,0,39921,0,1316,595
2051,19630477,4879138,2510063,0,1435203,5058862,5747211,0,868320,517403,40993,0,0,0,309924,0,5930,4596
2052,26338161,7494238,4976177,0,415105,6384914,7067727,0,906438,339276,361151,0,0,0,206011,0,6133,4822
2053,12087395,1746176,808861,0,1564,3186946,6343848,0,230682,122195,35443,0,0,0,73044,0,2391,1222
2054,16278967,2711079,1341800,0,638679,4436765,7150644,0,443941,223105,86987,0,0,0,133849,0,3293,2020
2055,12522580,1681028,933394,0,633546,3197981,6076631,0,210335,122772,14338,0,0,0,73225,0,2847,1618
2056,16751333,2947933,948402,0,784110,4853932,7216956,0,428614,253282,23981,0,0,0,151351,0,3398,2110
2057,22235806,4489015,2351290,0,1856443,6095536,7443522,0,784341,487984,4132,0,0,0,292225,0,4738,3451
2058,13762355,3423590,2333367,0,629011,3294139,4082248,0,455581,249984,55895,0,0,0,149702,0,5637,4300
2059,17234903,3980401,1442343,0,809696,4929729,6072734,0,537176,330798,8458,0,0,0,197920,0,4687,3399
