"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6324,23855742,20435616,3420126,1325107,823145,1271874,3251,161,3090,3294,197,3097,0
2011,7568,7568,7578,6325,17382124,15446892,1935232,324325,457276,1153631,3979,173,3806,4024,209,3815,2460638
2012,7568,7568,7578,6344,20042802,18022213,2020589,433833,458344,1128412,3941,164,3777,3990,204,3786,0
2013,7568,7568,7578,6749,8556672,8084604,472068,78878,97839,295351,6018,103,5915,6035,113,5922,8628
2014,7568,7568,7578,6278,35482446,31996049,3486397,2074419,653977,758001,1147,184,963,1193,228,965,0
2015,7568,7568,7578,6290,1085274,1026144,59130,20703,10892,27535,2356,190,2166,2406,235,2171,27808880
2016,7568,7568,7578,6312,29293326,25506728,3786598,1488755,661943,1635900,2267,191,2076,2308,228,2080,0
2017,7568,7568,7578,6322,34348292,27172482,7175810,4239698,1335632,1600480,1210,193,1017,1251,229,1022,786368
2018,7568,7568,7578,6316,34990632,30004617,4986015,2858346,961465,1166204,1236,192,1044,1276,229,1047,0
2019,7568,7568,7578,6309,10125209,8786884,1338325,503163,298794,536368,1264,192,1072,1308,233,1075,24773944
2020,7568,7568,7578,6514,12555072,11375561,1179511,120433,219006,840072,5296,119,5177,5318,139,5179,0
2021,7568,7568,7578,6480,14555484,12682812,1872672,586114,514984,771574,4934,131,4803,4966,157,4809,0
2022,7568,7568,7578,6354,25789842,21945269,3844573,1523832,844338,1476403,2901,185,2716,2939,222,2717,0
2023,7568,7568,7578,6323,27116082,23608104,3507978,835500,948139,1724339,2661,178,2483,2703,212,2491,0
2024,7568,7568,7578,6351,17467686,16583067,884619,56068,184782,643769,4407,150,4257,4456,190,4266,0
2025,7568,7568,7578,6324,24706746,21909011,2797735,701646,590593,1505496,3097,174,2923,3141,213,2928,0
2026,7568,7568,7578,6322,39599316,33490475,6108841,2395544,2027748,1685549,402,197,205,438,232,206,0
2027,7568,7568,7578,6528,12411396,11166187,1245209,180741,358166,706302,5322,132,5190,5345,149,5196,0
2028,7568,7568,7578,6455,14881518,13697204,1184314,97252,330527,756535,4875,141,4734,4922,182,4740,0
2029,7568,7568,7578,6597,7907515,7315488,592027,119456,170642,301929,5593,113,5480,5615,131,5484,3020905
2030,7568,7568,7578,6322,27701838,25284409,2417429,1035572,555716,826141,2555,184,2371,2597,220,2377,0
2031,7568,7568,7578,6322,32083956,25471976,6611980,3493942,1467709,1650329,1762,194,1568,1801,229,1572,0
2032,7568,7568,7578,6322,29481210,24825305,4655905,1702383,983168,1970354,2233,195,2038,2274,231,2043,0
2033,7568,7568,7578,6334,18136332,15993133,2143199,419890,670674,1052635,4286,176,4110,4332,216,4116,0
