"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6324,23855742,20435616,3420126,1325107,823145,1271874,3251,161,3090,3294,197,3097,0,2010,20435616,4600381,2117211,0,818236,5483896,7415892,0,823145,396562,187701,0,0,0,238882,0,4317,3030
2011,7568,7568,7578,6325,17382124,15446892,1935232,324325,457276,1153631,3979,173,3806,4024,209,3815,2460638,2011,15446892,2941796,1423967,0,41482,4474165,6565482,0,457276,204358,129828,0,0,0,123090,0,3589,2301
2012,7568,7568,7578,6344,20042802,18022213,2020589,433833,458344,1128412,3941,164,3777,3990,204,3786,0,2012,18022213,3305945,1701118,0,956068,4853178,7205904,0,458344,203483,132232,0,0,0,122629,0,3627,2354
2013,7568,7568,7578,6749,8556672,8084604,472068,78878,97839,295351,6018,103,5915,6035,113,5922,8628,2013,8084604,860783,308692,0,721479,2126514,4067136,0,97839,61531,0,0,0,0,36308,0,1550,714
2014,7568,7568,7578,6278,35482446,31996049,3486397,2074419,653977,758001,1147,184,963,1193,228,965,0,2014,31996049,6701382,4291695,0,6925282,6589960,7487730,0,653977,409240,0,0,0,0,244737,0,6421,5085
2015,7568,7568,7578,6290,1085274,1026144,59130,20703,10892,27535,2356,190,2166,2406,235,2171,27808880,2015,1026144,85106,126774,0,8266,305520,500478,0,10892,6959,388,0,0,0,3545,0,5212,3884
2016,7568,7568,7578,6312,29293326,25506728,3786598,1488755,661943,1635900,2267,191,2076,2308,228,2080,0,2016,25506728,6087972,4065940,0,1423088,6464102,7465626,0,661943,410018,6575,0,0,0,245350,0,5301,4004
2017,7568,7568,7578,6322,34348292,27172482,7175810,4239698,1335632,1600480,1210,193,1017,1251,229,1022,786368,2017,27172482,7803868,2859323,0,1764228,7252335,7492728,0,1335632,812756,35533,0,0,0,487343,0,6358,5071
2018,7568,7568,7578,6316,34990632,30004617,4986015,2858346,961465,1166204,1236,192,1044,1276,229,1047,0,2018,30004617,7379261,3222183,0,4988532,6937963,7476678,0,961465,567171,54304,0,0,0,339990,0,6332,5040
2019,7568,7568,7578,6309,10125209,8786884,1338325,503163,298794,536368,1264,192,1072,1308,233,1075,24773944,2019,8786884,2033891,1354688,0,188500,2299669,2910136,0,298794,135388,82441,0,0,0,80965,0,6304,5001
2020,7568,7568,7578,6514,12555072,11375561,1179511,120433,219006,840072,5296,119,5177,5318,139,5179,0,2020,11375561,1700250,749936,0,245198,2933137,5747040,0,219006,136932,416,0,0,0,81658,0,2272,1196
2021,7568,7568,7578,6480,14555484,12682812,1872672,586114,514984,771574,4934,131,4803,4966,157,4809,0,2021,12682812,2133901,795084,0,424911,3277946,6050970,0,514984,241006,129011,0,0,0,144967,0,2634,1514
2022,7568,7568,7578,6354,25789842,21945269,3844573,1523832,844338,1476403,2901,185,2716,2939,222,2717,0,2022,21945269,5596519,1849030,0,1494050,5926864,7078806,0,844338,428785,157627,0,0,0,257926,0,4667,3415
2023,7568,7568,7578,6323,27116082,23608104,3507978,835500,948139,1724339,2661,178,2483,2703,212,2491,0,2023,23608104,6180304,3441521,0,240914,6329473,7415892,0,948139,301821,462068,0,0,0,184250,0,4907,3620
2024,7568,7568,7578,6351,17467686,16583067,884619,56068,184782,643769,4407,150,4257,4456,190,4266,0,2024,16583067,2236062,1596446,0,1092028,4474731,7183800,0,184782,75991,63090,0,0,0,45701,0,3161,1895
2025,7568,7568,7578,6324,24706746,21909011,2797735,701646,590593,1505496,3097,174,2923,3141,213,2928,0,2025,21909011,4728250,1833671,0,1425072,6472970,7449048,0,590593,269508,158717,0,0,0,162368,0,4471,3183
