"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6935,6343848,5757357,586491,59474,159738,367279,6420,67,6353,6446,84,6362,0
2011,7568,7568,7578,6324,21346938,17965380,3381558,1095168,865666,1420724,3705,175,3530,3749,212,3537,0
2012,7568,7568,7578,6323,35250354,29988687,5261667,1943785,1040837,2277045,1189,197,992,1229,234,995,0
2013,7568,7568,7578,6805,8382942,7665739,717203,53017,142807,521379,6051,107,5944,6067,116,5951,0
2014,7568,7568,7578,6322,37864152,31456848,6407304,2779329,1144255,2483720,716,188,528,755,224,531,0
2015,7568,7568,7578,6322,18338394,15662105,2676289,853815,581777,1240697,2424,190,2234,2468,227,2241,10117467
2016,7568,7568,7578,6666,9709182,8869783,839399,112490,199575,527334,5811,136,5675,5838,154,5684,0
2017,7568,7568,7578,6353,18917469,17258887,1658582,242881,368762,1046939,4144,158,3986,4189,199,3990,3555
2018,7568,7568,7578,6327,32724972,28879901,3845071,1222810,582014,2040247,1646,197,1449,1689,237,1452,0
2019,7568,7568,7578,6322,4703109,4382053,321056,61123,84031,175902,2021,198,1823,2059,233,1826,26021478
2020,7568,7568,7578,6959,6045444,5433229,612215,120646,158645,332924,6474,74,6400,6495,93,6402,0
2021,7568,7568,7578,6322,38803572,31704706,7098866,3155453,1265173,2678240,546,192,354,583,228,355,0
2022,7568,7568,7578,6303,37946137,32802770,5143367,2861741,954937,1326689,697,183,514,745,228,517,23009
2023,7568,7568,7578,6310,37013148,30263444,6749704,3875411,1188180,1686113,870,190,680,912,229,683,0
2024,7568,7568,7578,6276,36123462,27873817,8249645,4653718,1727094,1868833,1031,185,846,1079,229,850,0
2025,7568,7568,7578,6361,19711557,16694474,3017083,919492,809146,1288445,3984,161,3823,4035,204,3831,93627
2026,7568,7568,7578,6341,18280008,16144292,2135716,353751,507918,1274047,4260,152,4108,4307,187,4120,0
2027,7568,7568,7578,6510,12754008,11570386,1183622,117609,380571,685442,5260,132,5128,5284,150,5134,0
2028,7568,7568,7578,6341,20435148,18154187,2280961,552852,498729,1229380,3870,165,3705,3917,204,3713,0
2029,7568,7568,7578,6322,13281858,11221363,2060495,799493,435668,825334,3030,178,2852,3072,214,2858,11832209
2030,7568,7568,7578,6928,6504102,5866213,637889,89209,169943,378737,6391,99,6292,6416,116,6300,0
2031,7568,7568,7578,6322,37615482,30015938,7599544,3485277,1468288,2645979,761,197,564,799,232,567,0
2032,7568,7568,7578,6321,17920818,16825192,1095626,433163,255546,406917,4325,165,4160,4375,206,4169,0
2033,7568,7568,7578,6322,37985724,30734761,7250963,3516639,1785877,1948447,694,190,504,730,226,504,0
2034,7568,7568,7578,6902,6647778,6185656,462122,38498,197400,226224,6365,92,6273,6389,108,6281,0
2035,7568,7568,7578,6916,6830136,6095521,734615,118457,169837,446321,6332,99,6233,6356,117,6239,0
2036,7568,7568,7578,6324,23198148,19293150,3904998,1503747,948777,1452474,3370,165,3205,3414,202,3212,0
2037,7568,7568,7578,7272,2758814,2409619,349195,26431,77589,245175,7059,73,6986,7066,73,6993,54220
2038,7568,7568,7578,6322,16663686,13653022,3010664,1801245,591860,617559,1359,194,1165,1399,230,1169,17692457
2039,7568,7568,7578,6323,28476079,24611922,3864157,1333729,744144,1786284,2414,187,2227,2455,224,2231,4925
2040,7568,7568,7578,6322,30899061,26245890,4653171,1914796,1046664,1691711,1976,194,1782,2018,230,1788,2331
2041,7568,7568,7578,6393,14544432,13515713,1028719,57065,232625,739029,4936,140,4796,4989,184,4805,0
2042,7568,7568,7578,7578,0,0,0,0,0,0,7568,46,7522,7578,49,7529,0
