"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6935,6343848,5757357,586491,59474,159738,367279,6420,67,6353,6446,84,6362,0,2010,5757357,807623,346700,0,38207,2094705,2470122,0,159738,72644,43617,0,0,0,43477,0,1148,489
2011,7568,7568,7578,6324,21346938,17965380,3381558,1095168,865666,1420724,3705,175,3530,3749,212,3537,0,2011,17965380,3951433,998323,0,110260,5494998,7410366,0,865666,399283,225537,0,0,0,240846,0,3863,2575
2012,7568,7568,7578,6323,35250354,29988687,5261667,1943785,1040837,2277045,1189,197,992,1229,234,995,0,2012,29988687,8742799,3742423,0,2030879,7758290,7714296,0,1040837,477514,275158,0,0,0,288165,0,6379,5094
2013,7568,7568,7578,6805,8382942,7665739,717203,53017,142807,521379,6051,107,5944,6067,116,5951,0,2013,7665739,1108524,417633,0,326096,2094488,3718998,0,142807,77973,18554,0,0,0,46280,0,1517,738
2014,7568,7568,7578,6322,37864152,31456848,6407304,2779329,1144255,2483720,716,188,528,755,224,531,0,2014,31456848,9264667,4814133,0,1776313,7926121,7675614,0,1144255,628804,137814,0,0,0,377637,0,6852,5567
2015,7568,7568,7578,6322,18338394,15662105,2676289,853815,581777,1240697,2424,190,2234,2468,227,2241,10117467,2015,15662105,3979157,1693774,0,294608,4550114,5144452,0,581777,267597,153113,0,0,0,161067,0,5144,3854
2016,7568,7568,7578,6666,9709182,8869783,839399,112490,199575,527334,5811,136,5675,5838,154,5684,0,2016,8869783,1128720,589772,0,214413,2355824,4581054,0,199575,105248,31353,0,0,0,62974,0,1757,828
2017,7568,7568,7578,6353,18917469,17258887,1658582,242881,368762,1046939,4144,158,3986,4189,199,3990,3555,2017,17258887,3027855,1391027,0,1063073,4670496,7106436,0,368762,157250,116815,0,0,0,94697,0,3424,2164
2018,7568,7568,7578,6327,32724972,28879901,3845071,1222810,582014,2040247,1646,197,1449,1689,237,1452,0,2018,28879901,7132353,5067561,0,475840,7517275,8686872,0,582014,333492,48531,0,0,0,199991,0,5922,4638
2019,7568,7568,7578,6322,4703109,4382053,321056,61123,84031,175902,2021,198,1823,2059,233,1826,26021478,2019,4382053,525092,343720,0,154955,1285908,2072378,0,84031,32958,31471,0,0,0,19602,0,5547,4263
2020,7568,7568,7578,6959,6045444,5433229,612215,120646,158645,332924,6474,74,6400,6495,93,6402,0,2020,5433229,701733,247608,0,94362,1659682,2729844,0,158645,84439,23960,0,0,0,50246,0,1094,464
2021,7568,7568,7578,6322,38803572,31704706,7098866,3155453,1265173,2678240,546,192,354,583,228,355,0,2021,31704706,10482888,4604062,0,1588477,7547075,7482204,0,1265173,687068,165400,0,0,0,412705,0,7022,5739
2022,7568,7568,7578,6303,37946137,32802770,5143367,2861741,954937,1326689,697,183,514,745,228,517,23009,2022,32802770,6544162,2981276,0,7081079,8708523,7487730,0,954937,579479,28433,0,0,0,347025,0,6871,5558
