"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6339,18451314,16597927,1853387,339606,388901,1124880,4229,153,4076,4277,193,4084,0
2011,7568,7568,7578,6337,22126104,19981325,2144779,297600,354296,1492883,3564,161,3403,3608,203,3405,0
2012,7568,7568,7578,6322,29790666,24883636,4907030,2577275,949722,1380033,2177,205,1972,2217,241,1976,0
2013,7568,7568,7578,6322,28019304,23891815,4127489,1243099,903083,1981307,2489,187,2302,2529,223,2306,47250
2014,7568,7568,7578,6537,11665236,10971561,693675,15244,112919,565512,5457,130,5327,5481,149,5332,150
2015,7568,7568,7578,6322,40737672,35105744,5631928,1738616,943509,2949803,196,190,6,232,226,6,0
2016,7568,7568,7578,6515,12725202,11724759,1000443,130234,220112,650097,5265,129,5136,5292,150,5142,1176
2017,7568,7568,7578,7577,9896,5406,4490,1082,569,2839,7566,40,7526,7577,42,7535,1156
2018,7568,7568,7578,6322,27646578,24599037,3047541,782497,492861,1772183,2565,189,2376,2608,224,2384,0
2019,7568,7568,7578,6286,16839740,14557917,2281823,923360,365787,992676,341,183,158,387,229,158,23144989
2020,7568,7568,7578,6267,33520716,28532580,4988136,1955563,967170,2065403,1502,185,1317,1551,229,1322,0
2021,7568,7568,7578,6328,21755862,18438198,3317664,1482967,754045,1080652,3631,166,3465,3680,207,3473,0
2022,7568,7568,7578,6324,20849598,18735128,2114470,568883,411992,1133595,3795,170,3625,3840,208,3632,0
2023,7568,7568,7578,6315,24833844,21823935,3009909,772275,570195,1667439,3074,162,2912,3120,200,2920,0
2024,7568,7568,7578,6299,36001890,29477913,6523977,2934134,1039951,2549892,1053,186,867,1099,228,871,0
2025,7568,7568,7578,6322,36129771,30145660,5984111,2377295,1315144,2291672,795,192,603,833,229,604,1298379
2026,7568,7568,7578,6507,12179304,11121349,1057955,120493,228613,708849,5364,140,5224,5387,159,5228,0
2027,7568,7568,7578,6317,40444794,33190938,7253856,3904036,1303323,2046497,249,189,60,286,226,60,0
2028,7568,7568,7578,6334,21971376,21484027,487349,179068,104457,203824,3592,168,3424,3638,207,3431,0
2029,7568,7568,7578,6319,19457046,17338418,2118628,388046,526939,1203643,4047,171,3876,4092,209,3883,0
2030,7568,7568,7578,6820,7670088,7067488,602600,46582,157340,398678,6180,110,6070,6201,123,6078,0
2031,7568,7568,7578,6323,26436384,22143233,4293151,1362669,859554,2070928,2784,168,2616,2826,203,2623,0
2032,7568,7568,7578,6303,38040984,32055584,5985400,3162398,1389513,1433489,684,187,497,726,228,498,0
2033,7568,7568,7578,6697,8300052,7753060,546992,69919,127796,349277,6066,130,5936,6088,144,5944,0
2034,7568,7568,7578,6322,39964032,33722856,6241176,3244858,1068626,1927692,336,193,143,372,229,143,0
2035,7568,7568,7578,6309,37433124,28832535,8600589,4613491,1593355,2393743,794,187,607,836,227,609,0
2036,7568,7568,7578,6348,16594578,14804574,1790004,355140,393842,1041022,4565,148,4417,4614,190,4424,0
2037,7568,7568,7578,6322,38831202,32084698,6746504,3014084,1162739,2569681,541,192,349,574,227,347,0
2038,7568,7568,7578,6324,28173027,25427815,2745212,710884,447458,1586870,2236,181,2055,2276,218,2058,1292383
2039,7568,7568,7578,6346,22684230,19799979,2884251,987594,559087,1337570,3463,177,3286,3508,215,3293,0
2040,7568,7568,7578,6343,15384384,14013812,1370572,120188,315631,934753,4784,158,4626,4830,198,4632,0
2041,7568,7568,7578,6345,15732522,14401540,1330982,221586,269478,839918,4721,158,4563,4766,197,4569,0
2042,7568,7568,7578,6291,23750748,20525877,3224871,942344,726969,1555558,3270,155,3115,3323,200,3123,0
2043,7568,7568,7578,6400,14828008,13487698,1340310,253403,293083,793824,4723,125,4598,4780,172,4608,894869
2044,7568,7568,7578,6306,34310934,28812695,5498239,2339523,1048570,2110146,1359,190,1169,1403,231,1172,0
2045,7568,7568,7578,6322,30520098,24765020,5755078,3364365,1154964,1235749,2045,193,1852,2086,229,1857,0
2046,7568,7568,7578,6322,32310522,26003662,6306860,3604561,1500666,1201633,1721,198,1523,1762,234,1528,0
2047,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,24,7554,0
2048,7568,7568,7578,6322,40756453,32294672,8461781,4587488,1678855,2195438,190,190,0,226,226,0,14375
2049,7568,7568,7578,6322,40074552,35438612,4635940,2594666,857969,1183305,316,194,122,352,230,122,0
2050,7568,7568,7578,6322,24279552,20990026,3289526,979716,718621,1591189,2675,184,2491,2713,220,2493,2765973
2051,7568,7568,7578,6350,11666494,10569131,1097363,209092,279876,608395,4732,162,4570,4778,203,4575,4023046
2052,7568,7568,7578,6382,13936572,12602813,1333759,165143,296775,871841,5046,145,4901,5096,188,4908,0
2053,7568,7568,7578,6322,26600600,23047828,3552772,1356629,634182,1561961,2436,192,2244,2479,229,2250,1761588
2054,7568,7568,7578,6285,40212702,33422254,6790448,3430966,1303304,2056178,291,181,110,340,228,112,0
2055,7568,7568,7578,7011,3173252,2863514,309738,54505,83615,171618,6552,94,6458,6579,114,6465,2453094
2056,7568,7568,7578,6336,17495316,15872054,1623262,371519,394603,857140,4402,152,4250,4447,191,4256,0
2057,7568,7568,7578,6322,23488972,20168129,3320843,1020294,897225,1403324,2687,176,2511,2729,212,2517,3491994
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,40,7538,0
2060,7568,7568,7578,6441,14511276,13448990,1062286,137727,294085,630474,4942,128,4814,4995,176,4819,0
2061,7568,7568,7578,6338,16166506,15221188,945318,101151,238384,605783,4300,162,4138,4349,201,4148,1898839
2062,7568,7568,7578,7075,4884984,4443170,441814,16647,131894,293273,6684,84,6600,6714,106,6608,0
2063,7568,7568,7578,7519,547074,367845,179229,10163,41144,127922,7469,70,7399,7479,74,7405,0
2064,7568,7568,7578,6322,22064950,19962347,2102603,618403,554323,929877,3019,177,2842,3061,213,2848,3076841
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2066,7568,7568,7578,6322,37515502,30254173,7261329,3944565,1474740,1842024,733,198,535,768,233,535,254708
2067,7568,7568,7578,7158,3862674,3421374,441300,66356,126261,248683,6869,93,6776,6899,114,6785,0
2068,7568,7568,7578,7358,1994886,1567240,427646,54884,92303,280459,7207,65,7142,7206,63,7143,0
2069,7568,7568,7578,6285,33128370,27474465,5653905,3327305,1146515,1180085,1573,183,1390,1624,230,1394,0
2070,7568,7568,7578,6594,7210462,6725373,485089,87569,147127,250393,5891,131,5760,5915,150,5765,2068950
2071,7568,7568,7578,6954,5851834,5529590,322244,3269,73953,245022,6509,82,6427,6534,99,6435,200
2072,7568,7568,7578,6332,21545874,18356859,3189015,1030514,772497,1386004,3669,163,3506,3715,201,3514,0
2073,7568,7568,7578,6334,23181570,19819250,3362320,1112082,826631,1423607,3373,176,3197,3416,213,3203,0
2074,7568,7568,7578,7576,22104,14526,7578,192,1728,5658,7564,55,7509,7575,64,7511,0
2075,7568,7568,7578,7578,1633,1619,14,14,0,0,7567,45,7522,7578,48,7530,3893
2076,7568,7568,7578,6322,20746945,16739736,4007209,1834619,946480,1226110,1670,193,1477,1711,229,1482,11878056
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,15,7563,0
2078,7568,7568,7578,7392,1674378,1353579,320799,54491,71108,195200,7265,62,7203,7266,61,7205,0
2079,7568,7568,7578,6315,17545050,15429280,2115770,688132,574091,853547,4393,165,4228,4442,207,4235,0
2080,7568,7568,7578,6339,19307844,17012806,2295038,654777,631289,1008972,4074,154,3920,4125,198,3927,0
2081,7568,7568,7578,6404,8909925,8097198,812727,162253,208726,441748,4991,136,4855,5045,182,4863,5344997
2082,7568,7568,7578,6323,22463190,18890116,3573074,1313173,902800,1357101,3503,170,3333,3547,205,3342,0
2083,7568,7568,7578,6467,7116605,6376601,740004,194396,224985,320623,4949,135,4814,4991,169,4822,7385557
2084,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,36,7542,0
2085,7568,7568,7578,6329,15716648,14173835,1542813,317741,422449,802623,4376,159,4217,4421,196,4225,1923750
2086,7568,7568,7578,6616,10234152,9115407,1118745,364647,306288,447810,5716,109,5607,5736,123,5613,0
2087,7568,7568,7578,7543,229350,121177,108173,28987,37421,41765,7513,61,7452,7523,64,7459,74580
2088,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0
2089,7568,7568,7578,6322,12478657,11083417,1395240,518197,394313,482730,4787,141,4646,4841,185,4656,2902090
2090,7568,7568,7578,7565,77860,52682,25178,1406,6466,17306,7548,51,7497,7557,56,7501,32660
2091,7568,7568,7578,6378,7776853,7106086,670767,154360,265926,250481,4978,142,4836,5026,184,4842,6565031
2092,7568,7568,7578,7578,0,0,0,0,0,0,7568,30,7538,7578,34,7544,0
2093,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,54,7524,0
2094,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,27,7551,0
2095,7568,7568,7578,7576,1304,882,422,64,34,324,7566,27,7539,7575,31,7544,9748
2096,7568,7568,7578,7578,0,0,0,0,0,0,7568,14,7554,7578,3,7575,0
2097,7568,7568,7578,7578,0,0,0,0,0,0,7568,8,7560,7578,12,7566,0
2098,7568,7568,7578,7578,0,0,0,0,0,0,7568,51,7517,7578,60,7518,0
2099,7568,7568,7578,7578,0,0,0,0,0,0,7568,29,7539,7578,33,7545,0
