"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6339,18451314,16597927,1853387,339606,388901,1124880,4229,153,4076,4277,193,4084,0,2010,16597927,2688683,1511969,0,570454,4620917,7205904,0,388901,212259,49797,0,0,0,126845,0,3339,2062
2011,7568,7568,7578,6337,22126104,19981325,2144779,297600,354296,1492883,3564,161,3403,3608,203,3405,0,2011,19981325,4368524,2395580,0,268688,5322653,7625880,0,354296,170416,81440,0,0,0,102440,0,4004,2729
2012,7568,7568,7578,6322,29790666,24883636,4907030,2577275,949722,1380033,2177,205,1972,2217,241,1976,0,2012,24883636,5891200,2641870,0,2370789,6519677,7460100,0,949722,573721,32268,0,0,0,343733,0,5391,4105
2013,7568,7568,7578,6322,28019304,23891815,4127489,1243099,903083,1981307,2489,187,2302,2529,223,2306,47250,2013,23891815,6329284,2933472,0,505526,6652381,7471152,0,903083,396511,267070,0,0,0,239502,0,5079,3793
2014,7568,7568,7578,6537,11665236,10971561,693675,15244,112919,565512,5457,130,5327,5481,149,5332,150,2014,10971561,1326945,1041718,0,398899,2545375,5658624,0,112919,70378,748,0,0,0,41793,0,2111,1056
2015,7568,7568,7578,6322,40737672,35105744,5631928,1738616,943509,2949803,196,190,6,232,226,6,0,2015,35105744,11407788,6555273,0,896868,8542571,7703244,0,943509,436740,243280,0,0,0,263489,0,7372,6090
2016,7568,7568,7578,6515,12725202,11724759,1000443,130234,220112,650097,5265,129,5136,5292,150,5142,1176,2016,11724759,1502490,880389,0,537985,2996069,5807826,0,220112,120184,28309,0,0,0,71619,0,2303,1223
2017,7568,7568,7578,7577,9896,5406,4490,1082,569,2839,7566,40,7526,7577,42,7535,1156,2017,5406,4010,1396,0,0,0,0,0,569,266,161,0,0,0,142,0,2,0
2018,7568,7568,7578,6322,27646578,24599037,3047541,782497,492861,1772183,2565,189,2376,2608,224,2384,0,2018,24599037,5763321,4272623,0,813764,6294755,7454574,0,492861,294476,22039,0,0,0,176346,0,5003,3714
2019,7568,7568,7578,6286,16839740,14557917,2281823,923360,365787,992676,341,183,158,387,229,158,23144989,2019,14557917,3902454,2743158,0,429138,3441923,4041244,0,365787,226149,4913,0,0,0,134725,0,7227,5899
2020,7568,7568,7578,6267,33520716,28532580,4988136,1955563,967170,2065403,1502,185,1317,1551,229,1322,0,2020,28532580,8415797,4902325,0,642827,7056271,7515360,0,967170,482375,194440,0,0,0,290355,0,6066,4716
2021,7568,7568,7578,6328,21755862,18438198,3317664,1482967,754045,1080652,3631,166,3465,3680,207,3473,0,2021,18438198,3635171,2579692,0,297144,4692657,7233534,0,754045,403774,107745,0,0,0,242526,0,3937,2648
2022,7568,7568,7578,6324,20849598,18735128,2114470,568883,411992,1133595,3795,170,3625,3840,208,3632,0,2022,18735128,3363071,2130923,0,536874,5271790,7432470,0,411992,251461,10210,0,0,0,150321,0,3773,2484
2023,7568,7568,7578,6315,24833844,21823935,3009909,772275,570195,1667439,3074,162,2912,3120,200,2920,0,2023,21823935,5058765,2658544,0,645088,6001438,7460100,0,570195,311286,72128,0,0,0,186781,0,4494,3195
2024,7568,7568,7578,6299,36001890,29477913,6523977,2934134,1039951,2549892,1053,186,867,1099,228,871,0,2024,29477913,9232697,4514503,0,862460,7369471,7498782,0,1039951,649673,1066,0,0,0,389212,0,6515,5200
2025,7568,7568,7578,6322,36129771,30145660,5984111,2377295,1315144,2291672,795,192,603,833,229,604,1298379,2025,30145660,9078514,4457208,0,1168061,7796923,7644954,0,1315144,556428,422194,0,0,0,336522,0,6773,5489
2026,7568,7568,7578,6507,12179304,11121349,1057955,120493,228613,708849,5364,140,5224,5387,159,5228,0,2026,11121349,1503897,748448,0,281814,2795942,5791248,0,228613,127410,25088,0,0,0,76115,0,2204,1120
2027,7568,7568,7578,6317,40444794,33190938,7253856,3904036,1303323,2046497,249,189,60,286,226,60,0,2027,33190938,10387926,5372604,0,2300585,7487365,7642458,0,1303323,741781,116337,0,0,0,445205,0,7319,6031
2028,7568,7568,7578,6334,21971376,21484027,487349,179068,104457,203824,3592,168,3424,3638,207,3431,0,2028,21484027,2998543,1276501,0,4790409,5151884,7266690,0,104457,62015,5847,0,0,0,36595,0,3976,2696
2029,7568,7568,7578,6319,19457046,17338418,2118628,388046,526939,1203643,4047,171,3876,4092,209,3883,0,2029,17338418,2997077,1681021,0,178395,5093663,7388262,0,526939,242091,139083,0,0,0,145765,0,3521,2227
2030,7568,7568,7578,6820,7670088,7067488,602600,46582,157340,398678,6180,110,6070,6201,123,6078,0,2030,7067488,906105,832974,0,26740,1991595,3310074,0,157340,70686,44263,0,0,0,42391,0,1388,619
2031,7568,7568,7578,6323,26436384,22143233,4293151,1362669,859554,2070928,2784,168,2616,2826,203,2623,0,2031,22143233,6072955,1823274,0,365116,6454944,7426944,0,859554,439525,155608,0,0,0,264421,0,4784,3497
2032,7568,7568,7578,6303,38040984,32055584,5985400,3162398,1389513,1433489,684,187,497,726,228,498,0,2032,32055584,8216611,2344593,0,5180529,8732179,7581672,0,1389513,639031,364971,0,0,0,385511,0,6884,5577
2033,7568,7568,7578,6697,8300052,7753060,546992,69919,127796,349277,6066,130,5936,6088,144,5944,0,2033,7753060,744951,364665,0,42328,2290836,4310280,0,127796,70892,14640,0,0,0,42264,0,1502,609
2034,7568,7568,7578,6322,39964032,33722856,6241176,3244858,1068626,1927692,336,193,143,372,229,143,0,2034,33722856,10558716,4001424,0,4081044,7599468,7482204,0,1068626,646899,33968,0,0,0,387759,0,7232,5950
2035,7568,7568,7578,6309,37433124,28832535,8600589,4613491,1593355,2393743,794,187,607,836,227,609,0,2035,28832535,10034613,3800536,0,308274,7206908,7482204,0,1593355,870017,200410,0,0,0,522928,0,6774,5473
2036,7568,7568,7578,6348,16594578,14804574,1790004,355140,393842,1041022,4565,148,4417,4614,190,4424,0,2036,14804574,2491640,807402,0,349096,4027896,7128540,0,393842,221989,39012,0,0,0,132841,0,3003,1734
2037,7568,7568,7578,6322,38831202,32084698,6746504,3014084,1162739,2569681,541,192,349,574,227,347,0,2037,32084698,10213488,5379318,0,1582537,7416099,7493256,0,1162739,669792,91027,0,0,0,401920,0,7027,5748
2038,7568,7568,7578,6324,28173027,25427815,2745212,710884,447458,1586870,2236,181,2055,2276,218,2058,1292383,2038,25427815,6020316,3343483,0,2106641,6562382,7394993,0,447458,250893,46180,0,0,0,150385,0,5332,4048
2039,7568,7568,7578,6346,22684230,19799979,2884251,987594,559087,1337570,3463,177,3286,3508,215,3293,0,2039,19799979,3944197,3346502,0,734790,4607268,7167222,0,559087,315268,54918,0,0,0,188901,0,4105,2838
2040,7568,7568,7578,6343,15384384,14013812,1370572,120188,315631,934753,4784,158,4626,4830,198,4632,0,2040,14013812,1963413,1049466,0,76053,3774236,7150644,0,315631,157636,63439,0,0,0,94556,0,2784,1513
2041,7568,7568,7578,6345,15732522,14401540,1330982,221586,269478,839918,4721,158,4563,4766,197,4569,0,2041,14401540,1918220,1530969,0,192918,3625367,7134066,0,269478,168944,0,0,0,0,100534,0,2847,1579
2042,7568,7568,7578,6291,23750748,20525877,3224871,942344,726969,1555558,3270,155,3115,3323,200,3123,0,2042,20525877,4492168,2951305,0,292575,5313151,7476678,0,726969,340367,181515,0,0,0,205087,0,4298,2968
2043,7568,7568,7578,6400,14828008,13487698,1340310,253403,293083,793824,4723,125,4598,4780,172,4608,894869,2043,13487698,1915113,1007485,0,454583,3603367,6507150,0,293083,161960,34229,0,0,0,96894,0,2845,1620
2044,7568,7568,7578,6306,34310934,28812695,5498239,2339523,1048570,2110146,1359,190,1169,1403,231,1172,0,2044,28812695,8317137,4733410,0,1408151,6871793,7482204,0,1048570,579406,121243,0,0,0,347921,0,6209,4903
2045,7568,7568,7578,6322,30520098,24765020,5755078,3364365,1154964,1235749,2045,193,1852,2086,229,1857,0,2045,24765020,5819530,4158404,0,960879,6349529,7476678,0,1154964,679215,68528,0,0,0,407221,0,5523,4236
2046,7568,7568,7578,6322,32310522,26003662,6306860,3604561,1500666,1201633,1721,198,1523,1762,234,1528,0,2046,26003662,6541877,4927021,0,673337,6390275,7471152,0,1500666,701134,376486,0,0,0,423046,0,5847,4560
2047,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,24,7554,0,2047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,7568,7568,7578,6322,40756453,32294672,8461781,4587488,1678855,2195438,190,190,0,226,226,0,14375,2048,32294672,10478362,5547370,0,1520279,7266457,7482204,0,1678855,833192,343964,0,0,0,501699,0,7378,6096
2049,7568,7568,7578,6322,40074552,35438612,4635940,2594666,857969,1183305,316,194,122,352,230,122,0,2049,35438612,9556300,3767380,0,6701850,7825884,7587198,0,857969,509835,42681,0,0,0,305453,0,7252,5970
2050,7568,7568,7578,6322,24279552,20990026,3289526,979716,718621,1591189,2675,184,2491,2713,220,2493,2765973,2050,20990026,5206018,2642478,0,446102,5777261,6918167,0,718621,325795,196450,0,0,0,196376,0,4893,3609
2051,7568,7568,7578,6350,11666494,10569131,1097363,209092,279876,608395,4732,162,4570,4778,203,4575,4023046,2051,10569131,1426288,658885,0,241618,2888060,5354280,0,279876,143398,50733,0,0,0,85745,0,2836,1572
2052,7568,7568,7578,6382,13936572,12602813,1333759,165143,296775,871841,5046,145,4901,5096,188,4908,0,2052,12602813,1703961,792937,0,4,3253671,6852240,0,296775,164284,34259,0,0,0,98232,0,2522,1286
2053,7568,7568,7578,6322,26600600,23047828,3552772,1356629,634182,1561961,2436,192,2244,2479,229,2250,1761588,2053,23047828,5296509,2193957,0,1990002,6237748,7329612,0,634182,396704,0,0,0,0,237478,0,5132,3843
2054,7568,7568,7578,6285,40212702,33422254,6790448,3430966,1303304,2056178,291,181,110,340,228,112,0,2054,33422254,10337403,5774770,0,2401047,7415778,7493256,0,1303304,698237,185567,0,0,0,419500,0,7277,5945
2055,7568,7568,7578,7011,3173252,2863514,309738,54505,83615,171618,6552,94,6458,6579,114,6465,2453094,2055,2863514,384455,223396,0,45706,1148637,1061320,0,83615,41477,17518,0,0,0,24620,0,1016,432
2056,7568,7568,7578,6336,17495316,15872054,1623262,371519,394603,857140,4402,152,4250,4447,191,4256,0,2056,15872054,2341471,1627064,0,562339,4146328,7194852,0,394603,204590,67408,0,0,0,122605,0,3166,1889
2057,7568,7568,7578,6322,23488972,20168129,3320843,1020294,897225,1403324,2687,176,2511,2729,212,2517,3491994,2057,20168129,4810730,2673234,0,337569,5565336,6781260,0,897225,332941,362230,0,0,0,202054,0,4881,3593
2058,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,38,7540,0,2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2059,7568,7568,7578,7578,0,0,0,0,0,0,7568,35,7533,7578,40,7538,0,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,7568,7568,7578,6441,14511276,13448990,1062286,137727,294085,630474,4942,128,4814,4995,176,4819,0,2060,13448990,1598877,1186024,0,547420,3424683,6691986,0,294085,124129,95203,0,0,0,74753,0,2626,1446
2061,7568,7568,7578,6338,16166506,15221188,945318,101151,238384,605783,4300,162,4138,4349,201,4148,1898839,2061,15221188,1970173,1368614,0,950151,4243381,6688869,0,238384,93693,88281,0,0,0,56410,0,3268,1989
2062,7568,7568,7578,7075,4884984,4443170,441814,16647,131894,293273,6684,84,6600,6714,106,6608,0,2062,4443170,643644,341985,0,21050,1612911,1823580,0,131894,49841,52121,0,0,0,29932,0,884,361
2063,7568,7568,7578,7519,547074,367845,179229,10163,41144,127922,7469,70,7399,7479,74,7405,0,2063,367845,222455,73301,0,72089,0,0,0,41144,22281,5649,0,0,0,13214,0,99,40
2064,7568,7568,7578,6322,22064950,19962347,2102603,618403,554323,929877,3019,177,2842,3061,213,2848,3076841,2064,19962347,3875487,2499369,0,1475490,5307536,6804465,0,554323,216748,206590,0,0,0,130985,0,4549,3261
2065,7568,7568,7578,7578,0,0,0,0,0,0,7568,34,7534,7578,37,7541,0,2065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,7568,7568,7578,6322,37515502,30254173,7261329,3944565,1474740,1842024,733,198,535,768,233,535,254708,2066,30254173,9548417,4127812,0,1584252,7262818,7730874,0,1474740,751718,270600,0,0,0,452422,0,6835,5554
2067,7568,7568,7578,7158,3862674,3421374,441300,66356,126261,248683,6869,93,6776,6899,114,6785,0,2067,3421374,518949,355361,0,0,1613170,933894,0,126261,60737,29293,0,0,0,36231,0,699,259
2068,7568,7568,7578,7358,1994886,1567240,427646,54884,92303,280459,7207,65,7142,7206,63,7143,0,2068,1567240,494744,221745,0,32148,768869,49734,0,92303,58005,0,0,0,0,34298,0,361,152
2069,7568,7568,7578,6285,33128370,27474465,5653905,3327305,1146515,1180085,1573,183,1390,1624,230,1394,0,2069,27474465,6875354,4996070,0,1925773,6178486,7498782,0,1146515,651360,104240,0,0,0,390915,0,5995,4661
2070,7568,7568,7578,6594,7210462,6725373,485089,87569,147127,250393,5891,131,5760,5915,150,5765,2068950,2070,6725373,582467,409211,0,0,1773705,3959990,0,147127,63760,45106,0,0,0,38261,0,1677,679
2071,7568,7568,7578,6954,5851834,5529590,322244,3269,73953,245022,6509,82,6427,6534,99,6435,200,2071,5529590,658892,524935,0,36554,2015919,2293290,0,73953,33188,21012,0,0,0,19753,0,1059,420
2072,7568,7568,7578,6332,21545874,18356859,3189015,1030514,772497,1386004,3669,163,3506,3715,201,3514,0,2072,18356859,4005616,2067124,0,133581,4878322,7272216,0,772497,359194,196866,0,0,0,216437,0,3899,2617
2073,7568,7568,7578,6334,23181570,19819250,3362320,1112082,826631,1423607,3373,176,3197,3416,213,3203,0,2073,19819250,4610477,2234586,0,394679,5285188,7294320,0,826631,364204,242581,0,0,0,219846,0,4195,2918
2074,7568,7568,7578,7576,22104,14526,7578,192,1728,5658,7564,55,7509,7575,64,7511,0,2074,14526,8977,3118,0,2431,0,0,0,1728,584,880,0,0,0,264,0,4,1
2075,7568,7568,7578,7578,1633,1619,14,14,0,0,7567,45,7522,7578,48,7530,3893,2075,1619,581,125,0,913,0,0,0,0,0,0,0,0,0,0,0,1,0
2076,7568,7568,7578,6322,20746945,16739736,4007209,1834619,946480,1226110,1670,193,1477,1711,229,1482,11878056,2076,16739736,4909274,1837395,0,217853,4645577,5129637,0,946480,419440,273931,0,0,0,253109,0,5898,4611
2077,7568,7568,7578,7578,0,0,0,0,0,0,7568,12,7556,7578,15,7563,0,2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
