"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6376,16484058,15581295,902763,53603,129877,719283,4585,133,4452,4639,179,4460,0
2011,7568,7568,7578,6347,16080660,14547705,1532955,267934,378746,886275,4658,141,4517,4712,188,4524,0
2012,7568,7568,7578,6322,28823616,23961234,4862382,1959418,1015705,1887259,2352,195,2157,2392,231,2161,0
2013,7568,7568,7578,6576,11111884,10246914,864970,23374,146583,695013,5556,123,5433,5577,139,5438,6428
2014,7568,7568,7578,6442,14061333,12909049,1152284,117800,249330,785154,5023,137,4886,5072,181,4891,2337
2015,7568,7568,7578,7461,811972,557516,254456,54434,59325,140697,7376,41,7335,7387,43,7344,249020
2016,7568,7568,7578,7282,2829312,2541118,288194,525,65492,222177,7056,112,6944,7055,104,6951,0
2017,7568,7568,7578,6589,10321714,9882576,439138,23073,71967,344098,5391,129,5262,5416,147,5269,1715418
2018,7568,7568,7578,6322,40676886,35556201,5120685,1797893,1015694,2307098,207,191,16,243,227,16,0
2019,7568,7568,7578,6584,11195478,10147515,1047963,69240,333223,645500,5542,127,5415,5571,149,5422,198
2020,7568,7568,7578,7278,2984040,2733622,250418,3161,54740,192517,7028,93,6935,7031,89,6942,0
2021,7568,7568,7578,6611,9414377,8647773,766604,51476,193306,521822,5692,117,5575,5716,134,5582,957169
2022,7568,7568,7578,6325,27486324,23244170,4242154,1822713,843297,1576144,2594,179,2415,2637,220,2417,0
2023,7568,7568,7578,6322,30000654,25773122,4227532,2421442,880500,925590,2139,192,1947,2180,228,1952,0
2024,7568,7568,7578,6302,37145772,28261338,8884434,5580247,1873868,1430319,846,187,659,889,228,661,0
2025,7568,7568,7578,6322,35539032,29781447,5757585,2048682,1131704,2577199,1136,195,941,1177,231,946,4200
2026,7568,7568,7578,6324,24596226,21105209,3491017,1087297,1014885,1388835,3117,182,2935,3158,220,2938,0
2027,7568,7568,7578,7578,0,0,0,0,0,0,7568,14,7554,7578,16,7562,0
2028,7568,7568,7578,6322,25602902,23764934,1837968,880274,400973,556721,1423,198,1225,1464,234,1230,8374540
2029,7568,7568,7578,6322,17009537,14467890,2541647,976307,481282,1084058,613,193,420,652,230,422,21470032
2030,7568,7568,7578,7098,4520268,4157409,362859,48029,104133,210697,6750,58,6692,6784,87,6697,0
2031,7568,7568,7578,6323,28795986,23898595,4897391,1768086,1589180,1540125,2357,197,2160,2396,233,2163,0
