"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,15581295,2266631,1517679,0,799071,4062784,6935130,0,129877,77697,5918,0,0,0,46262,0,2983,1737
2011,14547705,2189583,984638,0,344566,3950112,7078806,0,378746,194305,67885,0,0,0,116556,0,2910,1635
2012,23961234,6272752,3104935,0,624442,6487953,7471152,0,1015705,516896,187765,0,0,0,311044,0,5216,3930
2013,10246914,1679365,833292,0,2872,2476159,5255226,0,146583,78473,21280,0,0,0,46830,0,2012,999
2014,12909049,1672349,945645,0,415405,3371548,6504102,0,249330,135746,32419,0,0,0,81165,0,2545,1370
2015,557516,256925,80832,0,145929,73830,0,0,59325,36203,1817,0,0,0,21305,0,192,74
2016,2541118,566952,279824,0,148548,1219760,326034,0,65492,26619,22929,0,0,0,15944,0,512,227
2017,9882576,1042767,786507,0,616169,2585195,4851938,0,71967,44098,1872,0,0,0,25997,0,2177,1173
2018,35556201,10330676,7415950,0,1711269,8317698,7780608,0,1015694,416410,347206,0,0,0,252078,0,7361,6079
2019,10147515,1481516,496239,0,39710,2383010,5747040,0,333223,118202,143285,0,0,0,71736,0,2026,1013
2020,2733622,509167,321438,0,206224,1177349,519444,0,54740,23382,17461,0,0,0,13897,0,540,247
2021,8647773,1106060,499486,0,224666,2046256,4771305,0,193306,86589,54796,0,0,0,51921,0,1876,895
2022,23244170,5863362,1846111,0,1665371,6392648,7476678,0,843297,472326,87349,0,0,0,283622,0,4974,3688
2023,25773122,5586808,2754953,0,3546864,6413345,7471152,0,880500,503789,74643,0,0,0,302068,0,5429,4142
2024,28261338,8718849,3715073,0,1070538,7219414,7537464,0,1873868,969275,321416,0,0,0,583177,0,6722,5413
2025,29781447,9601232,4292808,0,661937,7616168,7609302,0,1131704,518739,299935,0,0,0,313030,0,6432,5145
2026,21105209,4977237,2275074,0,507278,5863416,7482204,0,1014885,358565,438292,0,0,0,218028,0,4451,3166
2027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,23764934,5317006,2032634,0,4520290,5669279,6225725,0,400973,205979,71584,0,0,0,123410,0,6145,4858
2029,14467890,3789397,2205676,0,508581,3726804,4237432,0,481282,249852,81756,0,0,0,149674,0,6955,5670
2030,4157409,544929,392939,0,122874,1742797,1353870,0,104133,48823,26250,0,0,0,29060,0,818,314
2031,23898595,6816714,2519016,0,297862,6827007,7437996,0,1589180,480791,813945,0,0,0,294444,0,5211,3927
2032,81212,55237,19305,0,6670,0,0,0,13825,6662,3272,0,0,0,3891,0,24,8
2033,25836623,6656227,2797723,0,1831714,6991391,7559568,0,1053065,583633,118897,0,0,0,350535,0,5617,4331
2034,14341089,2381048,1295123,0,18497,3694713,6951708,0,357821,144431,126291,0,0,0,87099,0,2876,1626
2035,9682040,1330365,837235,0,99998,2170268,5244174,0,267023,93656,116656,0,0,0,56711,0,1912,910
2036,12996950,1914790,943032,0,141249,3252404,6745475,0,402581,211570,64273,0,0,0,126738,0,2883,1661
2037,20175030,4595072,3043662,0,1646163,4879405,6010728,0,525424,270809,92051,0,0,0,162564,0,5447,4162
2038,6393106,879973,391737,0,117169,1782237,3221990,0,143248,65956,38006,0,0,0,39286,0,2863,1606
2039,27193094,6820560,4897271,0,1578012,6403995,7493256,0,733865,370788,140133,0,0,0,222944,0,5604,4319
2040,18361349,3459687,2375866,0,245658,4925032,7355106,0,429597,178217,143682,0,0,0,107698,0,3663,2380
2041,11113077,1330672,840963,0,349014,2624348,5968080,0,191090,83115,58079,0,0,0,49896,0,2155,1075
2042,1311,1088,223,0,0,0,0,0,85,56,0,0,0,0,29,0,1,0
2043,10811579,1285921,571271,0,354754,2836148,5763485,0,194062,115204,10345,0,0,0,68513,0,2449,1243
2044,24440251,5965089,3163165,0,1488818,6352027,7471152,0,1044508,381012,432071,0,0,0,231425,0,5093,3776
2045,13617874,2049727,945037,0,3352,3629368,6990390,0,444990,194797,132839,0,0,0,117354,0,2753,1501
2046,13202599,1770855,593851,0,743103,3579636,6515154,0,443249,191314,136672,0,0,0,115263,0,2648,1457
2047,464814,327650,73913,0,44106,19145,0,0,115832,45869,42344,0,0,0,27619,0,145,55
2048,9905209,1470944,743001,0,317925,2681523,4691816,0,290687,97522,134112,0,0,0,59053,0,2835,1637
2049,9533084,1331744,662514,0,230507,2379127,4929192,0,238417,81146,108394,0,0,0,48877,0,1871,940
2050,12737014,1605897,490731,0,499159,3504501,6636726,0,254274,137829,34002,0,0,0,82443,0,2507,1322
2051,12007004,1812855,1364324,0,34690,3255410,5539725,0,220325,110747,43264,0,0,0,66314,0,3112,1826
2052,21763699,5576944,3420959,0,421955,5662901,6680940,0,846762,351868,282074,0,0,0,212820,0,5304,4007
2053,13326660,1962058,862924,0,752417,3521459,6227802,0,294398,174947,14877,0,0,0,104574,0,2657,1504
2054,22219754,4976475,2353345,0,1290598,6128184,7471152,0,940687,555327,52367,0,0,0,332993,0,4833,3529
2055,15482479,2643358,1871537,0,220074,4222813,6524697,0,613530,365445,29300,0,0,0,218785,0,3901,2613
2056,13265076,1812252,1292041,0,18362,3262551,6879870,0,370500,166398,104110,0,0,0,99992,0,2650,1411
2057,5539228,814200,427672,0,114208,1956170,2226978,0,225176,108371,51829,0,0,0,64976,0,1140,515
2058,30531561,9870014,5692215,0,448328,6906176,7614828,0,1993445,840021,645190,0,0,0,508234,0,7082,5793
2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2060,12516820,1899253,724101,0,315891,3288987,6288588,0,333631,158014,80658,0,0,0,94959,0,2496,1333
2061,19316588,6059468,2269728,0,204244,5236112,5547036,0,1087286,594173,136390,0,0,0,356723,0,6911,5626
2062,12489094,1661274,939964,0,235322,3127789,6524745,0,327594,155380,78894,0,0,0,93320,0,2670,1424
2063,14435487,2191063,1168259,0,233719,3763640,7078806,0,427657,179701,139595,0,0,0,108361,0,2883,1623
2064,16374303,2804560,1375472,0,109746,4790205,7294320,0,721317,346843,165836,0,0,0,208638,0,3445,2162
2065,704761,368628,127919,0,46869,161345,0,0,73699,34551,18671,0,0,0,20477,0,203,78
2066,13873461,2129595,945578,0,437095,3558687,6802506,0,497746,238861,115249,0,0,0,143636,0,2838,1618
2067,10241762,1311035,631922,0,183145,2501244,5614416,0,274255,126038,72501,0,0,0,75716,0,2036,975
2068,19117352,4455041,2158351,0,918062,5280258,6305640,0,669306,374856,69611,0,0,0,224839,0,5067,3779
2069,16948297,2618621,972986,0,938901,5145573,7272216,0,645472,337094,106005,0,0,0,202373,0,3521,2235
2070,15846213,2891999,1371123,0,38768,4388153,7156170,0,567934,218871,216835,0,0,0,132228,0,3231,1958
2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2072,11012230,1613711,1002376,0,378226,2962893,5055024,0,311024,157856,58584,0,0,0,94584,0,3282,2002
2073,7263672,1195373,423056,0,243211,2143537,3258495,0,264707,118165,75697,0,0,0,70845,0,3655,2378
2074,1386904,473089,195387,0,51326,661576,5526,0,132040,45385,59378,0,0,0,27277,0,319,130
2075,7807401,974965,401743,0,815188,2106487,3509018,0,107150,66760,1113,0,0,0,39277,0,3271,1994
2076,7483985,1237271,1195746,0,258682,2028026,2764260,0,222520,125896,22018,0,0,0,74606,0,5122,3823
2077,7005454,739971,541551,0,0,2003788,3720144,0,190375,72934,73475,0,0,0,43966,0,1483,628
2078,3081317,559283,437974,0,104941,1398889,580230,0,146298,55553,57395,0,0,0,33350,0,636,279
2079,12814,9985,2829,0,0,0,0,0,2706,1319,927,0,0,0,460,0,5,1
2080,17525172,2663808,1790288,0,1122396,4748302,7200378,0,552811,218523,202216,0,0,0,132072,0,3501,2225
2081,3583614,452854,339968,0,87437,1556287,1147068,0,55771,23125,19014,0,0,0,13632,0,850,334
2082,19724352,4124173,1963376,0,1606590,5395073,6635140,0,720076,331981,188162,0,0,0,199933,0,4808,3524
2083,235863,156160,50881,0,28822,0,0,0,44863,24125,6353,0,0,0,14385,0,92,35
2084,27000010,7019511,5250068,0,618866,6634887,7476678,0,977462,376937,371813,0,0,0,228712,0,5625,4338
2085,3251,1860,913,0,478,0,0,0,269,63,173,0,0,0,33,0,1,0
2086,5712,4734,978,0,0,0,0,0,1384,364,832,0,0,0,188,0,2,1
2087,29586,20726,8131,0,729,0,0,0,6372,4134,33,0,0,0,2205,0,11,4
2088,17437948,2790289,1998192,0,567683,4826146,7255638,0,430450,126143,227290,0,0,0,77017,0,3401,2076
2089,12792,9603,3081,0,108,0,0,0,1652,934,382,0,0,0,336,0,10,4
2090,6187291,990872,491623,0,274507,1746469,2683820,0,220681,108817,47130,0,0,0,64734,0,3947,2662
2091,9976035,1419865,752004,0,5905,2641884,5156377,0,342893,166844,75968,0,0,0,100081,0,2852,1587
