"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo"
2010,7568,7568,7578,6322,40406112,35608403,4797709,1995369,708434,2093906,256,192,64,292,228,64,0
2011,7568,7568,7578,6330,20147796,18084433,2063363,341041,462604,1259718,3922,162,3760,3965,197,3768,0
2012,7568,7568,7578,6322,40212702,34974350,5238352,2719676,884475,1634201,291,191,100,327,227,100,0
2013,7568,7568,7578,6292,28121814,24185181,3936633,1105846,641571,2189216,2479,177,2302,2531,223,2308,0
2014,7568,7568,7578,6279,32133690,26916504,5217186,1930286,849694,2437206,1753,178,1575,1799,222,1577,0
2015,7568,7568,7578,6305,23839658,19400856,4438802,2267204,925787,1245811,1174,186,988,1218,227,991,11521794
2016,7568,7568,7578,6324,24833844,21514483,3319361,1156314,607788,1555259,3074,180,2894,3116,218,2898,0
2017,7568,7568,7578,6319,31222462,27233560,3988902,2115445,813808,1059649,1676,200,1476,1714,237,1477,1338512
2018,7568,7568,7578,6322,40732146,38691946,2040200,1363844,366352,310004,197,190,7,233,226,7,0
2019,7568,7568,7578,6310,10978960,9570706,1408254,562832,314624,530798,498,190,308,538,229,309,28150121
2020,7568,7568,7578,6322,28022346,24355570,3666776,1749236,864684,1052856,2497,185,2312,2539,221,2318,0
2021,7568,7568,7578,6322,39925350,32638336,7287014,4356596,1247751,1682667,343,193,150,379,229,150,0
2022,7568,7568,7578,6284,40621626,40419927,201699,163229,33082,5388,217,179,38,265,227,38,0
2023,7568,7568,7578,6301,22811328,20235998,2575330,733373,485201,1356756,3440,165,3275,3492,210,3282,0
2024,7568,7568,7578,6331,38786994,30667940,8119054,4643782,1381719,2093553,549,185,364,557,193,364,0
2025,7568,7568,7578,6306,38753838,31659681,7094157,3152770,1442637,2498750,555,187,368,598,228,370,0
2026,7568,7568,7578,6322,35775324,30489755,5285569,1812390,989754,2483425,1094,197,897,1132,232,900,0
2027,7568,7568,7578,6325,21877434,19843751,2033683,706923,422786,903974,3609,173,3436,3654,211,3443,0
2028,7568,7568,7578,6322,40112686,33882282,6230404,2318357,1250825,2661222,299,190,109,335,226,109,55808
2029,7568,7568,7578,6460,12203519,11111788,1091731,248709,226217,616805,4938,140,4798,4980,175,4805,2338430
2030,7568,7568,7578,6288,38798046,34425284,4372762,1630681,822080,1920001,547,183,364,594,229,365,0
2031,7568,7568,7578,6322,39107502,32385672,6721830,2609829,1579108,2532893,491,192,299,529,228,301,0
2032,7568,7568,7578,6359,17837928,16117403,1720525,326304,353199,1041022,4340,151,4189,4386,191,4195,0
2033,7568,7568,7578,6322,37213726,31239791,5973935,3235609,1354193,1384133,811,191,620,848,227,621,125456
2034,7568,7568,7578,6322,32717076,26656025,6061051,2703304,1261755,2095992,1646,195,1451,1686,231,1455,7896
2035,7568,7568,7578,6340,19655982,17370664,2285318,1093945,507007,684366,4011,163,3848,4060,204,3856,0
2036,7568,7568,7578,6319,40046922,33059791,6987131,4443762,1264271,1279098,321,190,131,356,226,130,0
2037,7568,7568,7578,6312,39090924,31965240,7125684,3729639,1253136,2142909,494,188,306,534,228,306,0
2038,7568,7568,7578,6322,32514984,27737829,4777155,2011101,939713,1826341,1684,192,1492,1721,228,1493,0
2039,7568,7568,7578,6272,40815036,33074824,7740212,4543773,1472798,1723641,182,182,0,226,226,0,0
2040,7568,7568,7578,6322,32238684,27167688,5070996,1722359,964548,2384089,1734,194,1540,1774,230,1544,0
2041,7568,7568,7578,6275,39671154,33606706,6064448,3836314,1056022,1172112,389,183,206,433,227,206,0
2042,7568,7568,7578,6309,33642288,28308232,5334056,2953541,983000,1397515,1480,188,1292,1524,228,1296,0
2043,7568,7568,7578,6280,28933732,24966239,3967493,1595492,644708,1727293,676,185,491,722,229,493,9158743
2044,7568,7568,7578,6268,39571686,33350476,6221210,3069361,1043617,2108232,407,184,223,451,227,224,0
2045,7568,7568,7578,6295,29746458,25648390,4098068,1396923,690110,2011035,2185,184,2001,2234,229,2005,0
2046,7568,7568,7578,6322,32487354,26121526,6365828,2914922,1560868,1890038,1689,191,1498,1730,227,1503,0
2047,7568,7568,7578,6323,27873144,23107228,4765916,2052568,934694,1778654,2524,189,2335,2565,224,2341,0
2048,7568,7568,7578,6322,15846119,13432839,2413280,1441825,456161,515294,1265,193,1072,1303,229,1074,19025061
2049,7568,7568,7578,6280,29011500,24436704,4574796,2203883,881636,1489277,2318,187,2131,2367,231,2136,0
2050,7568,7568,7578,6335,19412838,17109534,2303304,414560,541885,1346859,4055,162,3893,4101,201,3900,0
2051,7568,7568,7578,6322,29718828,27975042,1743786,653579,309583,780624,2190,188,2002,2230,225,2005,0
2052,7568,7568,7578,6309,24259140,21244402,3014738,1121220,573186,1320332,3178,171,3007,3226,212,3014,0
2053,7568,7568,7578,6304,20515072,17678733,2836339,926136,568575,1341628,2400,187,2213,2448,229,2219,8067541
2054,7568,7568,7578,6322,29464632,25891467,3573165,908343,681721,1983101,2236,191,2045,2276,227,2049,0
2055,7568,7568,7578,6346,14663268,13891396,771872,115177,134705,521990,4127,154,3973,4175,195,3980,4367122
2056,7568,7568,7578,6313,40229280,34797669,5431611,1943487,884105,2604019,288,188,100,326,226,100,0
2057,7568,7568,7578,7451,1160460,950568,209892,1675,48800,159417,7358,46,7312,7369,48,7321,0
2058,7568,7568,7578,6419,13494492,12423460,1071032,19121,231978,819933,5126,128,4998,5177,176,5001,0
2059,7568,7568,7578,6433,15743574,14424954,1318620,131234,261027,926359,4719,139,4580,4770,183,4587,0
2060,7568,7568,7578,6614,10748070,10141145,606925,22165,124871,459889,5623,115,5508,5646,129,5517,0
2061,7568,7568,7578,6323,26987798,23090942,3896856,1233430,726624,1936802,2662,179,2483,2704,217,2487,122758
2062,7568,7568,7578,6322,40411638,34386154,6025484,2864369,1342679,1818436,255,190,65,291,226,65,0
2063,7568,7568,7578,6322,37466280,31607993,5858287,2248564,969194,2640529,788,190,598,824,226,598,0
2064,7568,7568,7578,6332,17196912,15261744,1935168,446948,411899,1076321,4456,168,4288,4498,205,4293,0
2065,7568,7568,7578,6322,29420298,24837321,4582977,1780840,818653,1983484,2244,198,2046,2284,233,2051,126
2066,7568,7568,7578,6322,34985106,30511307,4473799,1277477,972926,2223396,1237,194,1043,1273,229,1044,0
2067,7568,7568,7578,7576,11052,8560,2492,0,216,2276,7566,45,7521,7575,48,7527,0
2068,7568,7568,7578,6324,22972235,20443008,2529227,954648,612172,962407,2620,185,2435,2662,220,2442,4380339
2069,7568,7568,7578,6322,29486736,28952086,534650,249854,111136,173660,2232,189,2043,2274,226,2048,0
2070,7568,7568,7578,6285,35018262,30066579,4951683,1613667,1107735,2230281,1231,186,1045,1281,233,1048,0
2071,7568,7568,7578,6572,11554866,10754323,800543,35053,152349,613141,5477,114,5363,5502,136,5366,0
2072,7568,7568,7578,7406,1569384,1329805,239579,1385,60763,177431,7284,89,7195,7293,94,7199,0
2073,7568,7568,7578,7578,0,0,0,0,0,0,7568,22,7546,7578,26,7552,0
2074,7568,7568,7578,6324,24502284,22156701,2345583,616901,514963,1213719,3134,166,2968,3179,203,2976,0
2075,7568,7568,7578,7147,874417,798454,75963,954,21313,53696,6749,76,6673,6785,104,6681,3669061
2076,7568,7568,7578,7578,0,0,0,0,0,0,7568,31,7537,7578,36,7542,0
2077,7568,7568,7578,6322,26182188,23529600,2652588,1046448,480833,1125307,2830,185,2645,2872,220,2652,0
2078,7568,7568,7578,6314,30602988,25549349,5053639,2025870,895210,2132559,2030,194,1836,2073,232,1841,0
2079,7568,7568,7578,6313,34393824,29845240,4548584,2598076,884937,1065571,1344,191,1153,1383,228,1155,0
2080,7568,7568,7578,6321,31298160,25101391,6196769,3380789,1297478,1518502,960,197,763,997,233,764,5221640
2081,7568,7568,7578,6340,14058882,12580949,1477933,243013,314696,920224,4232,163,4069,4275,199,4076,4384121
2082,7568,7568,7578,6314,27613422,26118236,1495186,608079,320690,566417,2571,183,2388,2615,221,2394,0
2083,7568,7568,7578,6322,29612449,24294341,5318108,2632846,1119389,1565873,2017,196,1821,2059,232,1827,1063431
2084,7568,7568,7578,6481,12173778,11661135,512643,47625,96118,368900,5365,115,5250,5397,142,5255,0
