"Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,35608403,8989141,7974837,0,2936409,7943986,7764030,0,708434,439881,5278,0,0,0,263275,0,7312,6030
2011,18084433,3610369,1431094,0,606079,5114941,7321950,0,462604,216886,115138,0,0,0,130580,0,3646,2365
2012,34974350,9505060,3502990,0,6355650,7951614,7659036,0,884475,553275,0,0,0,0,331200,0,7277,5995
2013,24185181,6591081,2737570,0,817821,6550979,7487730,0,641571,401314,0,0,0,0,240257,0,5089,3761
2014,26916504,7964339,3856205,0,837093,6782189,7476678,0,849694,531436,0,0,0,0,318258,0,5815,4480
2015,19400856,5692430,1840936,0,1209042,5194328,5464120,0,925787,481638,154786,0,0,0,289363,0,6394,5087
2016,21514483,4829004,1959732,0,1196192,6102611,7426944,0,607788,378452,2779,0,0,0,226557,0,4494,3208
2017,27233560,6519620,3287814,0,5112055,5469071,6845000,0,813808,458166,80909,0,0,0,274733,0,5892,4605
2018,38691946,10766039,5276542,0,8079195,7087966,7482204,0,366352,223990,8579,0,0,0,133783,0,7371,6089
2019,9570706,2157824,1131307,0,558425,2540704,3182446,0,314624,149162,76514,0,0,0,88948,0,7070,5772
2020,24355570,5316767,2000541,0,2985737,6586899,7465626,0,864684,432160,172567,0,0,0,259957,0,5071,3783
2021,32638336,9743306,4416157,0,3444277,7491606,7542990,0,1247751,780328,0,0,0,0,467423,0,7225,5943
2022,40419927,8649882,3867499,0,13063221,7323965,7515360,0,33082,21047,43,0,0,0,11992,0,7351,6019
2023,20235998,4177365,2563870,0,888066,5152123,7454574,0,485201,294379,14701,0,0,0,176121,0,4128,2809
2024,30667940,9380407,5085335,0,1635371,6946473,7620354,0,1381719,864006,0,0,0,0,517713,0,7019,5774
2025,31659681,10472032,5274474,0,809168,7627329,7476678,0,1442637,663823,378271,0,0,0,400543,0,7013,5708
2026,30489755,9344851,5033661,0,1275995,7325414,7509834,0,989754,485293,212167,0,0,0,292294,0,6474,5190
2027,19843751,3597638,1590962,0,1949934,5305903,7399314,0,422786,240357,38456,0,0,0,143973,0,3959,2671
2028,33882282,11040068,7126719,0,468445,7676430,7570620,0,1250825,527132,404802,0,0,0,318891,0,7269,5987
2029,11111788,1468270,473335,0,583654,3113238,5473291,0,226217,141733,0,0,0,0,84484,0,2630,1480
2030,34425284,9437470,7411172,0,2876064,7201796,7498782,0,822080,411674,162766,0,0,0,247640,0,7021,5694
2031,32385672,10359029,3964285,0,2375201,8072329,7614828,0,1579108,630770,566045,0,0,0,382293,0,7077,5793
2032,16117403,2733428,1351544,0,674148,4290529,7067754,0,353199,198383,35955,0,0,0,118861,0,3228,1973
2033,31239791,8051940,3994407,0,4051126,7510912,7631406,0,1354193,634570,337073,0,0,0,382550,0,6757,5474
2034,26656025,7870325,3378501,0,1015270,6915251,7476678,0,1261755,646521,226129,0,0,0,389105,0,5922,4636
2035,17370664,3132600,1498467,0,952653,4614196,7172748,0,507007,300286,27097,0,0,0,179624,0,3557,2280
2036,33059791,7991115,4028439,0,6045344,7518215,7476678,0,1264271,787996,4204,0,0,0,472071,0,7247,5963
2037,31965240,8956952,6257942,0,2442510,6820106,7487730,0,1253136,755391,44910,0,0,0,452835,0,7074,5778
2038,27737829,8010319,2836083,0,2182254,7232495,7476678,0,939713,506316,129167,0,0,0,304230,0,5884,4601
2039,33074824,9073945,7428172,0,2478356,6617673,7476678,0,1472798,829497,145337,0,0,0,497964,0,7386,6046
2040,27167688,7963955,4001518,0,817761,6913302,7471152,0,964548,484819,187967,0,0,0,291762,0,5834,4548
2041,33606706,9230888,5919557,0,3966611,6896926,7592724,0,1056022,660437,0,0,0,0,395585,0,7179,5842
2042,28308232,6220175,2780014,0,3866437,7959402,7482204,0,983000,614842,0,0,0,0,368158,0,6088,4785
2043,24966239,6708110,4630103,0,1612768,5730023,6285235,0,644708,403447,0,0,0,0,241261,0,6892,5558
2044,33350476,10085327,4701907,0,3817568,7280048,7465626,0,1043617,638159,23104,0,0,0,382354,0,7161,5817
2045,25648390,6730235,4532187,0,545619,6352619,7487730,0,690110,395939,56686,0,0,0,237485,0,5383,4061
2046,26121526,8142829,3050044,0,258774,7182149,7487730,0,1560868,655042,509343,0,0,0,396483,0,5879,4592
2047,23107228,5978024,1761143,0,1232199,6697866,7437996,0,934694,536926,75674,0,0,0,322094,0,5044,3758
2048,13432839,2894408,1610028,0,1359599,3405870,4162934,0,456161,285645,0,0,0,0,170516,0,6303,5019
2049,24436704,5730791,3259091,0,1464657,6499961,7482204,0,881636,534393,26941,0,0,0,320302,0,5250,3913
2050,17109534,3395274,1461374,0,121341,4903537,7228008,0,541885,240735,156008,0,0,0,145142,0,3513,2234
2051,27975042,6773861,2672645,0,4312884,6755552,7460100,0,309583,190955,4521,0,0,0,114107,0,5378,4092
2052,21244402,4624464,1994051,0,1534894,5647471,7443522,0,573186,353181,8806,0,0,0,211199,0,4390,3083
2053,17678733,4318447,2636420,0,519683,4606545,5597638,0,568575,288899,106067,0,0,0,173609,0,5168,3856
2054,25891467,6706773,3919476,0,920020,6874046,7471152,0,681721,329912,153107,0,0,0,198702,0,5332,4046
2055,13891396,2195756,1283912,0,971035,3647585,5793108,0,134705,84238,515,0,0,0,49952,0,3441,2171
2056,34797669,10753241,8295506,0,549646,7584448,7614828,0,884105,453539,157716,0,0,0,272850,0,7280,5987
2057,950568,359638,202755,0,107558,280617,0,0,48800,22006,13779,0,0,0,13015,0,210,82
2058,12423460,1818476,756272,0,136230,3042600,6669882,0,231978,105701,62873,0,0,0,63404,0,2442,1242
2059,14424954,2422394,1010261,0,566335,3772660,6653304,0,261027,130285,52854,0,0,0,77888,0,2849,1663
2060,10141145,1157640,608302,0,426054,2478409,5470740,0,124871,62572,25061,0,0,0,37238,0,1945,968
