"Year","AFem","AFemDeath","AMal","AMalDeath","Eggs","EggsDeath","FryGrad","FryExit","FryDeath","FryInStr","allMortAF","baseMortAF","tempMortAF","allMortAM","baseMortAM","tempMortAM","InVivo","Year","allMortEgg","baseMortEgg","tempMortEgg","denMortEgg","incMortEgg","superMortEgg","lostMortEgg","catMortEgg","allMortFry","baseMortFry","tempMortFry","denMortFry","habMortFry","freshMortFry","seasMortFry","catMortFry","allMortSF","allMortSM"
2010,7568,7568,7578,6322,40406112,35608403,4797709,1995369,708434,2093906,256,192,64,292,228,64,0,2010,35608403,8989141,7974837,0,2936409,7943986,7764030,0,708434,439881,5278,0,0,0,263275,0,7312,6030
2011,7568,7568,7578,6330,20147796,18084433,2063363,341041,462604,1259718,3922,162,3760,3965,197,3768,0,2011,18084433,3610369,1431094,0,606079,5114941,7321950,0,462604,216886,115138,0,0,0,130580,0,3646,2365
2012,7568,7568,7578,6322,40212702,34974350,5238352,2719676,884475,1634201,291,191,100,327,227,100,0,2012,34974350,9505060,3502990,0,6355650,7951614,7659036,0,884475,553275,0,0,0,0,331200,0,7277,5995
2013,7568,7568,7578,6292,28121814,24185181,3936633,1105846,641571,2189216,2479,177,2302,2531,223,2308,0,2013,24185181,6591081,2737570,0,817821,6550979,7487730,0,641571,401314,0,0,0,0,240257,0,5089,3761
2014,7568,7568,7578,6279,32133690,26916504,5217186,1930286,849694,2437206,1753,178,1575,1799,222,1577,0,2014,26916504,7964339,3856205,0,837093,6782189,7476678,0,849694,531436,0,0,0,0,318258,0,5815,4480
2015,7568,7568,7578,6305,23839658,19400856,4438802,2267204,925787,1245811,1174,186,988,1218,227,991,11521794,2015,19400856,5692430,1840936,0,1209042,5194328,5464120,0,925787,481638,154786,0,0,0,289363,0,6394,5087
2016,7568,7568,7578,6324,24833844,21514483,3319361,1156314,607788,1555259,3074,180,2894,3116,218,2898,0,2016,21514483,4829004,1959732,0,1196192,6102611,7426944,0,607788,378452,2779,0,0,0,226557,0,4494,3208
2017,7568,7568,7578,6319,31222462,27233560,3988902,2115445,813808,1059649,1676,200,1476,1714,237,1477,1338512,2017,27233560,6519620,3287814,0,5112055,5469071,6845000,0,813808,458166,80909,0,0,0,274733,0,5892,4605
2018,7568,7568,7578,6322,40732146,38691946,2040200,1363844,366352,310004,197,190,7,233,226,7,0,2018,38691946,10766039,5276542,0,8079195,7087966,7482204,0,366352,223990,8579,0,0,0,133783,0,7371,6089
2019,7568,7568,7578,6310,10978960,9570706,1408254,562832,314624,530798,498,190,308,538,229,309,28150121,2019,9570706,2157824,1131307,0,558425,2540704,3182446,0,314624,149162,76514,0,0,0,88948,0,7070,5772
2020,7568,7568,7578,6322,28022346,24355570,3666776,1749236,864684,1052856,2497,185,2312,2539,221,2318,0,2020,24355570,5316767,2000541,0,2985737,6586899,7465626,0,864684,432160,172567,0,0,0,259957,0,5071,3783
2021,7568,7568,7578,6322,39925350,32638336,7287014,4356596,1247751,1682667,343,193,150,379,229,150,0,2021,32638336,9743306,4416157,0,3444277,7491606,7542990,0,1247751,780328,0,0,0,0,467423,0,7225,5943
2022,7568,7568,7578,6284,40621626,40419927,201699,163229,33082,5388,217,179,38,265,227,38,0,2022,40419927,8649882,3867499,0,13063221,7323965,7515360,0,33082,21047,43,0,0,0,11992,0,7351,6019
2023,7568,7568,7578,6301,22811328,20235998,2575330,733373,485201,1356756,3440,165,3275,3492,210,3282,0,2023,20235998,4177365,2563870,0,888066,5152123,7454574,0,485201,294379,14701,0,0,0,176121,0,4128,2809
2024,7568,7568,7578,6331,38786994,30667940,8119054,4643782,1381719,2093553,549,185,364,557,193,364,0,2024,30667940,9380407,5085335,0,1635371,6946473,7620354,0,1381719,864006,0,0,0,0,517713,0,7019,5774
2025,7568,7568,7578,6306,38753838,31659681,7094157,3152770,1442637,2498750,555,187,368,598,228,370,0,2025,31659681,10472032,5274474,0,809168,7627329,7476678,0,1442637,663823,378271,0,0,0,400543,0,7013,5708
2026,7568,7568,7578,6322,35775324,30489755,5285569,1812390,989754,2483425,1094,197,897,1132,232,900,0,2026,30489755,9344851,5033661,0,1275995,7325414,7509834,0,989754,485293,212167,0,0,0,292294,0,6474,5190
2027,7568,7568,7578,6325,21877434,19843751,2033683,706923,422786,903974,3609,173,3436,3654,211,3443,0,2027,19843751,3597638,1590962,0,1949934,5305903,7399314,0,422786,240357,38456,0,0,0,143973,0,3959,2671
2028,7568,7568,7578,6322,40112686,33882282,6230404,2318357,1250825,2661222,299,190,109,335,226,109,55808,2028,33882282,11040068,7126719,0,468445,7676430,7570620,0,1250825,527132,404802,0,0,0,318891,0,7269,5987
2029,7568,7568,7578,6460,12203519,11111788,1091731,248709,226217,616805,4938,140,4798,4980,175,4805,2338430,2029,11111788,1468270,473335,0,583654,3113238,5473291,0,226217,141733,0,0,0,0,84484,0,2630,1480
2030,7568,7568,7578,6288,38798046,34425284,4372762,1630681,822080,1920001,547,183,364,594,229,365,0,2030,34425284,9437470,7411172,0,2876064,7201796,7498782,0,822080,411674,162766,0,0,0,247640,0,7021,5694
2031,7568,7568,7578,6322,39107502,32385672,6721830,2609829,1579108,2532893,491,192,299,529,228,301,0,2031,32385672,10359029,3964285,0,2375201,8072329,7614828,0,1579108,630770,566045,0,0,0,382293,0,7077,5793
2032,7568,7568,7578,6359,17837928,16117403,1720525,326304,353199,1041022,4340,151,4189,4386,191,4195,0,2032,16117403,2733428,1351544,0,674148,4290529,7067754,0,353199,198383,35955,0,0,0,118861,0,3228,1973
2033,7568,7568,7578,6322,37213726,31239791,5973935,3235609,1354193,1384133,811,191,620,848,227,621,125456,2033,31239791,8051940,3994407,0,4051126,7510912,7631406,0,1354193,634570,337073,0,0,0,382550,0,6757,5474
