YEAR,A2_CNRMCM3,A2_GFDLCM21,A2_MIROC32MED,A2_MPIECHAM5,A2_NCARCCSM3,A2_NCARPCM1,B1_CNRMCM3,B1_GFDLCM21,B1_MIROC32MED,B1_MPIECHAM5,B1_NCARCCSM3,B1_NCARPCM1
2010,6186,7376,11646,14182,12366,14430,12608,8498,2160,6542,5830,14488
2011,12178,6186,11892,12544,13286,11700,9772,7042,7590,7872,5684,7156
2012,6196,14552,11142,8068,9732,12544,11442,7118,12622,10646,10296,14418
2013,13344,14610,11466,10942,13688,8916,9720,2964,2898,10022,3888,10042
2014,14080,702,0,5242,0,10654,14236,12706,13568,4086,4954,11494
2015,14588,10608,9380,3946,14510,10706,4350,10288,10152,14608,248,12652
2016,14506,7058,5428,13036,1220,9096,7644,10466,3378,4470,888,8852
2017,10884,150,14496,4970,2140,3744,9060,12580,6712,0,4218,11648
2018,5932,8478,12594,13844,9596,9772,11650,12528,11708,9870,14586,14606
2019,13030,3024,5482,13498,5194,10752,10612,12472,10958,14318,3916,14004
2020,12796,14102,1230,10346,1366,5794,9830,4408,2052,11996,944,10006
2021,13140,7052,9012,6036,1158,14386,14318,5132,13908,7738,3616,14314
2022,14016,5434,4784,6248,4774,11660,7222,9198,13606,7410,9812,14566
2023,13324,0,12748,7884,8730,14258,5524,9678,13260,8852,10722,8120
2024,11594,1544,9432,10038,14222,10148,10024,6186,12938,12894,13308,13902
2025,11878,2976,10452,13950,5828,13380,14574,8806,7032,13410,12728,13890
2026,7186,13382,13372,11452,1974,0,13400,14196,6480,4272,8766,12812
2027,6298,1334,11142,14042,10860,9516,416,4356,4480,14502,0,7782
2028,116,176,2884,408,7136,13982,2690,5250,7260,7816,12154,14402
2029,4184,3522,3444,5788,4340,7780,10700,3814,8940,6906,13774,5124
2030,10950,5102,0,11424,0,14118,232,9890,2218,2640,1500,13906
2031,13570,0,13052,12850,4310,11206,13508,11476,13478,9432,10286,14018
2032,7332,0,5450,13404,13480,9692,11222,10534,6350,13632,0,6320
2033,14280,5594,1792,14058,8068,11534,13028,6428,13612,2868,11098,13378
2034,5504,13216,9302,13882,3458,14248,7526,38,2270,14328,5616,11708
2035,9546,126,0,1216,6036,12692,3502,8942,2336,13412,3688,6978
2036,14230,562,5748,300,7094,13008,8348,8020,8260,5870,5630,14358
2037,7146,9880,10554,6936,4166,11860,10518,5756,882,13918,10758,14012
2038,11296,6254,8044,14620,776,2214,14050,2296,12282,10528,5590,11632
2039,8298,264,5888,8204,5644,7568,8990,0,10172,8074,11072,14636
2040,8932,0,13014,0,3252,10132,4168,3096,11048,5432,7190,11532
2041,10066,7862,2578,5274,0,13100,11710,10384,5128,5558,4174,14222
2042,712,0,6968,13918,0,13880,5752,0,0,8460,0,12040
2043,5710,1222,3646,6150,0,4302,6438,12118,6760,5554,4762,13648
2044,1098,5970,0,8776,7240,6904,11722,10148,5790,12282,10050,14186
2045,0,10326,0,0,5924,13036,5414,6184,326,10910,5370,10630
2046,3720,6046,6808,0,6044,12786,6738,12580,54,11558,5160,11622
2047,1868,8058,5044,12302,5866,7992,11810,10696,670,0,154,9952
2048,7066,9304,8298,10334,3742,9640,10278,10896,6200,14620,5534,12470
2049,9938,3662,0,2210,3770,12952,370,7246,0,14368,3606,10364
2050,11466,586,0,9104,3410,0,2496,8286,6816,9650,4878,6890
2051,11386,676,6752,5962,1544,232,11724,9778,464,5536,6088,10620
2052,8230,692,3398,12674,1146,0,12130,8472,138,4908,10472,8644
2053,6154,8856,7732,10148,8938,1124,4646,7334,3374,10128,5178,10200
2054,0,8830,3772,0,1222,11190,6450,6240,0,14418,9530,10528
2055,10046,0,4200,9986,7236,13412,5558,1910,0,1896,7666,6746
2056,11810,0,7526,13752,5064,1388,6660,0,3094,6196,5164,14424
2057,5520,4540,2254,1530,4176,13006,9340,5378,8898,9626,2144,284
2058,2030,4872,0,0,0,6428,11138,3848,106,0,14028,4748
2059,0,5568,0,6806,0,11770,9238,10834,3652,0,0,5562
2060,0,2106,0,322,0,5958,13008,12696,13656,5116,4856,3754
2061,0,2778,4508,2418,6366,10814,10052,1012,2282,6400,13686,9676
2062,0,0,3912,10946,6622,9836,0,6550,7962,1632,5204,14490
2063,702,0,928,0,10854,5196,9964,2354,1482,62,5630,13424
2064,60,6450,7668,13720,0,10948,0,4128,6224,8962,6754,6088
2065,5394,0,0,744,28,10810,6770,6564,3568,0,270,10512
2066,0,670,82,8454,2406,11884,8198,186,4990,13534,5540,12526
2067,11446,0,388,0,0,5906,370,3792,0,1262,3936,0
2068,0,0,2720,0,0,7750,0,12440,0,586,9998,9760
2069,0,0,3906,0,0,5542,7558,6548,0,11854,6906,10536
2070,0,230,0,0,3318,6798,0,632,5952,3218,6326,12538
2071,686,0,498,10352,0,0,7688,0,1138,1982,0,4046
2072,0,1300,0,6328,0,4348,3542,514,4,7662,6428,432
2073,1122,5884,0,5644,4144,9896,138,9196,84,8254,7174,0
2074,0,0,0,6940,0,5168,3292,0,0,0,502,8732
2075,0,0,0,0,0,5910,0,140,0,0,6406,1502
2076,3548,0,0,0,790,6104,0,5384,4986,11660,10108,0
2077,430,0,0,0,0,11214,1570,4732,6548,0,2830,9340
2078,5454,0,0,11576,1250,36,11066,5368,3404,470,1136,10940
2079,1808,0,0,0,0,0,2918,3560,3622,6214,0,12312
2080,1142,0,0,4928,0,2896,5094,0,0,6852,6866,13080
2081,0,0,250,8194,5458,10508,6346,0,0,5018,1564,6536
2082,0,0,1184,3038,0,6762,5576,7490,0,7994,9480,9858
2083,0,0,1806,2184,0,2278,6230,0,5456,5102,48,10966
2084,5642,0,94,5460,0,0,9330,1398,6198,0,11114,4270
2085,1766,0,236,4888,0,0,118,0,0,6248,0,6870
2086,0,0,0,8124,0,3680,7136,0,0,3568,0,7638
2087,0,0,0,2886,4098,0,0,0,0,0,0,3278
2088,914,0,0,0,716,7712,3490,4388,0,0,6666,9296
2089,0,0,0,1606,0,6554,2478,0,0,5426,0,11948
